"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
767470.93,186948.641,1.7040372142441e+19,1955390171069516800
253551.611,186948.641,2313387454198735872,1955390171069516800
460702.188,186948.641,7857283925628360704,1955390171069516800
189376.63,186948.641,1992004927553357824,1955390171069516800
190653.106,186948.641,2018516077103329792,1955390171069516800
1427565.236,186948.641,49625038510842667018,1955390171069516800
417742.547,186948.641,3465290087348327424,1955390171069516800
541803.632,186948.641,9995277530298992640,1955390171069516800
188599.544,186948.641,1979838223882096128,1955390171069516800
221370.283,186948.641,2092946219573772032,1955390171069516800
188139.123,186948.641,1977260969582626560,1955390171069516800
1236052.052,186948.641,39231772283043135488,1955390171069516800
1442670.985,186948.641,39568904811108540416,1955390171069516800
1503311.835,186948.641,51938454420570800138,1955390171069516800
428897.132,186948.641,3614639953504269824,1955390171069516800
417605.389,186948.641,3460339572046496768,1955390171069516800
198147.218,186948.641,2060034518547085312,1955390171069516800
354892.745,186948.641,4786047407335598080,1955390171069516800
1321112.429,186948.641,5.4900875095616e+19,1955390171069516800
1141639.745,186948.641,33531903393290797056,1955390171069516800
273081.228,186948.641,2712359563440854528,1955390171069516800
238227.842,186948.641,3364565035642480640,1955390171069516800
293591.597,186948.641,2532831827690991616,1955390171069516800
1371388.017,186948.641,38044909581444448256,1955390171069516800
198003.901,186948.641,2262654928051340544,1955390171069516800
590072.78,186948.641,12614518353528739840,1955390171069516800
722495.166,186948.641,12573544530067906560,1955390171069516800
188612.804,186948.641,1995267049213136640,1955390171069516800
189434.485,186948.641,2008180897978051840,1955390171069516800
263503.406,186948.641,2625664938184894976,1955390171069516800
436960.998,186948.641,3654774745783386112,1955390171069516800
196525.307,186948.641,2105168497485118208,1955390171069516800
1154500.039,186948.641,3.4182643548542e+19,1955390171069516800
254543.341,186948.641,2315748369154133504,1955390171069516800
698733.513,186948.641,8724400935500187648,1955390171069516800
436260.184,186948.641,3627343299692312064,1955390171069516800
263620.053,186948.641,2614810774992840192,1955390171069516800
271483.665,186948.641,2540561908763533824,1955390171069516800
189188.449,186948.641,1990520019907192832,1955390171069516800
427491.735,186948.641,3571893316197190144,1955390171069516800
262709.403,186948.641,2509595978664615936,1955390171069516800
187274.442,186948.641,1961227271073609216,1955390171069516800
277297.768,186948.641,2830764637477613056,1955390171069516800
656019.108,186948.641,1.0325220263774e+19,1955390171069516800
273918.653,186948.641,2810408492281296896,1955390171069516800
429927.246,186948.641,3671847373343528448,1955390171069516800
711664.49,186948.641,12317508888605663232,1955390171069516800
189143.712,186948.641,1966179174088080640,1955390171069516800
479424.905,186948.641,9217253644408723456,1955390171069516800
212119.164,186948.641,2459407281855320576,1955390171069516800
