StrmLev,stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,ORIG_FID
1,2,Culvert,Unknown,108847.2,0.1,34
1,2,Culvert,UnkAnad,108847.2,0.1,35
1,2,Culvert,UnkAnad,108847.2,0.1,75
1,2,Culvert,Unknown,108847.2,0.1,77
1,2,Culvert,Unknown,108847.2,0.1,98
1,2,Falls,Unknown,455041.93,0.5,100
1,2,Falls,UnkAnad,455041.93,0.5,116
1,2,Bridge,Unknown,370171,0.1,137
1,2,Bridge,Unknown,370171,0.1,149
1,2,Culvert,Blocked,108847.2,0.1,194
1,2,Dam,Passable,487195.2,1,257
1,2,Falls,Blocked,455041.93,0.1,337
1,2,Culvert,Passable,108847.2,1,377
1,2,Bridge,Passable,370171,1,383
1,2,Bridge,Passable,370171,1,384
1,2,Bridge,Passable,370171,1,386
1,2,Bridge,Passable,370171,1,387
1,2,Bridge,Passable,370171,1,389
1,2,Bridge,Passable,370171,1,391
1,2,Bridge,Passable,370171,1,394
2,4,Culvert,Partial,108847.2,0.5,241
2,5,Culvert,Unknown,108847.2,0.1,59
2,5,Culvert,Unknown,108847.2,0.1,95
2,5,Culvert,UnkAnad,108847.2,0.1,96
2,5,CascadeGradientVelocity,Unknown,455041.93,0.1,103
2,5,Falls,Unknown,455041.93,0.5,117
2,5,Culvert,Passable,108847.2,1,275
2,5,Bridge,Passable,370171,1,340
2,5,Bridge,Passable,370171,1,359
2,5,Bridge,Passable,370171,1,390
2,5,Bridge,Passable,370171,1,395
2,5,Culvert,Passable,108847.2,1,405
2,5,Bridge,Passable,370171,1,408
2,6,Culvert,UnkAnad,108847.2,0.1,131
2,6,Bridge,Unknown,370171,0.1,134
2,7,Culvert,UnkAnad,108847.2,0.1,183
2,7,Culvert,UnkAnad,108847.2,0.1,184
2,7,Culvert,UnkAnad,108847.2,0.1,185
2,7,Culvert,Partial,108847.2,0.5,206
2,7,Culvert,Passable,108847.2,1,214
2,7,Culvert,Passable,108847.2,1,215
2,7,Culvert,Blocked,108847.2,0.1,307
2,8,Culvert,Passable,108847.2,1,234
2,9,Culvert,Unknown,108847.2,0.1,5
2,10,Culvert,Unknown,108847.2,0.1,65
2,12,Bridge,Unknown,370171,0.1,154
2,13,Culvert,UnkAnad,108847.2,0.1,3
2,13,Culvert,Partial,108847.2,0.5,191
2,18,Ford,UnkAnad,108847.2,0.5,89
2,18,Culvert,UnkAnad,108847.2,0.1,92
2,18,Bridge,Unknown,370171,0.1,133
2,18,Culvert,Partial,108847.2,0.5,306
2,19,Culvert,UnkAnad,108847.2,0.1,2
2,21,Culvert,Passable,108847.2,1,216
2,22,Culvert,UnkAnad,108847.2,0.1,108
2,22,Culvert,Partial,108847.2,0.5,281
2,22,Culvert,Passable,108847.2,1,282
2,22,Culvert,Partial,108847.2,0.5,372
2,22,Culvert,Passable,108847.2,1,376
2,25,Bridge,Unknown,370171,0.1,144
2,25,Bridge,Unknown,370171,0.1,145
2,25,Bridge,Unknown,370171,0.1,146
2,25,Bridge,Unknown,370171,0.1,148
2,25,Bridge,Unknown,370171,0.1,153
2,25,Culvert,Partial,108847.2,0.5,201
2,25,Falls,Partial,455041.93,0.5,217
2,25,Culvert,Partial,108847.2,0.5,410
2,26,Culvert,Unknown,108847.2,0.1,94
2,26,Culvert,Blocked,108847.2,0.1,197
2,26,Culvert,Passable,108847.2,1,287
2,26,Falls,Blocked,455041.93,0.1,331
2,27,Culvert,UnkAnad,108847.2,0.1,0
2,27,Culvert,UnkAnad,108847.2,0.1,24
2,27,Bridge,Unknown,370171,0.1,141
2,27,Bridge,Unknown,370171,0.1,151
2,27,Bridge,Unknown,370171,0.1,158
2,27,Falls,Partial,455041.93,0.5,218
2,27,Culvert,Partial,108847.2,0.5,232
2,27,Falls,Blocked,455041.93,0.1,373
2,28,Bridge,Unknown,370171,0.1,138
2,29,Falls,Unknown,455041.93,0.5,105
2,29,Falls,UnkAnad,455041.93,0.5,118
2,29,Falls,Unknown,455041.93,0.5,121
2,29,Falls,Unknown,455041.93,0.5,122
2,29,Falls,Unknown,455041.93,0.5,123
2,29,Falls,Unknown,455041.93,0.5,124
2,29,Falls,Unknown,455041.93,0.5,125
2,29,Culvert,Partial,108847.2,0.5,278
2,29,Culvert,Blocked,108847.2,0.1,279
2,29,Culvert,Blocked,108847.2,0.1,280
2,29,Falls,Blocked,455041.93,0.1,334
2,29,Bridge,Passable,370171,1,364
2,31,CascadeGradientVelocity,Unknown,455041.93,0.1,102
2,31,Bridge,Unknown,370171,0.1,142
2,31,Bridge,Unknown,370171,0.1,156
2,31,Falls,Partial,455041.93,0.5,219
2,31,Falls,Partial,455041.93,0.5,220
2,31,Culvert,Partial,108847.2,0.5,277
2,32,Culvert,Partial,108847.2,0.5,209
2,32,Culvert,Partial,108847.2,0.5,327
2,40,Bridge,Unknown,370171,0.1,140
2,42,Culvert,Unknown,108847.2,0.1,71
2,43,Culvert,Passable,108847.2,1,377
2,44,Falls,Blocked,455041.93,0.1,332
2,45,Culvert,UnkAnad,108847.2,0.1,8
2,50,Culvert,UnkAnad,108847.2,0.1,29
2,51,Culvert,Blocked,108847.2,0.1,210
2,51,Culvert,Blocked,108847.2,0.1,261
2,52,Culvert,Partial,108847.2,0.5,409
2,57,Dam,Passable,487195.2,1,257
2,65,Culvert,Passable,108847.2,1,235
2,66,Culvert,Unknown,108847.2,0.1,82
2,66,Culvert,UnkAnad,108847.2,0.1,112
2,66,Bridge,Passable,370171,1,382
2,66,Bridge,Passable,370171,1,385
2,68,Culvert,Unknown,108847.2,0.1,60
2,69,Culvert,Partial,108847.2,0.5,370
2,93,Culvert,Blocked,108847.2,0.1,194
2,112,Culvert,Blocked,108847.2,0.1,221
2,112,Culvert,Partial,108847.2,0.5,264
2,114,Falls,Blocked,455041.93,0.1,374
2,115,Culvert,Blocked,108847.2,0.1,195
2,121,Culvert,Unknown,108847.2,0.1,26
2,121,Bridge,Passable,370171,1,383
2,124,Culvert,UnkAnad,108847.2,0.1,176
2,124,Falls,Blocked,455041.93,0.1,335
2,128,TideGate,UnkAnad,77617.39,0.5,162
2,132,Culvert,Passable,108847.2,1,204
2,134,TideGate,UnkAnad,77617.39,0.5,163
2,142,Culvert,Unknown,108847.2,0.1,66
2,143,Culvert,Unknown,108847.2,0.1,36
2,146,Culvert,UnkAnad,108847.2,0.1,17
2,149,Bridge,Unknown,370171,0.1,139
2,156,Culvert,Unknown,108847.2,0.1,83
2,158,Culvert,Unknown,108847.2,0.1,19
2,159,Culvert,Unknown,108847.2,0.1,33
