StrmLev,stream_ID,fpbFtrID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
1,6,33477,-124.082486,43.365789,Bridge,Unknown,370171,0.1
1,6,34150,-124.153011,43.365981,Bridge,Unknown,370171,0.1
1,6,35587,-124.082981,43.362661,Bridge,Unknown,370171,0.1
1,6,32737,-123.6691438,43.23561471,Falls,Partial,455041.93,0.5
1,7,8868,-124.377,43.32959996,Culvert,Unknown,108847.2,0.1
1,8,7171,-124.385015,43.23430268,Culvert,UnkAnad,108847.2,0.1
1,9,29365,-124.3711571,43.33112574,Culvert,UnkAnad,108847.2,0.1
1,9,36899,-124.374119,43.331139,Bridge,Unknown,370171,0.1
1,9,40142,-124.3707698,43.33119688,Bridge,Unknown,370171,0.1
1,9,40143,-124.3678593,43.33076255,Bridge,Unknown,370171,0.1
1,9,40182,-124.373333,43.330833,Bridge,Unknown,370171,0.1
1,9,15957,-124.3717336,43.3309856,Culvert,Passable,108847.2,1
1,9,28990,-124.369979,43.33133374,Culvert,Passable,108847.2,1
1,9,28991,-124.3694287,43.33128566,Culvert,Passable,108847.2,1
1,9,28992,-124.3685464,43.33119067,Culvert,Partial,108847.2,0.5
1,9,29150,-124.3674165,43.32961545,Dam,Partial,487195.2,0.5
1,9,44906,-124.3496016,43.29706056,Culvert,Partial,108847.2,0.5
1,12,3998,-124.3853925,43.28058978,Falls,Blocked,455041.93,0.1
1,13,8869,-124.3963773,43.31015046,Culvert,Unknown,108847.2,0.1
1,14,16089,-124.3537397,43.33897297,Culvert,Unknown,108847.2,0.1
1,17,3755,-124.3914512,43.211381,Culvert,Unknown,108847.2,0.1
1,18,32734,-124.3787487,43.25327875,Culvert,Partial,108847.2,0.5
1,23,3999,-124.3877093,43.32175188,Falls,Unknown,455041.93,0.5
1,23,5007,-124.3849835,43.32048508,Culvert,Blocked,108847.2,0.1
2,25,7955,-123.6081405,43.28448111,Falls,Unknown,455041.93,0.5
2,25,44891,-123.6590736,43.2999817,CascadeGradientVelocity,Partial,455041.93,0.5
2,29,44889,-123.6965436,43.37900839,Falls,Partial,455041.93,0.5
2,29,44890,-123.6942788,43.37933448,CascadeGradientVelocity,Partial,455041.93,0.5
2,35,32738,-123.9644119,43.39052701,CascadeGradientVelocity,Partial,455041.93,0.5
2,38,33308,-124.321233,43.338917,Bridge,Unknown,370171,0.1
2,38,35016,-124.319719,43.276203,Bridge,Unknown,370171,0.1
2,40,7970,-123.8326159,43.24039802,CascadeGradientVelocity,UnkAnad,455041.93,0.1
2,40,28673,-123.8315468,43.2484523,Falls,UnkAnad,455041.93,0.5
2,40,5184,-123.806431,43.29083302,Falls,Blocked,455041.93,0.1
2,40,7967,-123.764955,43.20697047,Falls,Partial,455041.93,0.5
2,40,28672,-123.829482,43.25090741,Falls,Partial,455041.93,0.5
2,40,38851,-123.7788047,43.21051743,CascadeGradientVelocity,Partial,455041.93,0.5
2,40,45415,-123.8306232,43.25871145,Falls,Partial,455041.93,0.5
2,45,2700,-123.8715593,43.34217051,Culvert,UnkAnad,108847.2,0.1
2,45,38829,-123.8868817,43.33449714,Falls,Blocked,455041.93,0.1
2,48,5606,-124.215674,43.25608399,TideGate,UnkAnad,77617.39,0.5
2,48,12335,-124.2194884,43.25949547,TideGate,UnkAnad,77617.39,0.5
2,48,33073,-124.194,43.356506,Bridge,Unknown,370171,0.1
2,48,34996,-124.2136,43.2526,Bridge,Unknown,370171,0.1
2,48,36172,-124.208861,43.300861,Bridge,Unknown,370171,0.1
2,48,44811,-124.1677909,43.23873953,CascadeGradientVelocity,Partial,455041.93,0.5
2,48,44812,-124.1675447,43.23874987,Culvert,Partial,108847.2,0.5
2,49,18177,-124.2413492,43.37984083,Dam,Unknown,487195.2,0.1
2,49,18269,-124.2550301,43.3685057,Dam,Unknown,487195.2,0.1
2,49,29009,-124.2361674,43.39157657,Culvert,UnkAnad,108847.2,0.1
2,49,29010,-124.2404079,43.38768091,Culvert,Unknown,108847.2,0.1
2,49,13779,-124.2203052,43.49052893,TideGate,UnkAnad,77617.39,0.5
2,49,32951,-124.239136,43.388911,Bridge,Unknown,370171,0.1
2,49,32952,-124.232014,43.4037,Bridge,Unknown,370171,0.1
2,49,33580,-124.23225,43.406622,Bridge,Unknown,370171,0.1
2,49,35002,-124.194725,43.498797,Bridge,Unknown,370171,0.1
2,49,35553,-124.235161,43.437831,Bridge,Unknown,370171,0.1
2,49,39814,-124.200968,43.49442799,TideGate,UnkAnad,77617.39,0.5
2,49,39815,-124.202984,43.49395099,TideGate,UnkAnad,77617.39,0.5
2,49,39816,-124.203133,43.49439,TideGate,UnkAnad,77617.39,0.5
2,49,39817,-124.20632,43.49358399,TideGate,UnkAnad,77617.39,0.5
2,49,39819,-124.212534,43.490376,TideGate,UnkAnad,77617.39,0.5
2,49,40007,-124.220176,43.490453,TideGate,UnkAnad,77617.39,0.5
2,49,40008,-124.220176,43.490453,TideGate,UnkAnad,77617.39,0.5
2,49,29011,-124.2412137,43.38046632,Culvert,Blocked,108847.2,0.1
2,51,23775,-123.8577061,43.36594856,Culvert,Blocked,108847.2,0.1
2,53,7954,-123.8313418,43.41852629,Falls,Blocked,455041.93,0.1
2,53,32735,-123.9477579,43.43823736,CascadeGradientVelocity,Partial,455041.93,0.5
2,57,45401,-123.7122197,43.25315603,CascadeGradientVelocity,Partial,455041.93,0.5
2,58,8030,-123.9744025,43.39142318,Falls,Blocked,455041.93,0.1
2,61,28639,-123.6414974,43.25910092,Falls,Blocked,455041.93,0.1
2,64,28997,-124.1069287,43.34222016,Culvert,UnkAnad,108847.2,0.1
2,64,28998,-124.107788,43.33696092,Culvert,UnkAnad,108847.2,0.1
2,64,28999,-124.1082433,43.33040621,Culvert,UnkAnad,108847.2,0.1
2,64,29000,-124.0837245,43.3047352,Culvert,UnkAnad,108847.2,0.1
2,64,35000,-124.1012,43.3159,Bridge,Unknown,370171,0.1
2,64,35004,-124.103303,43.326611,Bridge,Unknown,370171,0.1
2,64,35005,-124.100453,43.3202,Bridge,Unknown,370171,0.1
2,64,35587,-124.082981,43.362661,Bridge,Unknown,370171,0.1
2,64,7881,-124.0970902,43.30756726,Culvert,Passable,108847.2,1
2,64,29151,-124.0838067,43.30472966,Dam,Partial,487195.2,0.5
2,64,23897,-124.0785313,43.3045987,Culvert,Blocked,108847.2,0.1
2,64,45416,-124.0783889,43.30441736,Culvert,Partial,108847.2,0.5
2,65,4833,-124.147057,43.36968387,TideGate,UnkAnad,77617.39,0.5
2,72,44906,-124.3496016,43.29706056,Culvert,Partial,108847.2,0.5
2,96,8031,-123.9302006,43.36097141,Falls,Unknown,455041.93,0.5
2,96,2709,-123.9261266,43.34127359,Culvert,Unknown,108847.2,0.1
2,96,28996,-123.931411,43.34827278,Culvert,Blocked,108847.2,0.1
2,96,29187,-123.931411,43.34827278,Culvert,Blocked,108847.2,0.1
2,96,28630,-123.9318491,43.35726058,Falls,Blocked,455041.93,0.1
2,99,8033,-123.8895289,43.37482377,Falls,Blocked,455041.93,0.1
2,103,29003,-123.7803927,43.38353106,Culvert,UnkAnad,108847.2,0.1
2,103,8034,-123.8314414,43.35656871,Falls,Partial,455041.93,0.5
2,112,8914,-124.031562,43.36849672,Culvert,Passable,108847.2,1
2,140,8915,-124.056048,43.3598135,Culvert,Passable,108847.2,1
2,140,44887,-124.0504175,43.36896689,CascadeGradientVelocity,Partial,455041.93,0.5
2,141,39912,-124.1274,43.377433,TideGate,UnkAnad,77617.39,0.5
2,144,39913,-124.106791,43.37647399,TideGate,UnkAnad,77617.39,0.5
2,152,8857,-124.3553282,43.3395042,Culvert,Passable,108847.2,1
2,163,39761,-124.137742,43.37581599,TideGate,UnkAnad,77617.39,0.5
2,163,39774,-124.137742,43.37581599,TideGate,UnkAnad,77617.39,0.5
2,173,39764,-124.119353,43.377683,TideGate,UnkAnad,77617.39,0.5
2,173,39777,-124.119353,43.377683,TideGate,UnkAnad,77617.39,0.5
2,177,45373,-124.0012,43.3898,Falls,Blocked,455041.93,0.1
2,193,11750,-124.1448356,43.3084573,TideGate,UnkAnad,77617.39,0.5
2,193,33217,-124.14825,43.28855,Bridge,Unknown,370171,0.1
2,193,33419,-124.175861,43.362889,Bridge,Unknown,370171,0.1
2,193,38513,-124.152069,43.282767,Bridge,Unknown,370171,0.1
2,193,39861,-124.149976,43.294631,TideGate,UnkAnad,77617.39,0.5
2,193,39862,-124.14889,43.287108,TideGate,UnkAnad,77617.39,0.5
2,193,39899,-124.148581,43.288293,TideGate,UnkAnad,77617.39,0.5
2,204,10652,-124.1886495,43.42199366,TideGate,UnkAnad,77617.39,0.5
2,204,39830,-124.184168,43.424603,TideGate,UnkAnad,77617.39,0.5
2,204,39833,-124.165015,43.428384,TideGate,UnkAnad,77617.39,0.5
2,204,39834,-124.16257,43.427446,TideGate,UnkAnad,77617.39,0.5
2,204,10317,-124.0906045,43.45547423,Falls,Blocked,455041.93,0.1
2,212,39765,-124.117317,43.37729199,TideGate,UnkAnad,77617.39,0.5
2,212,39778,-124.117317,43.37729199,TideGate,UnkAnad,77617.39,0.5
2,222,8027,-123.9721767,43.39141263,Falls,Unknown,455041.93,0.5
2,224,45409,-124.00835,43.35906716,CascadeGradientVelocity,Blocked,455041.93,0.1
2,229,34150,-124.153011,43.365981,Bridge,Unknown,370171,0.1
2,229,38547,-124.152117,43.365819,Bridge,Unknown,370171,0.1
2,235,18109,-124.3029244,43.35970719,Dam,Unknown,487195.2,0.1
2,235,29465,-124.3029931,43.35982822,Culvert,Unknown,108847.2,0.1
2,235,8921,-124.3033301,43.36008145,Culvert,Passable,108847.2,1
2,268,7110,-124.2857118,43.37846875,Culvert,Blocked,108847.2,0.1
2,293,11665,-124.0734262,43.35874149,Culvert,Unknown,108847.2,0.1
2,293,12240,-124.0734262,43.35874149,Culvert,Unknown,108847.2,0.1
2,310,40010,-124.132002,43.376241,TideGate,UnkAnad,77617.39,0.5
2,316,39760,-124.141601,43.37436499,TideGate,UnkAnad,77617.39,0.5
2,316,39773,-124.141601,43.37436499,TideGate,UnkAnad,77617.39,0.5
2,317,3506,-124.2676152,43.40090558,Culvert,Unknown,108847.2,0.1
2,317,12239,-124.2676152,43.40090557,Culvert,Unknown,108847.2,0.1
2,317,18309,-124.2630615,43.39648056,Dam,Unknown,487195.2,0.1
2,317,19097,-124.2574346,43.39500934,Dam,Unknown,487195.2,0.1
2,356,39914,-124.092703,43.374108,TideGate,UnkAnad,77617.39,0.5
2,362,16403,-124.1339225,43.37691193,TideGate,UnkAnad,77617.39,0.5
2,437,3756,-124.3876389,43.21513676,Culvert,Unknown,108847.2,0.1
2,444,40143,-124.3678593,43.33076255,Bridge,Unknown,370171,0.1
2,533,39766,-124.115048,43.376987,TideGate,UnkAnad,77617.39,0.5
2,533,39767,-124.114928,43.37693299,TideGate,UnkAnad,77617.39,0.5
2,533,39779,-124.115048,43.376987,TideGate,UnkAnad,77617.39,0.5
2,533,39780,-124.114928,43.37693299,TideGate,UnkAnad,77617.39,0.5
2,549,44903,-124.3607649,43.3034295,Culvert,Partial,108847.2,0.5
2,551,39910,-124.13848,43.373874,TideGate,UnkAnad,77617.39,0.5
2,576,39911,-124.134684,43.37526299,TideGate,UnkAnad,77617.39,0.5
2,577,7171,-124.385015,43.23430268,Culvert,UnkAnad,108847.2,0.1
2,600,39759,-124.143967,43.373225,TideGate,UnkAnad,77617.39,0.5
2,600,39772,-124.143967,43.373225,TideGate,UnkAnad,77617.39,0.5
2,605,39763,-124.12277,43.37841799,TideGate,UnkAnad,77617.39,0.5
2,605,39776,-124.12277,43.37841799,TideGate,UnkAnad,77617.39,0.5
2,615,39757,-124.157751,43.36099599,TideGate,UnkAnad,77617.39,0.5
2,615,39769,-124.157751,43.36099599,TideGate,UnkAnad,77617.39,0.5
2,615,39770,-124.157751,43.36099599,TideGate,UnkAnad,77617.39,0.5
3,651,15607,-124.212561,43.365803,TideGate,UnkAnad,77617.39,0.5
3,653,8865,-124.0643799,43.40367091,Culvert,Passable,108847.2,1
3,653,24532,-124.0795003,43.42278652,Culvert,Blocked,108847.2,0.1
3,655,29013,-123.657108,43.35427759,Culvert,Unknown,108847.2,0.1
3,655,29188,-123.657108,43.35427759,Culvert,Unknown,108847.2,0.1
3,655,5185,-123.6640145,43.34285601,Falls,Blocked,455041.93,0.1
3,659,33217,-124.14825,43.28855,Bridge,Unknown,370171,0.1
3,660,45376,-123.8333,43.234,Falls,Blocked,455041.93,0.1
3,667,45377,-123.7786,43.2211,CascadeGradientVelocity,Blocked,455041.93,0.1
3,670,45375,-123.7294,43.3877,Falls,Blocked,455041.93,0.1
3,676,39845,-124.161989,43.33809,TideGate,UnkAnad,77617.39,0.5
3,680,2748,-123.8307399,43.26108886,Culvert,UnkAnad,108847.2,0.1
3,686,29035,-124.0078135,43.46311565,Culvert,UnkAnad,108847.2,0.1
3,686,28638,-123.9870788,43.47597665,Falls,UnkAnad,455041.93,0.5
3,686,15636,-124.0247296,43.43442304,Culvert,Passable,108847.2,1
3,686,24528,-123.9966279,43.47457539,Culvert,Blocked,108847.2,0.1
3,686,29006,-124.0088206,43.46472299,Culvert,Partial,108847.2,0.5
3,688,3953,-124.293519,43.33666923,Dam,UnkAnad,487195.2,0.1
3,688,35576,-124.309889,43.33985,Bridge,Unknown,370171,0.1
3,688,29012,-124.2703033,43.32065073,Culvert,Partial,108847.2,0.5
3,691,7970,-123.8326159,43.24039802,CascadeGradientVelocity,UnkAnad,455041.93,0.1
3,696,5777,-124.1621962,43.37073757,Culvert,UnkAnad,108847.2,0.1
3,705,29037,-124.0762463,43.32017999,Culvert,UnkAnad,108847.2,0.1
3,710,5456,-123.9186435,43.45541986,Falls,Blocked,455041.93,0.1
3,712,11750,-124.1448356,43.3084573,TideGate,UnkAnad,77617.39,0.5
3,713,5599,-124.1896578,43.46576932,TideGate,UnkAnad,77617.39,0.5
3,713,6058,-124.1062433,43.51533505,Falls,UnkAnad,455041.93,0.5
3,713,39807,-124.161496,43.483774,TideGate,UnkAnad,77617.39,0.5
3,713,39808,-124.166233,43.481673,TideGate,UnkAnad,77617.39,0.5
3,713,39809,-124.168211,43.48275199,TideGate,UnkAnad,77617.39,0.5
3,713,39810,-124.172996,43.484161,TideGate,UnkAnad,77617.39,0.5
3,713,39811,-124.174996,43.48460299,TideGate,UnkAnad,77617.39,0.5
3,713,40014,-124.189054,43.465363,TideGate,UnkAnad,77617.39,0.5
3,716,8837,-123.9498298,43.46280589,Culvert,Unknown,108847.2,0.1
3,716,34984,-123.956617,43.455447,Bridge,Unknown,370171,0.1
3,716,3954,-123.9343472,43.47909753,CascadeGradientVelocity,Blocked,455041.93,0.1
3,716,5454,-123.9280295,43.48576126,Falls,Blocked,455041.93,0.1
3,718,24886,-124.1573782,43.38059501,Culvert,Blocked,108847.2,0.1
3,720,45374,-123.9821,43.3729,Falls,Blocked,455041.93,0.1
3,724,9873,-124.1981134,43.52021644,Culvert,Passable,108847.2,1
3,726,10409,-124.2158847,43.29517317,TideGate,UnkAnad,77617.39,0.5
3,726,41404,-124.2166879,43.29558043,Culvert,Unknown,108847.2,0.1
3,726,5770,-124.2173803,43.29580002,Culvert,UnkAnad,108847.2,0.1
3,737,29022,-123.8595746,43.26726029,Culvert,Blocked,108847.2,0.1
3,737,28663,-123.8595716,43.26724116,Falls,Blocked,455041.93,0.1
3,737,28664,-123.8610402,43.27079285,Falls,Blocked,455041.93,0.1
3,742,7956,-123.814061,43.27486068,Falls,UnkAnad,455041.93,0.5
3,742,8657,-123.8290524,43.2823098,CascadeGradientVelocity,Unknown,455041.93,0.1
3,742,28635,-123.8239622,43.28186092,Falls,Unknown,455041.93,0.5
3,742,28636,-123.8260357,43.28217987,Falls,Unknown,455041.93,0.5
3,742,28637,-123.8326626,43.28294672,Falls,Unknown,455041.93,0.5
3,742,2724,-123.8098696,43.27329594,Culvert,UnkAnad,108847.2,0.1
3,746,23713,-123.6627996,43.18460847,Culvert,Unknown,108847.2,0.1
3,748,5014,-124.1543219,43.28328543,Culvert,UnkAnad,108847.2,0.1
3,748,38513,-124.152069,43.282767,Bridge,Unknown,370171,0.1
