StrmLev,stream_ID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
2,3,-123.7040111,43.65135894,CascadeGradientVelocity,Partial,455041.93,0.5
2,3,-123.7112366,43.65618388,Culvert,Partial,108847.2,0.5
2,4,-123.8240979,43.78253627,Falls,UnkAnad,455041.93,0.5
2,4,-123.443686,43.786536,Bridge,Unknown,370171,0.1
2,4,-124.063719,43.738511,Bridge,Unknown,370171,0.1
2,4,-123.9237643,43.77163941,TideGate,Unknown,77617.39,0.5
2,4,-123.5495051,43.79034262,Bridge,Passable,370171,1
2,4,-123.5574987,43.78421116,Bridge,Passable,370171,1
2,4,-123.5508582,43.77976532,Bridge,Passable,370171,1
2,4,-123.4088921,43.78006964,Bridge,Passable,370171,1
2,4,-123.4686404,43.78267444,Bridge,Passable,370171,1
2,4,-123.5477614,43.7707955,Bridge,Passable,370171,1
2,4,-123.5536151,43.7610523,Bridge,Passable,370171,1
2,4,-123.8173757,43.78828447,Falls,Partial,455041.93,0.5
2,4,-123.4102266,43.77922634,Dam,Partial,487195.2,0.5
2,5,-123.986706,43.6914025,Culvert,Unknown,108847.2,0.1
2,6,-123.5884047,43.6466918,Culvert,Unknown,108847.2,0.1
2,8,-123.9337947,43.62832539,Falls,UnkAnad,455041.93,0.5
2,8,-123.9206938,43.659953,Culvert,Passable,108847.2,1
2,9,-123.996678,43.675289,Bridge,Unknown,370171,0.1
2,9,-123.9954967,43.66171983,Bridge,Passable,370171,1
2,9,-124.0051831,43.68616979,Bridge,Passable,370171,1
2,9,-123.9999557,43.693468,Bridge,Passable,370171,1
2,15,-123.8462858,43.59374428,CascadeGradientVelocity,Unknown,455041.93,0.1
2,15,-123.8455259,43.60645724,CascadeGradientVelocity,UnkAnad,455041.93,0.1
2,15,-123.8638395,43.63320646,Falls,UnkAnad,455041.93,0.5
2,15,-123.831781,43.570939,Bridge,Unknown,370171,0.1
2,15,-123.827581,43.544781,Bridge,Unknown,370171,0.1
2,15,-123.845769,43.598619,Bridge,Unknown,370171,0.1
2,15,-123.831756,43.570953,Bridge,Unknown,370171,0.1
2,15,-123.8450791,43.59583787,CascadeGradientVelocity,Blocked,455041.93,0.1
2,15,-123.8256158,43.55625812,Culvert,Blocked,108847.2,0.1
2,15,-123.858054,43.61488719,Bridge,Passable,370171,1
2,15,-123.8758063,43.65468768,Bridge,Passable,370171,1
2,15,-123.844578,43.59664572,Falls,Blocked,455041.93,0.1
2,16,-123.6112933,43.65017042,Culvert,Unknown,108847.2,0.1
2,17,-123.6522285,43.67242803,Bridge,Passable,370171,1
2,17,-123.6264657,43.67199286,Bridge,Passable,370171,1
2,17,-123.5929125,43.70872171,Culvert,Passable,108847.2,1
2,18,-123.825989,43.68087731,Falls,UnkAnad,455041.93,0.5
2,18,-123.8258477,43.68123777,Falls,UnkAnad,455041.93,0.5
2,18,-123.8269175,43.689851,Falls,UnkAnad,455041.93,0.5
2,18,-123.8270656,43.65514243,Bridge,Passable,370171,1
2,19,-124.0308524,43.69626361,TideGate,UnkAnad,77617.39,0.5
2,19,-124.0308524,43.69626361,TideGate,UnkAnad,77617.39,0.5
2,20,-123.7912076,43.66878713,Culvert,Passable,108847.2,1
2,21,-123.7630783,43.65786594,Culvert,Partial,108847.2,0.5
2,25,-123.8330513,43.65132265,Culvert,Blocked,108847.2,0.1
2,31,-123.6738296,43.60336191,Falls,UnkAnad,455041.93,0.5
2,31,-123.6708446,43.59853136,Culvert,Blocked,108847.2,0.1
2,31,-123.6658831,43.62968634,Bridge,Passable,370171,1
2,31,-123.6670704,43.63199864,Bridge,Passable,370171,1
2,31,-123.673285,43.62144998,Culvert,Passable,108847.2,1
2,35,-124.013404,43.62716935,Falls,UnkAnad,455041.93,0.5
2,35,-124.0125633,43.62684859,Falls,UnkAnad,455041.93,0.5
2,35,-124.115131,43.696939,Bridge,Unknown,370171,0.1
2,35,-124.0894107,43.66620495,Culvert,Passable,108847.2,1
2,35,-124.0583969,43.65707319,Bridge,Passable,370171,1
2,35,-124.0894329,43.66167211,Bridge,Passable,370171,1
2,35,-124.0894708,43.66247186,Bridge,Passable,370171,1
2,35,-124.0890589,43.66470693,Bridge,Passable,370171,1
2,35,-124.0867581,43.67817538,Bridge,Passable,370171,1
2,35,-124.0122666,43.62648849,Falls,Blocked,455041.93,0.1
2,38,-123.809841,43.66401077,Culvert,Unknown,108847.2,0.1
2,40,-123.7706129,43.6577961,Culvert,Unknown,108847.2,0.1
2,42,-123.977568,43.69071866,Culvert,Unknown,108847.2,0.1
2,46,-123.659738,43.63498378,Culvert,Unknown,108847.2,0.1
2,47,-124.129154,43.72009606,TideGate,UnkAnad,77617.39,0.5
2,47,-124.133624,43.691889,Culvert,Unknown,108847.2,0.1
2,48,-124.0400445,43.6956587,TideGate,UnkAnad,77617.39,0.5
2,48,-124.0400445,43.6956587,TideGate,UnkAnad,77617.39,0.5
2,49,-123.7100974,43.7004021,Falls,UnkAnad,455041.93,0.5
2,49,-123.7220987,43.70029356,Falls,UnkAnad,455041.93,0.5
2,49,-123.7365653,43.66150114,Bridge,Partial,370171,0.5
2,49,-123.7308376,43.66886227,Bridge,Partial,370171,0.5
2,49,-123.7388144,43.68849433,Bridge,Partial,370171,0.5
2,49,-123.7031516,43.70048304,Culvert,Partial,108847.2,0.5
2,50,-123.942153,43.680839,Culvert,Unknown,108847.2,0.1
2,51,-123.6655134,43.68378017,Culvert,Unknown,108847.2,0.1
2,54,-123.6205518,43.65027385,Culvert,Blocked,108847.2,0.1
2,55,-123.7012052,43.6646835,Culvert,Unknown,108847.2,0.1
2,56,-123.721051,43.65452092,Culvert,UnkAnad,108847.2,0.1
2,56,-123.7272011,43.63622642,Culvert,Passable,108847.2,1
2,56,-123.7274831,43.63986706,Bridge,Partial,370171,0.5
2,56,-123.718487,43.64981017,Bridge,Passable,370171,1
2,56,-123.7244835,43.64435575,Bridge,Passable,370171,1
2,56,-123.7210343,43.64666665,Bridge,Passable,370171,1
2,56,-123.718199,43.64854767,Bridge,Passable,370171,1
2,57,-123.7518099,43.65856018,Culvert,Unknown,108847.2,0.1
2,58,-123.6014159,43.64904878,Culvert,Unknown,108847.2,0.1
2,58,-123.6022141,43.64892898,Culvert,Passable,108847.2,1
2,59,-123.6178481,43.64046867,Culvert,Unknown,108847.2,0.1
2,60,-123.6360438,43.65051059,Culvert,Unknown,108847.2,0.1
2,61,-123.9065691,43.62161667,Falls,Unknown,455041.93,0.5
2,61,-123.906588,43.62126854,Falls,Unknown,455041.93,0.5
2,61,-123.9065491,43.62089846,Falls,Unknown,455041.93,0.5
2,61,-123.9063529,43.62062997,Falls,Unknown,455041.93,0.5
2,61,-123.9060728,43.62004696,Falls,Unknown,455041.93,0.5
2,61,-123.9064574,43.62206407,Falls,Blocked,455041.93,0.1
2,61,-123.9028067,43.65054885,Culvert,Partial,108847.2,0.5
2,62,-123.9512121,43.68335315,Culvert,Unknown,108847.2,0.1
