StrmLev,stream_ID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_scores
4,1,-123.8112578,45.86274867,Culvert,Blocked,108847.2,0.1
5,4,-123.9507121,45.947259,Culvert,Blocked,108847.2,0.1
3,47,-123.7886248,45.93373381,Culvert,Blocked,108847.2,0.1
2,63,-123.771867,45.905283,Culvert,Unknown,108847.2,0.1
3,72,-123.7811784,45.90989976,Culvert,Blocked,108847.2,0.1
3,78,-123.764022,45.86718457,Culvert,Unknown,108847.2,0.1
3,84,-123.8744947,45.91457822,Culvert,Blocked,108847.2,0.1
3,87,-123.8597093,45.92082572,Culvert,Blocked,108847.2,0.1
4,119,-123.7791746,45.87632049,Culvert,Blocked,108847.2,0.1
5,120,-123.7416641,45.88002164,Culvert,Blocked,108847.2,0.1
5,121,-123.8116406,45.89093654,Culvert,Blocked,108847.2,0.1
2,125,-123.7168075,45.91478788,Culvert,Passable,108847.2,1
3,144,-123.7824533,45.91142085,Culvert,Passable,108847.2,1
5,145,-123.7462156,45.87694965,Culvert,Blocked,108847.2,0.1
3,171,-123.765504,45.86830884,Culvert,Unknown,108847.2,0.1
3,184,-123.82755,45.87773791,Culvert,Blocked,108847.2,0.1
4,186,-123.9041803,45.95070485,Culvert,Blocked,108847.2,0.1
2,191,-123.7291273,45.90770305,Culvert,Unknown,108847.2,0.1
3,198,-123.8446927,45.91624499,Culvert,Blocked,108847.2,0.1
3,202,-123.7998534,45.91869305,Culvert,Blocked,108847.2,0.1
3,208,-123.914669,46.001531,Bridge,Unknown,370171,0.1
3,211,-123.8725913,45.91568398,Culvert,Blocked,108847.2,0.1
4,221,-123.7508485,45.87732987,Culvert,Blocked,108847.2,0.1
5,238,-123.8112586,45.88694247,Culvert,Blocked,108847.2,0.1
4,244,-123.8618107,45.88447283,Culvert,Blocked,108847.2,0.1
3,245,-123.8060895,45.86473519,Culvert,Blocked,108847.2,0.1
3,247,-123.76475,45.87273214,Culvert,Unknown,108847.2,0.1
3,269,-123.762481,45.88053477,Culvert,Unknown,108847.2,0.1
3,287,-123.7771593,45.88761913,Culvert,Blocked,108847.2,0.1
2,310,-123.763383,45.89930018,Culvert,Blocked,108847.2,0.1
4,313,-123.9534877,45.92557263,Culvert,Blocked,108847.2,0.1
3,317,-123.8874791,45.92039604,Culvert,Blocked,108847.2,0.1
4,319,-123.9462372,45.92706724,Culvert,Blocked,108847.2,0.1
3,323,-123.8401787,45.91571563,Culvert,Blocked,108847.2,0.1
4,335,-123.7753222,45.87327796,Culvert,Blocked,108847.2,0.1
3,343,-123.8179871,45.87598245,Culvert,Blocked,108847.2,0.1
3,343,-123.8179871,45.87598245,Culvert,Blocked,108847.2,0.1
3,343,-123.8186375,45.87726474,Culvert,Blocked,108847.2,0.1
3,343,-123.8192662,45.86626708,Culvert,Blocked,108847.2,0.1
2,348,-123.7531549,45.9040192,Culvert,Blocked,108847.2,0.1
4,351,-123.7199575,45.90687894,Culvert,Unknown,108847.2,0.1
4,385,-123.9350762,45.93257302,Culvert,Blocked,108847.2,0.1
4,392,-123.8378447,45.85548294,Culvert,Passable,108847.2,1
4,405,-123.9055086,45.9184828,Culvert,Blocked,108847.2,0.1
3,408,-123.747181,45.91605635,Falls,Blocked,455041.93,0.1
4,436,-123.8591962,45.92699754,Culvert,Blocked,108847.2,0.1
3,442,-123.7863217,45.89123098,Culvert,Unknown,108847.2,0.1
3,442,-123.7896129,45.88699597,Culvert,Blocked,108847.2,0.1
3,448,-123.8136491,45.87458634,Culvert,Blocked,108847.2,0.1
3,454,-123.7989138,45.91628937,Culvert,Blocked,108847.2,0.1
5,455,-123.8100546,45.89146935,Culvert,Blocked,108847.2,0.1
4,464,-123.8584972,45.92967538,Culvert,Blocked,108847.2,0.1
3,468,-123.8700581,45.91739014,Culvert,Blocked,108847.2,0.1
4,482,-123.8595598,45.92517742,Culvert,Blocked,108847.2,0.1
5,509,-123.744937,45.87712766,Culvert,Blocked,108847.2,0.1
3,512,-123.7730312,45.89714525,Culvert,Blocked,108847.2,0.1
4,514,-123.8060444,45.87746013,Culvert,Unknown,108847.2,0.1
2,524,-123.7955249,45.908331,Culvert,UnkAnad,108847.2,0.1
4,543,-123.8579076,45.9234548,Culvert,Blocked,108847.2,0.1
3,561,-123.8640103,45.91851222,Culvert,Blocked,108847.2,0.1
4,569,-123.9381835,45.91875652,Culvert,Unknown,108847.2,0.1
3,570,-123.8423499,45.91618408,Culvert,Blocked,108847.2,0.1
1,573,-123.9252554,45.95183762,Dam,UnkAnad,487195.2,0.1
1,573,-123.743767,45.90780467,WeirSill,UnkAnad,190097.21,0.5
1,573,-123.92655,45.952919,Bridge,Unknown,370171,0.1
1,573,-123.744664,45.906717,Bridge,Unknown,370171,0.1
1,573,-123.859739,45.902194,Bridge,Unknown,370171,0.1
1,573,-123.925589,45.989419,Bridge,Unknown,370171,0.1
1,573,-123.894639,45.920969,Bridge,Unknown,370171,0.1
1,573,-123.924239,45.99315,Bridge,Unknown,370171,0.1
1,573,-123.9242,45.992081,Bridge,Unknown,370171,0.1
1,573,-123.927269,45.979289,Bridge,Unknown,370171,0.1
1,573,-123.924189,45.994531,Bridge,Unknown,370171,0.1
1,573,-123.922139,46.001511,Bridge,Unknown,370171,0.1
1,573,-123.759253,45.901258,Bridge,Unknown,370171,0.1
1,573,-123.743531,45.90791099,Bridge,Unknown,370171,0.1
2,575,-123.867711,45.901439,Bridge,Unknown,370171,0.1
2,575,-123.8672117,45.89032241,Falls,Blocked,455041.93,0.1
2,578,-123.8725913,45.91568398,Culvert,Blocked,108847.2,0.1
2,578,-123.8803284,45.9116697,Bridge,Passable,370171,1
2,579,-123.911411,46.010831,Bridge,Unknown,370171,0.1
2,579,-123.919619,45.9826,Bridge,Unknown,370171,0.1
2,579,-123.91475,45.99315,Bridge,Unknown,370171,0.1
2,579,-123.914669,46.001531,Bridge,Unknown,370171,0.1
