StrmLev,stream_ID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
1,1,-123.858686,45.709133,Bridge,Unknown,370171,0.1
1,1,-123.253269,45.833019,Bridge,Unknown,370171,0.1
1,1,-123.843819,45.6999,Bridge,Unknown,370171,0.1
1,1,-123.282981,45.806669,Bridge,Unknown,370171,0.1
1,1,-123.544406,45.896717,Bridge,Unknown,370171,0.1
1,1,-123.555175,45.858908,Bridge,Unknown,370171,0.1
1,1,-123.172669,45.858161,Bridge,Unknown,370171,0.1
1,1,-123.20285,45.843511,Bridge,Unknown,370171,0.1
1,1,-123.49225,45.935089,Bridge,Unknown,370171,0.1
1,1,-123.460661,45.951139,Bridge,Unknown,370171,0.1
1,1,-123.420239,45.970069,Bridge,Unknown,370171,0.1
1,1,-123.367419,45.980061,Bridge,Unknown,370171,0.1
1,1,-123.338889,45.989039,Bridge,Unknown,370171,0.1
1,1,-123.156019,45.8994,Bridge,Unknown,370171,0.1
1,1,-123.162361,45.8798,Bridge,Unknown,370171,0.1
1,1,-123.212481,45.840589,Bridge,Unknown,370171,0.1
1,1,-123.591181,45.843669,Bridge,Unknown,370171,0.1
1,1,-123.772308,45.7225,Bridge,Unknown,370171,0.1
1,1,-123.327139,46.002639,Bridge,Unknown,370171,0.1
1,1,-123.236519,45.844569,Bridge,Unknown,370171,0.1
1,1,-123.19615,45.97505,Bridge,Unknown,370171,0.1
1,1,-123.298069,45.760381,Bridge,Unknown,370171,0.1
1,1,-123.296869,45.720719,Bridge,Unknown,370171,0.1
1,1,-123.2975,46.012481,Bridge,Unknown,370171,0.1
1,1,-123.320831,45.70703899,Bridge,Unknown,370171,0.1
1,1,-123.344869,45.70708099,Bridge,Unknown,370171,0.1
1,1,-123.4087192,45.72355605,Falls,UnkAnad,455041.93,0.5
1,1,-123.1672264,45.96001941,Culvert,UnkAnad,108847.2,0.1
1,1,-123.7710289,45.72523018,Falls,Partial,455041.93,0.5
1,1,-123.4171837,45.72666935,Falls,Blocked,455041.93,0.1
1,1,-123.889533,45.709172,Bridge,Passable,370171,1
2,2,-123.876258,45.733661,Bridge,Unknown,370171,0.1
2,5,-123.8448469,45.76883702,Culvert,UnkAnad,108847.2,0.1
2,5,-123.7317179,45.86553205,Culvert,UnkAnad,108847.2,0.1
2,5,-123.71565,45.855481,Bridge,Unknown,370171,0.1
2,5,-123.712181,45.85625,Bridge,Unknown,370171,0.1
2,5,-123.700639,45.848189,Bridge,Unknown,370171,0.1
2,5,-123.690519,45.841869,Bridge,Unknown,370171,0.1
2,5,-123.6855699,45.84045528,Culvert,Unknown,108847.2,0.1
2,5,-123.6951659,45.81308279,Falls,Partial,455041.93,0.5
2,5,-123.7439685,45.81183533,Falls,Partial,455041.93,0.5
2,5,-123.7746026,45.81370787,Dam,Partial,487195.2,0.5
2,5,-123.8219311,45.78497731,Bridge,Passable,370171,1
2,5,-123.7340682,45.86555629,Bridge,Passable,370171,1
2,6,-123.5074972,45.83188425,Culvert,Unknown,108847.2,0.1
2,6,-123.5075107,45.83466683,Culvert,Partial,108847.2,0.5
2,6,-123.5092223,45.83675959,Culvert,Partial,108847.2,0.5
2,6,-123.5195676,45.84118067,Falls,Blocked,455041.93,0.1
2,9,-123.7143994,45.682547,Culvert,Unknown,108847.2,0.1
2,9,-123.6288045,45.68921877,Falls,Blocked,455041.93,0.1
2,9,-123.638618,45.68866899,Culvert,Partial,108847.2,0.5
2,9,-123.637794,45.68881212,Bridge,Passable,370171,1
2,9,-123.6192529,45.68346492,Bridge,Passable,370171,1
2,10,-123.1312475,45.95049221,Culvert,UnkAnad,108847.2,0.1
2,10,-123.0999363,45.94762613,Culvert,UnkAnad,108847.2,0.1
2,10,-123.1312475,45.95049221,Culvert,UnkAnad,108847.2,0.1
2,10,-123.164881,45.946369,Bridge,Unknown,370171,0.1
2,10,-123.1544,45.947619,Culvert,Unknown,108847.2,0.1
2,10,-123.0979671,45.94684703,Culvert,Partial,108847.2,0.5
2,13,-123.846531,45.695089,Bridge,Unknown,370171,0.1
2,13,-123.856022,45.64495,Bridge,Unknown,370171,0.1
2,13,-123.853908,45.647589,Bridge,Unknown,370171,0.1
2,13,-123.849164,45.652103,Bridge,Unknown,370171,0.1
2,13,-123.8904834,45.64004849,Culvert,Unknown,108847.2,0.1
2,14,-123.652872,45.74985,Bridge,Unknown,370171,0.1
2,14,-123.4446371,45.72467218,Falls,Blocked,455041.93,0.1
2,14,-123.4444087,45.74380725,Culvert,Passable,108847.2,1
2,14,-123.4022494,45.74671889,Culvert,Passable,108847.2,1
2,15,-123.7731601,45.6964803,Culvert,Partial,108847.2,0.5
2,21,-123.9132548,45.75198179,Culvert,Unknown,108847.2,0.1
2,21,-123.8859295,45.73756628,Culvert,Unknown,108847.2,0.1
2,21,-123.9027823,45.73929436,Culvert,Unknown,108847.2,0.1
2,21,-123.8800923,45.73250719,Culvert,Partial,108847.2,0.5
2,22,-123.7221454,45.72103238,CascadeGradientVelocity,Partial,455041.93,0.5
2,23,-123.8767639,45.69914639,Culvert,Partial,108847.2,0.5
2,24,-123.3603782,46.06075778,Falls,UnkAnad,455041.93,0.5
2,24,-123.3635731,46.06143423,Falls,UnkAnad,455041.93,0.5
2,24,-123.364161,46.013389,Bridge,Unknown,370171,0.1
2,24,-123.355481,46.034919,Bridge,Unknown,370171,0.1
2,24,-123.333631,46.04625,Bridge,Unknown,370171,0.1
2,24,-123.337819,46.00185,Bridge,Unknown,370171,0.1
2,24,-123.3679765,46.03189939,Dam,Passable,487195.2,1
2,24,-123.3540027,46.03451712,Dam,Partial,487195.2,0.5
2,24,-123.3597297,46.06057463,Falls,Blocked,455041.93,0.1
2,27,-123.1908193,45.75633129,Culvert,Unknown,108847.2,0.1
2,27,-123.23103,45.809566,Culvert,UnkAnad,108847.2,0.1
2,27,-123.187651,45.75774539,Falls,Unknown,455041.93,0.5
2,27,-123.216781,45.83955,Bridge,Unknown,370171,0.1
2,27,-123.219469,45.838869,Bridge,Unknown,370171,0.1
2,27,-123.212481,45.840589,Bridge,Unknown,370171,0.1
2,27,-123.227939,45.832219,Bridge,Unknown,370171,0.1
