StrmLev,stream_id,fpbFtrTy,fpbFPasSta,cost,pass_score
2,47,Falls,Unknown,455041.93,0.5
2,48,Culvert,Unknown,108847.2,0.1
2,170,Culvert,Unknown,108847.2,0.1
2,181,Culvert,Unknown,108847.2,0.1
2,189,Culvert,Unknown,108847.2,0.1
1,203,Falls,UnkAnad,455041.93,0.5
1,203,Falls,Unknown,455041.93,0.5
1,203,Falls,Unknown,455041.93,0.5
1,203,Falls,Unknown,455041.93,0.5
1,203,Bridge,Unknown,370171,0.1
1,203,Bridge,Unknown,370171,0.1
1,203,Bridge,Unknown,370171,0.1
1,203,Bridge,Unknown,370171,0.1
1,203,Bridge,Unknown,370171,0.1
1,203,Bridge,Unknown,370171,0.1
1,203,Falls,Blocked,455041.93,0.1
2,204,Culvert,Partial,108847.2,0.5
2,205,Bridge,Unknown,370171,0.1
2,205,Bridge,Unknown,370171,0.1
2,209,Culvert,Partial,108847.2,0.5
2,209,Culvert,Partial,108847.2,0.5
2,210,Culvert,Passable,108847.2,1
2,213,Bridge,Unknown,370171,0.1
2,214,Culvert,Passable,108847.2,1
2,220,Bridge,Unknown,370171,0.1
2,220,Bridge,Unknown,370171,0.1
2,220,Bridge,Unknown,370171,0.1
2,220,Bridge,Unknown,370171,0.1
2,220,Falls,Unknown,455041.93,0.5
2,220,Culvert,Partial,108847.2,0.5
2,222,Culvert,Unknown,108847.2,0.1
2,223,Culvert,Unknown,108847.2,0.1
2,224,Culvert,Passable,108847.2,1
2,225,Bridge,Unknown,370171,0.1
2,228,Culvert,Unknown,108847.2,0.1
2,230,Culvert,Passable,108847.2,1
2,232,Falls,Blocked,455041.93,0.1
2,239,Culvert,UnkAnad,108847.2,0.1
2,243,Culvert,Partial,108847.2,0.5
2,247,Culvert,Passable,108847.2,1
2,250,Bridge,Unknown,370171,0.1
2,253,Bridge,Unknown,370171,0.1
2,253,Bridge,Unknown,370171,0.1
2,253,Culvert,Unknown,108847.2,0.1
2,255,Culvert,Unknown,108847.2,0.1
2,257,Culvert,UnkAnad,108847.2,0.1
2,257,Culvert,UnkAnad,108847.2,0.1
2,258,Culvert,Unknown,108847.2,0.1
2,258,Culvert,Unknown,108847.2,0.1
2,259,Culvert,Passable,108847.2,1
2,268,Culvert,Unknown,108847.2,0.1
2,278,Culvert,Unknown,108847.2,0.1
2,283,Culvert,Unknown,108847.2,0.1
2,288,Culvert,Partial,108847.2,0.5
2,296,Culvert,Unknown,108847.2,0.1
2,301,Falls,Blocked,455041.93,0.1
2,305,Culvert,Unknown,108847.2,0.1
3,320,Culvert,UnkAnad,108847.2,0.1
3,322,Culvert,UnkAnad,108847.2,0.1
3,322,Falls,Unknown,455041.93,0.5
3,322,Culvert,Passable,108847.2,1
3,322,Falls,Blocked,455041.93,0.1
3,323,Culvert,Blocked,108847.2,0.1
3,328,Culvert,Partial,108847.2,0.5
3,334,Culvert,Unknown,108847.2,0.1
3,334,Culvert,Unknown,108847.2,0.1
3,334,Culvert,Partial,108847.2,0.5
3,345,Falls,Passable,455041.93,1
3,362,Culvert,Passable,108847.2,1
3,382,Culvert,Blocked,108847.2,0.1
3,386,Culvert,Unknown,108847.2,0.1
3,392,Culvert,Partial,108847.2,0.5
3,392,Culvert,Partial,108847.2,0.5
3,394,Falls,Unknown,455041.93,0.5
3,397,Culvert,Unknown,108847.2,0.1
3,399,Culvert,Unknown,108847.2,0.1
3,408,Culvert,Blocked,108847.2,0.1
3,427,Culvert,Unknown,108847.2,0.1
3,448,Culvert,Partial,108847.2,0.5
3,488,Culvert,Unknown,108847.2,0.1
3,601,Falls,Unknown,455041.93,0.5
3,655,Culvert,Passable,108847.2,1
3,781,Culvert,Partial,108847.2,0.5
3,813,Culvert,Unknown,108847.2,0.1
3,838,Culvert,Unknown,108847.2,0.1
4,1219,Culvert,Partial,108847.2,0.5
4,1379,Culvert,Partial,108847.2,0.5
4,1511,Culvert,Partial,108847.2,0.5
5,1537,Culvert,Blocked,108847.2,0.1
4,1557,Culvert,Passable,108847.2,1
4,1568,Culvert,Partial,108847.2,0.5
4,1568,Culvert,Blocked,108847.2,0.1
4,1569,Falls,Passable,455041.93,1
4,1593,Culvert,Unknown,108847.2,0.1
4,1638,Culvert,Blocked,108847.2,0.1
