StrmLev,stream_id,fpbFtrTy,fpbFPasSta,cost,pass_score
2,25,CascadeGradientVelocity,Partial,455041.93,0.5
1,105,Culvert,UnkAnad,108847.2,0.1
1,105,Dam,UnkAnad,487195.2,0.1
1,105,Bridge,Unknown,370171,0.1
1,105,Bridge,Unknown,370171,0.1
1,105,Bridge,Unknown,370171,0.1
1,105,Bridge,Unknown,370171,0.1
1,105,CascadeGradientVelocity,Partial,455041.93,0.5
2,106,Bridge,Unknown,370171,0.1
2,106,Bridge,Unknown,370171,0.1
2,106,Bridge,Unknown,370171,0.1
2,106,Bridge,Unknown,370171,0.1
2,112,Culvert,UnkAnad,108847.2,0.1
2,112,CascadeGradientVelocity,Partial,455041.93,0.5
2,115,Culvert,Blocked,108847.2,0.1
2,116,Bridge,Unknown,370171,0.1
2,118,Culvert,UnkAnad,108847.2,0.1
2,118,Dam,UnkAnad,487195.2,0.1
2,121,Culvert,Unknown,108847.2,0.1
2,128,Culvert,Passable,108847.2,1
2,140,Culvert,UnkAnad,108847.2,0.1
2,148,Culvert,Passable,108847.2,1
2,155,Culvert,Passable,108847.2,1
2,164,Culvert,UnkAnad,108847.2,0.1
3,220,Culvert,Partial,108847.2,0.5
3,221,Culvert,Partial,108847.2,0.5
3,221,Culvert,Partial,108847.2,0.5
3,231,Bridge,Unknown,370171,0.1
3,232,Bridge,Unknown,370171,0.1
3,232,Culvert,Partial,108847.2,0.5
3,241,Bridge,Unknown,370171,0.1
3,469,CascadeGradientVelocity,Partial,455041.93,0.5
3,846,CascadeGradientVelocity,Partial,455041.93,0.5
3,847,Culvert,UnkAnad,108847.2,0.1
3,863,Bridge,Unknown,370171,0.1
3,864,Culvert,UnkAnad,108847.2,0.1
3,864,Culvert,UnkAnad,108847.2,0.1
3,865,Culvert,UnkAnad,108847.2,0.1
3,893,Culvert,Partial,108847.2,0.5
3,907,Bridge,Unknown,370171,0.1
3,1009,Culvert,UnkAnad,108847.2,0.1
3,1009,Dam,UnkAnad,487195.2,0.1
3,1053,Culvert,Blocked,108847.2,0.1
4,1204,Culvert,Partial,108847.2,0.5
4,1685,Culvert,UnkAnad,108847.2,0.1
4,1726,CascadeGradientVelocity,Partial,455041.93,0.5
4,1737,Culvert,Partial,108847.2,0.5
4,1750,Culvert,Partial,108847.2,0.5
4,2441,Culvert,Unknown,108847.2,0.1
4,2499,Bridge,Unknown,370171,0.1
4,2632,Culvert,Partial,108847.2,0.5
5,3548,Culvert,Partial,108847.2,0.5
5,3865,Culvert,Blocked,108847.2,0.1
