StrmLev,stream_id,fpbFtrTy,fpbFPasSta,cost,pass_score
1,266,Culvert,Partial,108847.2,0.5
1,266,Bridge,Unknown,370171,0.1
1,266,Bridge,Unknown,370171,0.1
1,266,Bridge,Unknown,370171,0.1
2,267,Falls,UnkAnad,455041.93,0.5
2,267,Bridge,Unknown,370171,0.1
2,267,Bridge,Unknown,370171,0.1
2,272,Falls,UnkAnad,455041.93,0.5
2,272,Falls,UnkAnad,455041.93,0.5
2,272,Falls,UnkAnad,455041.93,0.5
2,272,Falls,UnkAnad,455041.93,0.5
2,272,Falls,UnkAnad,455041.93,0.5
2,272,Falls,UnkAnad,455041.93,0.5
2,272,Falls,Unknown,455041.93,0.5
2,273,Bridge,Unknown,370171,0.1
2,273,Bridge,Unknown,370171,0.1
2,277,Culvert,Blocked,108847.2,0.1
2,277,Culvert,Partial,108847.2,0.5
2,277,Culvert,Partial,108847.2,0.5
2,280,Falls,UnkAnad,455041.93,0.5
2,282,Culvert,Passable,108847.2,1
2,282,Dam,Partial,487195.2,0.5
2,282,Culvert,Partial,108847.2,0.5
2,282,Culvert,Partial,108847.2,0.5
2,282,Culvert,Partial,108847.2,0.5
2,282,Culvert,Passable,108847.2,1
2,282,Culvert,Passable,108847.2,1
2,282,Culvert,Passable,108847.2,1
2,282,Ford,UnkAnad,108847.2,0.5
2,282,Bridge,Unknown,370171,0.1
2,288,Culvert,Unknown,108847.2,0.1
2,304,Bridge,Unknown,370171,0.1
3,321,Bridge,Unknown,370171,0.1
3,322,Bridge,Unknown,370171,0.1
3,329,Falls,UnkAnad,455041.93,0.5
3,329,Falls,UnkAnad,455041.93,0.5
3,331,Bridge,Unknown,370171,0.1
3,331,Bridge,Unknown,370171,0.1
3,336,Falls,Blocked,455041.93,0.1
3,336,Falls,UnkAnad,455041.93,0.5
3,336,Falls,Unknown,455041.93,0.5
3,342,Falls,Blocked,455041.93,0.1
3,342,Culvert,Unknown,108847.2,0.1
3,352,Culvert,Blocked,108847.2,0.1
3,373,Culvert,Passable,108847.2,1
3,401,CascadeGradientVelocity,Blocked,455041.93,0.1
3,404,Culvert,Passable,108847.2,1
3,410,CascadeGradientVelocity,Blocked,455041.93,0.1
3,410,Culvert,Partial,108847.2,0.5
3,410,Dam,Blocked,487195.2,0.1
3,410,Culvert,Blocked,108847.2,0.1
3,410,Dam,Unknown,487195.2,0.1
3,410,Culvert,Unknown,108847.2,0.1
3,410,Bridge,Unknown,370171,0.1
3,411,Falls,UnkAnad,455041.93,0.5
3,411,Falls,UnkAnad,455041.93,0.5
4,655,Bridge,Unknown,370171,0.1
4,1010,Falls,UnkAnad,455041.93,0.5
4,1046,CascadeGradientVelocity,Blocked,455041.93,0.1
4,1113,Culvert,Unknown,108847.2,0.1
4,1157,Culvert,Blocked,108847.2,0.1
4,1158,Bridge,Unknown,370171,0.1
4,1169,Falls,Blocked,455041.93,0.1
5,1789,CascadeGradientVelocity,Blocked,455041.93,0.1
