"barrier_id","pass_score","strm_id","strm_lev","cost"
2,1,266,1,370171
3,1,266,1,370171
4,1,266,1,370171
1,1,266,1,108847.2
6,1,267,2,370171
7,1,267,2,370171
5,1,267,2,455041.93
8,1,272,2,455041.93
9,1,272,2,455041.93
10,1,272,2,455041.93
11,1,272,2,455041.93
12,1,272,2,455041.93
13,1,272,2,455041.93
14,1,272,2,455041.93
15,1,273,2,370171
16,0.1,273,2,370171
17,0.1,277,2,108847.2
18,0.5,277,2,108847.2
19,0.5,277,2,108847.2
20,0.5,280,2,455041.93
30,0.1,282,2,370171
22,0.5,282,2,487195.2
23,0.5,282,2,108847.2
24,0.5,282,2,108847.2
25,0.5,282,2,108847.2
29,0.5,282,2,108847.2
21,0.9,282,2,108847.2
26,0.9,282,2,108847.2
27,0.9,282,2,108847.2
28,0.9,282,2,108847.2
31,0.1,288,2,108847.2
32,0.1,304,2,370171
33,0.1,321,3,370171
34,0.1,322,3,370171
35,0.5,329,3,455041.93
36,0.5,329,3,455041.93
37,0.1,331,3,370171
38,0.1,331,3,370171
39,0.1,336,3,455041.93
40,0.5,336,3,455041.93
41,0.5,336,3,455041.93
42,0.1,342,3,455041.93
43,0.1,342,3,108847.2
44,0.1,352,3,108847.2
45,0.9,373,3,108847.2
46,0.1,401,3,455041.93
47,0.9,404,3,108847.2
48,0.1,410,3,455041.93
50,0.1,410,3,487195.2
51,0.1,410,3,108847.2
52,0.1,410,3,487195.2
53,0.1,410,3,108847.2
54,0.1,410,3,370171
49,0.5,410,3,108847.2
55,0.5,411,3,455041.93
56,0.5,411,3,455041.93
57,0.1,655,4,370171
58,0.5,1010,4,455041.93
59,0.1,1046,4,455041.93
60,0.1,1113,4,108847.2
61,0.1,1157,4,108847.2
62,0.1,1158,4,370171
63,0.1,1169,4,455041.93
64,0.1,1789,5,455041.93
