stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
36,Culvert,Partial,108847.2,0.5,1.5061E-37
42,Culvert,Partial,108847.2,0.5,
73,Falls,UnkAnad,455041.93,0.5,
73,Dam,Passable,487195.2,1,
73,Bridge,Passable,370171,1,
73,Bridge,Passable,370171,1,
73,Bridge,Passable,370171,1,
86,Culvert,Partial,108847.2,0.5,
86,Bridge,Passable,370171,1,
93,Culvert,Passable,108847.2,1,
99,Falls,Partial,455041.93,0.5,
99,Culvert,Partial,108847.2,0.5,
119,Falls,Unknown,455041.93,0.5,
119,Falls,Unknown,455041.93,0.5,
119,Falls,Unknown,455041.93,0.5,
119,Falls,Unknown,455041.93,0.5,
119,Falls,Unknown,455041.93,0.5,
119,Culvert,Partial,108847.2,0.5,
140,Falls,Partial,455041.93,0.5,
140,Culvert,Partial,108847.2,0.5,
154,Bridge,Passable,370171,1,
160,Culvert,Partial,108847.2,0.5,
185,Culvert,Passable,108847.2,1,
185,Culvert,Passable,108847.2,1,
235,Culvert,Partial,108847.2,0.5,
235,Culvert,Passable,108847.2,1,
273,Culvert,Partial,108847.2,0.5,
300,TideGate,UnkAnad,77617.39,0.5,
331,Bridge,Passable,370171,1,
331,Bridge,Passable,370171,1,
338,Culvert,Passable,108847.2,1,
347,Culvert,Passable,108847.2,1,
393,Falls,Unknown,455041.93,0.5,
393,Falls,Partial,455041.93,0.5,
418,Falls,Partial,455041.93,0.5,
474,Culvert,Partial,108847.2,0.5,
531,Culvert,Partial,108847.2,0.5,
531,Culvert,Passable,108847.2,1,
531,Culvert,Partial,108847.2,0.5,
558,Culvert,Passable,108847.2,1,
558,Culvert,Passable,108847.2,1,
575,Falls,UnkAnad,455041.93,0.5,
612,TideGate,UnkAnad,77617.39,0.5,
616,Bridge,Passable,370171,1,
616,Bridge,Passable,370171,1,
638,Culvert,Partial,108847.2,0.5,
655,Culvert,Partial,108847.2,0.5,
737,Culvert,Passable,108847.2,1,
741,Falls,UnkAnad,455041.93,0.5,
749,Falls,UnkAnad,455041.93,0.5,
749,Bridge,Passable,370171,1,
749,Bridge,Passable,370171,1,
804,Bridge,Passable,370171,1,
841,Bridge,Passable,370171,1,
847,Culvert,Passable,108847.2,1,
888,Bridge,Passable,370171,1,
888,Bridge,Passable,370171,1,
913,Culvert,Partial,108847.2,0.5,
916,Culvert,Partial,108847.2,0.5,
934,Culvert,Partial,108847.2,0.5,
934,Culvert,Passable,108847.2,1,
934,Culvert,Passable,108847.2,1,
1005,Bridge,Passable,370171,1,
1005,Bridge,Passable,370171,1,
1021,Culvert,Partial,108847.2,0.5,
1021,Culvert,Partial,108847.2,0.5,
1088,Culvert,Passable,108847.2,1,
1149,Culvert,Partial,108847.2,0.5,
1153,Bridge,Passable,370171,1,
1186,Culvert,Partial,108847.2,0.5,
1239,Culvert,Partial,108847.2,0.5,
1255,TideGate,UnkAnad,77617.39,0.5,
1259,Bridge,Passable,370171,1,
1267,Culvert,Partial,108847.2,0.5,
1283,Culvert,Partial,108847.2,0.5,
1419,Falls,Unknown,455041.93,0.5,
1446,Culvert,Passable,108847.2,1,
1446,Culvert,Passable,108847.2,1,
1458,Falls,Partial,455041.93,0.5,
1484,Culvert,Partial,108847.2,0.5,
1592,Culvert,Passable,108847.2,1,
1627,Culvert,Partial,108847.2,0.5,
1750,Ford,UnkAnad,108847.2,0.5,
1750,Ford,UnkAnad,108847.2,0.5,
1752,Culvert,Partial,108847.2,0.5,
1754,Culvert,Partial,108847.2,0.5,
1755,Culvert,Passable,108847.2,1,
1786,Bridge,Passable,370171,1,
1829,Culvert,Partial,108847.2,0.5,
1848,Bridge,Passable,370171,1,
1848,Bridge,Passable,370171,1,
2106,Culvert,Partial,108847.2,0.5,
2159,Bridge,Passable,370171,1,
2159,Bridge,Passable,370171,1,
2190,Culvert,Partial,108847.2,0.5,
2232,Falls,UnkAnad,455041.93,0.5,
2247,Culvert,Partial,108847.2,0.5,
2258,Ford,UnkAnad,108847.2,0.5,
2366,Falls,Unknown,455041.93,0.5,
2366,Falls,Unknown,455041.93,0.5,
2366,Falls,Unknown,455041.93,0.5,
2374,Culvert,Partial,108847.2,0.5,
2391,Culvert,Partial,108847.2,0.5,
2591,Culvert,Partial,108847.2,0.5,
2745,Bridge,Passable,370171,1,
2879,Bridge,Passable,370171,1,
2879,Bridge,Passable,370171,1,
2997,Culvert,Partial,108847.2,0.5,
3007,Culvert,Passable,108847.2,1,
3009,Culvert,Partial,108847.2,0.5,
3009,Culvert,Partial,108847.2,0.5,
3128,Culvert,Partial,108847.2,0.5,
3304,Culvert,Partial,108847.2,0.5,
3375,Culvert,Partial,108847.2,0.5,
3523,Culvert,Partial,108847.2,0.5,
3593,Culvert,Passable,108847.2,1,
3593,Culvert,Passable,108847.2,1,
3672,Culvert,Passable,108847.2,1,
3674,Bridge,Passable,370171,1,
3738,Culvert,Partial,108847.2,0.5,
3783,Culvert,Partial,108847.2,0.5,
3821,Culvert,Partial,108847.2,0.5,
3952,Falls,Unknown,455041.93,0.5,
4019,Culvert,Passable,108847.2,1,
4119,Culvert,Partial,108847.2,0.5,
4333,Culvert,Partial,108847.2,0.5,
4601,Bridge,Passable,370171,1,
4622,Culvert,Partial,108847.2,0.5,
4804,Culvert,Passable,108847.2,1,
4825,Falls,Partial,455041.93,0.5,
4979,Culvert,Partial,108847.2,0.5,
5041,Culvert,Partial,108847.2,0.5,
5081,Culvert,Partial,108847.2,0.5,
5150,Culvert,Passable,108847.2,1,
5154,Culvert,Partial,108847.2,0.5,
5215,Culvert,Partial,108847.2,0.5,
5275,Falls,Unknown,455041.93,0.5,
5287,Ford,UnkAnad,108847.2,0.5,
5381,Culvert,Passable,108847.2,1,
5585,Falls,Unknown,455041.93,0.5,
5789,Falls,Partial,455041.93,0.5,
5925,Culvert,Passable,108847.2,1,
5937,Culvert,Partial,108847.2,0.5,
6005,Culvert,Partial,108847.2,0.5,
6424,Culvert,Partial,108847.2,0.5,
6424,Culvert,Partial,108847.2,0.5,
6424,Culvert,Partial,108847.2,0.5,
6479,Bridge,Passable,370171,1,
6531,Culvert,Partial,108847.2,0.5,
6531,Culvert,Partial,108847.2,0.5,
6579,Falls,Unknown,455041.93,0.5,
6579,Falls,UnkAnad,455041.93,0.5,
6579,Bridge,Passable,370171,1,
6754,Falls,Unknown,455041.93,0.5,
6775,Falls,Partial,455041.93,0.5,
6902,Culvert,Partial,108847.2,0.5,
7121,Culvert,Partial,108847.2,0.5,
7144,Culvert,Passable,108847.2,1,
7176,Culvert,Partial,108847.2,0.5,
7284,Culvert,Partial,108847.2,0.5,
7387,Culvert,Partial,108847.2,0.5,
7500,Culvert,Passable,108847.2,1,
7844,Culvert,Partial,108847.2,0.5,
7845,Culvert,Passable,108847.2,1,
7845,Bridge,Passable,370171,1,
8068,Culvert,Passable,108847.2,1,
8477,Culvert,Partial,108847.2,0.5,
8748,Culvert,Partial,108847.2,0.5,
8796,Culvert,Passable,108847.2,1,
8799,Culvert,Partial,108847.2,0.5,
8998,Culvert,Partial,108847.2,0.5,
8998,Culvert,Partial,108847.2,0.5,
9033,Falls,Unknown,455041.93,0.5,
9033,Falls,Unknown,455041.93,0.5,
9376,Falls,Partial,455041.93,0.5,
9436,Culvert,Partial,108847.2,0.5,
9436,Culvert,Partial,108847.2,0.5,
9482,Culvert,Partial,108847.2,0.5,
9567,Culvert,Passable,108847.2,1,
9750,Culvert,Partial,108847.2,0.5,
9816,Culvert,Passable,108847.2,1,
9826,Culvert,Partial,108847.2,0.5,
9863,Bridge,Passable,370171,1,
10011,TideGate,UnkAnad,77617.39,0.5,
10068,TideGate,UnkAnad,77617.39,0.5,
10249,Culvert,Partial,108847.2,0.5,
10373,Culvert,Passable,108847.2,1,
10373,Culvert,Partial,108847.2,0.5,
10704,Bridge,Passable,370171,1,
10983,Culvert,Partial,108847.2,0.5,
11366,TideGate,UnkAnad,77617.39,0.5,
11411,Culvert,Passable,108847.2,1,
11444,Culvert,Partial,108847.2,0.5,
12414,Culvert,Passable,108847.2,1,
12651,Culvert,Partial,108847.2,0.5,
13436,Culvert,Partial,108847.2,0.5,
13577,Bridge,Passable,370171,1,
13899,Culvert,Partial,108847.2,0.5,
14190,Falls,Unknown,455041.93,0.5,
14190,Falls,Unknown,455041.93,0.5,
14794,Culvert,Passable,108847.2,1,
14818,Bridge,Passable,370171,1,
15206,Falls,Unknown,455041.93,0.5,
15622,Falls,Partial,455041.93,0.5,
15989,Falls,Unknown,455041.93,0.5,
