StrmLev,stream_ID,fpbFtrID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
3,70,6222,-124.0490738,44.50599419,Culvert,Unknown,108847.2,0.1
2,342,6223,-124.0110979,44.52112368,Culvert,Unknown,108847.2,0.1
3,411,44810,-123.976733,44.54229456,CascadeGradientVelocity,Partial,455041.93,0.5
1,476,8460,-123.9397917,44.52388772,Culvert,UnkAnad,108847.2,0.1
1,476,27240,-123.9025567,44.51548982,Culvert,UnkAnad,108847.2,0.1
1,476,33130,-124.070161,44.520606,Bridge,Unknown,370171,0.1
1,476,34478,-124.074169,44.521361,Bridge,Unknown,370171,0.1
1,476,35047,-124.022839,44.502819,Bridge,Unknown,370171,0.1
1,476,35048,-124.052089,44.5104,Bridge,Unknown,370171,0.1
1,476,35066,-124.008239,44.529,Bridge,Unknown,370171,0.1
1,476,36802,-124.041883,44.514622,Bridge,Unknown,370171,0.1
2,480,6162,-124.0098858,44.51058922,Culvert,Passable,108847.2,1
2,480,44809,-123.968582,44.50335185,CascadeGradientVelocity,Blocked,455041.93,0.1
2,487,35049,-124.042361,44.502411,Bridge,Unknown,370171,0.1
2,487,36098,-124.032711,44.48175,Bridge,Unknown,370171,0.1
2,491,35047,-124.022839,44.502819,Bridge,Unknown,370171,0.1
2,505,8464,-123.9687335,44.52319245,Culvert,Partial,108847.2,0.5
2,506,6514,-123.9574481,44.5227848,Culvert,Partial,108847.2,0.5
2,509,8460,-123.9397917,44.52388772,Culvert,UnkAnad,108847.2,0.1
2,520,44841,-124.0224571,44.52176534,CascadeGradientVelocity,Partial,455041.93,0.5
3,534,8465,-124.0181853,44.48202679,Culvert,Passable,108847.2,1
3,538,6163,-124.0019137,44.50792228,Culvert,Unknown,108847.2,0.1
3,571,36099,-124.0334,44.478111,Bridge,Unknown,370171,0.1
3,582,36098,-124.032711,44.48175,Bridge,Unknown,370171,0.1
3,612,6162,-124.0098858,44.51058922,Culvert,Passable,108847.2,1
4,626,4676,-124.036318,44.46851931,Culvert,Passable,108847.2,1
