stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
39,CascadeGradientVelocity,Partial,455041.93,0.5,7.83384E-65
40,CascadeGradientVelocity,Partial,455041.93,0.5,
51,Falls,Partial,455041.93,0.5,
1144,CascadeGradientVelocity,Partial,455041.93,0.5,
1511,CascadeGradientVelocity,Partial,455041.93,0.5,
1512,Falls,Unknown,455041.93,0.5,
2591,Falls,Partial,455041.93,0.5,
2884,Falls,Partial,455041.93,0.5,
2884,CascadeGradientVelocity,Partial,455041.93,0.5,
2898,CascadeGradientVelocity,Partial,455041.93,0.5,
3310,Falls,UnkAnad,455041.93,0.5,
3310,Falls,Partial,455041.93,0.5,
3310,Falls,Partial,455041.93,0.5,
3310,Culvert,Partial,108847.2,0.5,
3310,Culvert,Partial,108847.2,0.5,
3312,CascadeGradientVelocity,Partial,455041.93,0.5,
3313,Falls,Partial,455041.93,0.5,
3376,CascadeGradientVelocity,Partial,455041.93,0.5,
3578,Culvert,Partial,108847.2,0.5,
3620,Culvert,Partial,108847.2,0.5,
3620,Culvert,Partial,108847.2,0.5,
3620,Culvert,Partial,108847.2,0.5,
3629,Culvert,Partial,108847.2,0.5,
3949,Falls,Unknown,455041.93,0.5,
3950,Falls,Unknown,455041.93,0.5,
3960,Falls,Unknown,455041.93,0.5,
3977,Falls,Unknown,455041.93,0.5,
4037,Falls,UnkAnad,455041.93,0.5,
4037,Falls,Unknown,455041.93,0.5,
4037,Falls,Unknown,455041.93,0.5,
4063,Falls,Unknown,455041.93,0.5,
4099,Falls,UnkAnad,455041.93,0.5,
4100,Falls,UnkAnad,455041.93,0.5,
4276,Falls,UnkAnad,455041.93,0.5,
4277,Falls,UnkAnad,455041.93,0.5,
4277,Falls,UnkAnad,455041.93,0.5,
4366,CascadeGradientVelocity,Partial,455041.93,0.5,
4471,Falls,UnkAnad,455041.93,0.5,
4678,Falls,Partial,455041.93,0.5,
5082,Falls,Partial,455041.93,0.5,
5475,Culvert,Partial,108847.2,0.5,
5741,CascadeGradientVelocity,Partial,455041.93,0.5,
5844,Falls,Unknown,455041.93,0.5,
5985,Culvert,Passable,108847.2,1,
6027,Culvert,Passable,108847.2,1,
6028,CascadeGradientVelocity,Partial,455041.93,0.5,
6257,Culvert,Passable,108847.2,1,
6258,Dam,Partial,487195.2,0.5,
6259,Culvert,Partial,108847.2,0.5,
6264,Culvert,Partial,108847.2,0.5,
6287,Culvert,Passable,108847.2,1,
6422,Culvert,Passable,108847.2,1,
6449,Culvert,Partial,108847.2,0.5,
6449,Dam,Passable,487195.2,1,
6581,Culvert,Partial,108847.2,0.5,
6629,TideGate,UnkAnad,77617.39,0.5,
7305,Falls,Unknown,455041.93,0.5,
7502,Culvert,Passable,108847.2,1,
7610,Falls,Unknown,455041.93,0.5,
8337,Culvert,Partial,108847.2,0.5,
8405,Culvert,Passable,108847.2,1,
8540,Falls,UnkAnad,455041.93,0.5,
8540,Culvert,Partial,108847.2,0.5,
8707,Falls,UnkAnad,455041.93,0.5,
8707,Falls,UnkAnad,455041.93,0.5,
8707,Falls,UnkAnad,455041.93,0.5,
8707,Falls,UnkAnad,455041.93,0.5,
8707,Falls,UnkAnad,455041.93,0.5,
8707,Falls,UnkAnad,455041.93,0.5,
8707,Falls,Partial,455041.93,0.5,
8708,Falls,Partial,455041.93,0.5,
8709,Falls,UnkAnad,455041.93,0.5,
8885,Falls,UnkAnad,455041.93,0.5,
8887,Falls,UnkAnad,455041.93,0.5,
8933,Falls,UnkAnad,455041.93,0.5,
8933,Falls,UnkAnad,455041.93,0.5,
8935,Falls,Unknown,455041.93,0.5,
8955,Falls,UnkAnad,455041.93,0.5,
9120,Falls,Partial,455041.93,0.5,
9120,Culvert,Passable,108847.2,1,
9120,Falls,Partial,455041.93,0.5,
9200,Culvert,Passable,108847.2,1,
9242,Falls,Partial,455041.93,0.5,
9642,Culvert,Passable,108847.2,1,
9643,Culvert,Passable,108847.2,1,
9647,Culvert,Passable,108847.2,1,
9792,Falls,UnkAnad,455041.93,0.5,
9817,Falls,UnkAnad,455041.93,0.5,
9820,CascadeGradientVelocity,Partial,455041.93,0.5,
9821,CascadeGradientVelocity,Partial,455041.93,0.5,
9827,CascadeGradientVelocity,Partial,455041.93,0.5,
9886,Falls,Unknown,455041.93,0.5,
10219,Falls,UnkAnad,455041.93,0.5,
10285,Culvert,Partial,108847.2,0.5,
10285,Culvert,Passable,108847.2,1,
10348,Culvert,Partial,108847.2,0.5,
10364,Culvert,Passable,108847.2,1,
10387,Falls,Unknown,455041.93,0.5,
10465,Culvert,Passable,108847.2,1,
10474,Culvert,Partial,108847.2,0.5,
10480,Culvert,Partial,108847.2,0.5,
10756,Culvert,Passable,108847.2,1,
10878,Dam,Partial,487195.2,0.5,
10905,TideGate,UnkAnad,77617.39,0.5,
10908,Culvert,Passable,108847.2,1,
10945,TideGate,UnkAnad,77617.39,0.5,
10971,TideGate,UnkAnad,77617.39,0.5,
10971,TideGate,UnkAnad,77617.39,0.5,
10971,TideGate,UnkAnad,77617.39,0.5,
10971,TideGate,UnkAnad,77617.39,0.5,
10977,TideGate,UnkAnad,77617.39,0.5,
10977,TideGate,UnkAnad,77617.39,0.5,
10978,TideGate,UnkAnad,77617.39,0.5,
10978,TideGate,UnkAnad,77617.39,0.5,
10981,TideGate,UnkAnad,77617.39,0.5,
10981,TideGate,UnkAnad,77617.39,0.5,
10985,TideGate,UnkAnad,77617.39,0.5,
10998,TideGate,UnkAnad,77617.39,0.5,
11003,TideGate,UnkAnad,77617.39,0.5,
11004,TideGate,UnkAnad,77617.39,0.5,
11004,TideGate,UnkAnad,77617.39,0.5,
11005,TideGate,UnkAnad,77617.39,0.5,
11005,TideGate,UnkAnad,77617.39,0.5,
11006,TideGate,UnkAnad,77617.39,0.5,
11060,TideGate,UnkAnad,77617.39,0.5,
11060,TideGate,UnkAnad,77617.39,0.5,
11060,TideGate,UnkAnad,77617.39,0.5,
11092,Culvert,Partial,108847.2,0.5,
11099,TideGate,UnkAnad,77617.39,0.5,
11099,TideGate,UnkAnad,77617.39,0.5,
11099,TideGate,UnkAnad,77617.39,0.5,
11100,Culvert,Partial,108847.2,0.5,
11124,Culvert,Partial,108847.2,0.5,
11350,TideGate,UnkAnad,77617.39,0.5,
11352,CascadeGradientVelocity,Partial,455041.93,0.5,
11352,Culvert,Partial,108847.2,0.5,
11414,TideGate,UnkAnad,77617.39,0.5,
11414,TideGate,UnkAnad,77617.39,0.5,
11414,Culvert,Passable,108847.2,1,
11423,TideGate,UnkAnad,77617.39,0.5,
11447,TideGate,Unknown,77617.39,0.5,
11480,Culvert,Passable,108847.2,1,
11481,Culvert,Passable,108847.2,1,
11507,Culvert,Passable,108847.2,1,
11562,Culvert,Passable,108847.2,1,
11562,Culvert,Passable,108847.2,1,
11562,Bridge,Passable,370171,1,
11562,Bridge,Passable,370171,1,
11706,TideGate,UnkAnad,77617.39,0.5,
11706,TideGate,UnkAnad,77617.39,0.5,
11706,TideGate,UnkAnad,77617.39,0.5,
11719,TideGate,UnkAnad,77617.39,0.5,
11731,TideGate,UnkAnad,77617.39,0.5,
11731,TideGate,UnkAnad,77617.39,0.5,
11731,TideGate,UnkAnad,77617.39,0.5,
11774,TideGate,UnkAnad,77617.39,0.5,
11779,TideGate,UnkAnad,77617.39,0.5,
11779,TideGate,UnkAnad,77617.39,0.5,
11782,TideGate,UnkAnad,77617.39,0.5,
11790,TideGate,UnkAnad,77617.39,0.5,
11807,TideGate,UnkAnad,77617.39,0.5,
11807,TideGate,UnkAnad,77617.39,0.5,
11807,TideGate,UnkAnad,77617.39,0.5,
11808,TideGate,UnkAnad,77617.39,0.5,
11808,TideGate,UnkAnad,77617.39,0.5,
11808,TideGate,UnkAnad,77617.39,0.5,
11809,Culvert,Passable,108847.2,1,
11839,Culvert,Passable,108847.2,1,
11864,Falls,Passable,455041.93,1,
11865,Falls,Passable,455041.93,1,
11878,Falls,Passable,455041.93,1,
11891,Culvert,Partial,108847.2,0.5,
11936,TideGate,UnkAnad,77617.39,0.5,
11936,Culvert,Passable,108847.2,1,
11985,TideGate,UnkAnad,77617.39,0.5,
12094,TideGate,UnkAnad,77617.39,0.5,
12096,TideGate,UnkAnad,77617.39,0.5,
12100,Culvert,Passable,108847.2,1,
12110,TideGate,UnkAnad,77617.39,0.5,
12173,TideGate,UnkAnad,77617.39,0.5,
12174,Culvert,Passable,108847.2,1,
12180,Culvert,Passable,108847.2,1,
12187,TideGate,UnkAnad,77617.39,0.5,
12196,TideGate,UnkAnad,77617.39,0.5,
12198,TideGate,UnkAnad,77617.39,0.5,
12199,TideGate,UnkAnad,77617.39,0.5,
12200,TideGate,UnkAnad,77617.39,0.5,
12200,TideGate,UnkAnad,77617.39,0.5,
12238,TideGate,UnkAnad,77617.39,0.5,
12239,TideGate,UnkAnad,77617.39,0.5,
12254,TideGate,UnkAnad,77617.39,0.5,
12256,TideGate,UnkAnad,77617.39,0.5,
12257,TideGate,UnkAnad,77617.39,0.5,
12258,Culvert,Passable,108847.2,1,
12292,TideGate,UnkAnad,77617.39,0.5,
12301,TideGate,UnkAnad,77617.39,0.5,
12301,TideGate,UnkAnad,77617.39,0.5,
12301,TideGate,UnkAnad,77617.39,0.5,
12301,TideGate,UnkAnad,77617.39,0.5,
12301,TideGate,UnkAnad,77617.39,0.5,
12461,Culvert,Passable,108847.2,1,
12595,TideGate,UnkAnad,77617.39,0.5,
12610,TideGate,UnkAnad,77617.39,0.5,
12617,Culvert,Passable,108847.2,1,
12687,TideGate,UnkAnad,77617.39,0.5,
