stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
23,Culvert,Partial,108847.2,0.5,9.40891E-80
58,Culvert,Partial,108847.2,0.5,
64,WeirSill,Passable,0,1,
64,Falls,Partial,455041.93,0.5,
67,Falls,Partial,455041.93,0.5,
75,Falls,UnkAnad,455041.93,0.5,
78,Falls,Unknown,455041.93,0.5,
78,Dam,Partial,487195.2,0.5,
89,Culvert,Partial,108847.2,0.5,
89,WeirSill,Partial,0,0.5,
89,WeirSill,Partial,0,0.5,
89,WeirSill,Partial,0,0.5,
89,WeirSill,Partial,0,0.5,
89,Falls,Partial,455041.93,0.5,
110,Culvert,Partial,108847.2,0.5,
115,Falls,Partial,455041.93,0.5,
154,Culvert,Partial,108847.2,0.5,
158,Culvert,Partial,108847.2,0.5,
182,TideGate,UnkAnad,77617.39,0.5,
183,Falls,UnkAnad,455041.93,0.5,
196,Falls,UnkAnad,455041.93,0.5,
222,CascadeGradientVelocity,Partial,455041.93,0.5,
229,Falls,UnkAnad,455041.93,0.5,
233,Falls,UnkAnad,455041.93,0.5,
233,Culvert,Passable,108847.2,1,
253,Culvert,Partial,108847.2,0.5,
256,Falls,UnkAnad,455041.93,0.5,
262,TideGate,UnkAnad,77617.39,0.5,
275,Culvert,Partial,108847.2,0.5,
278,Culvert,Partial,108847.2,0.5,
357,Falls,UnkAnad,455041.93,0.5,
404,Culvert,Partial,108847.2,0.5,
435,Falls,Unknown,455041.93,0.5,
482,Falls,UnkAnad,455041.93,0.5,
512,Culvert,Partial,108847.2,0.5,
552,Culvert,Partial,108847.2,0.5,
582,Culvert,Partial,108847.2,0.5,
620,Culvert,Partial,108847.2,0.5,
646,Culvert,Passable,108847.2,1,
653,Culvert,Partial,108847.2,0.5,
679,Culvert,Partial,108847.2,0.5,
776,Falls,UnkAnad,455041.93,0.5,
776,Falls,Partial,455041.93,0.5,
776,Falls,Partial,455041.93,0.5,
801,Culvert,Passable,108847.2,1,
802,Falls,Partial,455041.93,0.5,
808,Falls,Unknown,455041.93,0.5,
808,Falls,Unknown,455041.93,0.5,
808,Falls,Unknown,455041.93,0.5,
808,Falls,UnkAnad,455041.93,0.5,
808,CascadeGradientVelocity,Partial,455041.93,0.5,
835,Falls,UnkAnad,455041.93,0.5,
901,Culvert,Partial,108847.2,0.5,
1002,Culvert,Passable,108847.2,1,
1014,Falls,UnkAnad,455041.93,0.5,
1045,Falls,Unknown,455041.93,0.5,
1054,Falls,UnkAnad,455041.93,0.5,
1054,Falls,UnkAnad,455041.93,0.5,
1054,Falls,UnkAnad,455041.93,0.5,
1130,Falls,UnkAnad,455041.93,0.5,
1130,Falls,UnkAnad,455041.93,0.5,
1130,Falls,UnkAnad,455041.93,0.5,
1130,Culvert,Partial,108847.2,0.5,
1130,Bridge,Passable,370171,1,
1130,Dam,Partial,487195.2,0.5,
1144,Culvert,Partial,108847.2,0.5,
1146,Culvert,Partial,108847.2,0.5,
1255,Culvert,Passable,108847.2,1,
1260,Falls,Unknown,455041.93,0.5,
1260,Falls,UnkAnad,455041.93,0.5,
1260,Dam,Partial,487195.2,0.5,
1262,Culvert,Partial,108847.2,0.5,
1301,Culvert,Partial,108847.2,0.5,
1308,Culvert,Passable,108847.2,1,
1322,Culvert,Partial,108847.2,0.5,
1356,Culvert,Partial,108847.2,0.5,
1373,Culvert,Partial,108847.2,0.5,
1380,Falls,UnkAnad,455041.93,0.5,
1389,Culvert,Passable,108847.2,1,
1391,Culvert,Partial,108847.2,0.5,
1391,Culvert,Passable,108847.2,1,
1421,Culvert,Partial,108847.2,0.5,
1421,Culvert,Partial,108847.2,0.5,
1437,Falls,UnkAnad,455041.93,0.5,
1437,Falls,UnkAnad,455041.93,0.5,
1453,Falls,Unknown,455041.93,0.5,
1528,Culvert,Passable,108847.2,1,
1547,Culvert,Partial,108847.2,0.5,
1563,Falls,UnkAnad,455041.93,0.5,
1563,Falls,UnkAnad,455041.93,0.5,
1563,Falls,Partial,455041.93,0.5,
1577,Culvert,Partial,108847.2,0.5,
1617,Culvert,Passable,108847.2,1,
1744,Culvert,Passable,108847.2,1,
1883,Falls,UnkAnad,455041.93,0.5,
1883,Falls,UnkAnad,455041.93,0.5,
1885,Culvert,Partial,108847.2,0.5,
1905,Culvert,Passable,108847.2,1,
1909,Culvert,Partial,108847.2,0.5,
1918,Falls,UnkAnad,455041.93,0.5,
1918,Falls,UnkAnad,455041.93,0.5,
1925,Culvert,Partial,108847.2,0.5,
1933,Falls,Unknown,455041.93,0.5,
1969,Culvert,Passable,108847.2,1,
2012,WeirSill,Partial,0,0.5,
2015,Falls,Partial,455041.93,0.5,
2016,Culvert,Passable,108847.2,1,
2178,Culvert,Partial,108847.2,0.5,
2271,Falls,Unknown,455041.93,0.5,
2334,Culvert,Passable,108847.2,1,
2352,CascadeGradientVelocity,Partial,455041.93,0.5,
2355,Culvert,Partial,108847.2,0.5,
2363,Falls,Unknown,455041.93,0.5,
2443,Falls,Unknown,455041.93,0.5,
2443,Falls,Unknown,455041.93,0.5,
2475,Culvert,Passable,108847.2,1,
2482,Culvert,Passable,108847.2,1,
2515,TideGate,UnkAnad,77617.39,0.5,
2515,TideGate,UnkAnad,77617.39,0.5,
2557,Falls,Unknown,455041.93,0.5,
2561,Culvert,Partial,108847.2,0.5,
2563,Culvert,Partial,108847.2,0.5,
2563,Culvert,Partial,108847.2,0.5,
2579,TideGate,UnkAnad,77617.39,0.5,
2606,Culvert,Partial,108847.2,0.5,
2610,Falls,UnkAnad,455041.93,0.5,
2610,Bridge,Passable,370171,1,
2610,Bridge,Passable,370171,1,
2765,Culvert,Partial,108847.2,0.5,
2851,Culvert,Partial,108847.2,0.5,
2889,Culvert,Partial,108847.2,0.5,
2889,Culvert,Passable,108847.2,1,
2972,CascadeGradientVelocity,Partial,455041.93,0.5,
3003,Culvert,Passable,108847.2,1,
3104,Culvert,Partial,108847.2,0.5,
3153,Culvert,Passable,108847.2,1,
3172,Culvert,Passable,108847.2,1,
3199,TideGate,UnkAnad,77617.39,0.5,
3199,TideGate,UnkAnad,77617.39,0.5,
3199,TideGate,UnkAnad,77617.39,0.5,
3199,TideGate,UnkAnad,77617.39,0.5,
3199,TideGate,UnkAnad,77617.39,0.5,
3199,TideGate,UnkAnad,77617.39,0.5,
3199,TideGate,UnkAnad,77617.39,0.5,
3199,TideGate,UnkAnad,77617.39,0.5,
3199,TideGate,UnkAnad,77617.39,0.5,
3208,Culvert,Passable,108847.2,1,
3265,Culvert,Passable,108847.2,1,
3422,Culvert,Partial,108847.2,0.5,
3482,Culvert,Passable,108847.2,1,
3559,Falls,Unknown,455041.93,0.5,
3559,Falls,Unknown,455041.93,0.5,
3559,Falls,Unknown,455041.93,0.5,
3559,Falls,Unknown,455041.93,0.5,
3559,Bridge,Passable,370171,1,
3559,Bridge,Passable,370171,1,
3559,Bridge,Passable,370171,1,
3593,Culvert,Partial,108847.2,0.5,
3593,Culvert,Partial,108847.2,0.5,
3674,Culvert,Partial,108847.2,0.5,
3676,Culvert,Partial,108847.2,0.5,
3685,Falls,UnkAnad,455041.93,0.5,
3717,Culvert,Partial,108847.2,0.5,
3839,Culvert,Passable,108847.2,1,
3867,Culvert,Passable,108847.2,1,
3931,Falls,UnkAnad,455041.93,0.5,
4280,TideGate,UnkAnad,77617.39,0.5,
4294,Falls,Unknown,455041.93,0.5,
4317,Falls,Unknown,455041.93,0.5,
4324,Culvert,Partial,108847.2,0.5,
4324,Falls,Partial,455041.93,0.5,
4361,Culvert,Passable,108847.2,1,
4365,Culvert,Passable,108847.2,1,
4427,Culvert,Partial,108847.2,0.5,
4519,Falls,Unknown,455041.93,0.5,
4591,Falls,UnkAnad,455041.93,0.5,
4591,Falls,UnkAnad,455041.93,0.5,
4591,CascadeGradientVelocity,Partial,455041.93,0.5,
4611,Falls,UnkAnad,455041.93,0.5,
4702,Culvert,Passable,108847.2,1,
4731,Culvert,Partial,108847.2,0.5,
4739,Culvert,Partial,108847.2,0.5,
4788,Culvert,Passable,108847.2,1,
4834,TideGate,UnkAnad,77617.39,0.5,
4834,Culvert,Passable,108847.2,1,
4834,Culvert,Passable,108847.2,1,
4942,Culvert,Partial,108847.2,0.5,
4946,Falls,Unknown,455041.93,0.5,
4946,Falls,UnkAnad,455041.93,0.5,
4975,Culvert,Passable,108847.2,1,
5074,Culvert,Passable,108847.2,1,
5143,Falls,Unknown,455041.93,0.5,
5196,Culvert,Partial,108847.2,0.5,
5236,Dam,Partial,487195.2,0.5,
5255,Falls,UnkAnad,455041.93,0.5,
5255,Culvert,Passable,108847.2,1,
5397,Culvert,Passable,108847.2,1,
5414,Culvert,Partial,108847.2,0.5,
5549,Falls,Partial,455041.93,0.5,
5604,Falls,Unknown,455041.93,0.5,
5604,Falls,Unknown,455041.93,0.5,
5604,Falls,Unknown,455041.93,0.5,
5604,Bridge,Passable,370171,1,
5847,Culvert,Passable,108847.2,1,
6021,Falls,UnkAnad,455041.93,0.5,
6033,Culvert,Partial,108847.2,0.5,
6434,Falls,Unknown,455041.93,0.5,
6434,Culvert,Partial,108847.2,0.5,
6434,Culvert,Passable,108847.2,1,
6449,Falls,Unknown,455041.93,0.5,
