StrmLev,stream_ID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
1,101,-124.3233,42.96219967,Falls,Blocked,455041.93,0.5
1,101,-124.3233,42.96219967,Falls,Blocked,455041.93,0.1
2,117,-124.4316124,42.94356955,Falls,Partial,455041.93,0.5
2,117,-124.4316124,42.94356955,Falls,Partial,455041.93,0.5
2,118,-124.4684692,42.86150586,Culvert,Blocked,108847.2,0.1
2,118,-124.5021876,42.90313547,Dam,Partial,487195.2,0.1
2,118,-124.4684692,42.86150586,Culvert,Blocked,108847.2,0.1
2,118,-124.5021876,42.90313547,Dam,Partial,487195.2,0.5
2,123,-124.4252939,42.97504661,Culvert,Partial,108847.2,0.1
2,123,-124.4544739,42.98537753,Dam,Partial,487195.2,0.1
2,123,-124.4252939,42.97504661,Culvert,Partial,108847.2,0.5
2,123,-124.4544739,42.98537753,Dam,Partial,487195.2,0.5
2,133,-124.4592846,42.9029675,Culvert,Blocked,108847.2,0.1
2,133,-124.4560135,42.90229579,Culvert,Blocked,108847.2,0.1
2,133,-124.4592846,42.9029675,Culvert,Blocked,108847.2,0.1
2,133,-124.4560135,42.90229579,Culvert,Blocked,108847.2,0.1
2,140,-124.3233,42.96219967,Falls,Blocked,455041.93,0.5
2,140,-124.3233,42.96219967,Falls,Blocked,455041.93,0.1
2,181,-124.3541956,42.93493557,Culvert,Blocked,108847.2,0.1
2,181,-124.3541956,42.93493557,Culvert,Blocked,108847.2,0.1
3,237,-124.4073506,42.94181763,Culvert,Blocked,108847.2,0.1
3,237,-124.4356468,42.95756059,Culvert,Passable,108847.2,1
3,237,-124.4073506,42.94181763,Culvert,Blocked,108847.2,0.1
3,256,-124.4233638,42.98174606,Culvert,Passable,108847.2,1
3,270,-124.2814074,42.88635001,Culvert,Blocked,108847.2,0.1
3,270,-124.2814074,42.88635001,Culvert,Blocked,108847.2,0.1
3,288,-124.5049242,42.86481766,Culvert,Blocked,108847.2,0.1
3,288,-124.5049242,42.86481766,Culvert,Blocked,108847.2,0.1
3,775,-124.4288737,42.96629914,Bridge,Passable,370171,1
3,913,-124.408587,42.89724685,Culvert,Blocked,108847.2,0.1
3,913,-124.408587,42.89724685,Culvert,Blocked,108847.2,0.1
4,1587,-124.4288737,42.96629914,Bridge,Passable,370171,1
4,2140,-124.259033,42.94093839,Culvert,Blocked,108847.2,0.1
4,2140,-124.259033,42.94093839,Culvert,Blocked,108847.2,0.1
4,2163,-124.2571202,42.93994081,Culvert,Blocked,108847.2,0.1
4,2163,-124.2571202,42.93994081,Culvert,Blocked,108847.2,0.1
