stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
31,Culvert,Passable,108847.2,1,1.64899E-46
104,Culvert,Partial,108847.2,0.5,
113,Culvert,Partial,108847.2,0.5,
145,Culvert,Passable,108847.2,1,
272,Culvert,Passable,108847.2,1,
272,Bridge,Passable,370171,1,
272,Bridge,Passable,370171,1,
273,Falls,UnkAnad,455041.93,0.5,
273,Falls,UnkAnad,455041.93,0.5,
294,Falls,UnkAnad,455041.93,0.5,
680,Bridge,Passable,370171,1,
681,Culvert,Passable,108847.2,1,
681,Bridge,Passable,370171,1,
823,Culvert,Partial,108847.2,0.5,
823,Culvert,Partial,108847.2,0.5,
876,Culvert,Partial,108847.2,0.5,
925,Culvert,Partial,108847.2,0.5,
1154,Bridge,Passable,370171,1,
1422,Culvert,Partial,108847.2,0.5,
1422,Culvert,Partial,108847.2,0.5,
1459,Culvert,Partial,108847.2,0.5,
1474,Culvert,Passable,108847.2,1,
1524,Bridge,Passable,370171,1,
1551,Culvert,Partial,108847.2,0.5,
1551,CascadeGradientVelocity,Partial,455041.93,0.5,
1610,Culvert,Passable,108847.2,1,
1610,Bridge,Partial,370171,0.5,
1610,Bridge,Passable,370171,1,
1610,Bridge,Passable,370171,1,
1610,Bridge,Passable,370171,1,
1610,Bridge,Passable,370171,1,
1995,Falls,UnkAnad,455041.93,0.5,
2017,Culvert,Partial,108847.2,0.5,
2041,Culvert,Partial,108847.2,0.5,
2074,Culvert,Passable,108847.2,1,
2123,Bridge,Partial,370171,0.5,
2123,Bridge,Partial,370171,0.5,
2124,Falls,UnkAnad,455041.93,0.5,
2124,Bridge,Partial,370171,0.5,
2125,Falls,UnkAnad,455041.93,0.5,
2210,Culvert,Partial,108847.2,0.5,
2257,Culvert,Partial,108847.2,0.5,
2344,Bridge,Partial,370171,0.5,
2682,Culvert,Partial,108847.2,0.5,
2774,Bridge,Passable,370171,1,
2818,Falls,UnkAnad,455041.93,0.5,
2902,Culvert,Passable,108847.2,1,
2927,Bridge,Passable,370171,1,
3035,Culvert,Passable,108847.2,1,
3035,Culvert,Passable,108847.2,1,
3035,Culvert,Passable,108847.2,1,
3052,Falls,UnkAnad,455041.93,0.5,
3052,Culvert,Partial,108847.2,0.5,
3335,Bridge,Passable,370171,1,
3336,Falls,UnkAnad,455041.93,0.5,
3336,Falls,UnkAnad,455041.93,0.5,
3336,Falls,UnkAnad,455041.93,0.5,
3388,Falls,UnkAnad,455041.93,0.5,
3568,Bridge,Passable,370171,1,
3570,Falls,UnkAnad,455041.93,0.5,
3570,Bridge,Passable,370171,1,
6061,WeirSill,Partial,0,0.5,
6450,WeirSill,Partial,0,0.5,
6500,Culvert,Partial,108847.2,0.5,
6754,Falls,Unknown,455041.93,0.5,
6754,Culvert,Partial,108847.2,0.5,
6792,Culvert,Partial,108847.2,0.5,
6843,Culvert,Partial,108847.2,0.5,
7065,Falls,UnkAnad,455041.93,0.5,
7065,Bridge,Passable,370171,1,
7065,Bridge,Passable,370171,1,
7066,Falls,Unknown,455041.93,0.5,
7067,Falls,Unknown,455041.93,0.5,
7592,Falls,Unknown,455041.93,0.5,
8207,Culvert,Partial,108847.2,0.5,
8242,Culvert,Partial,108847.2,0.5,
8297,Culvert,Partial,108847.2,0.5,
8483,Falls,UnkAnad,455041.93,0.5,
8508,Culvert,Partial,108847.2,0.5,
8508,Culvert,Partial,108847.2,0.5,
8544,Culvert,Partial,108847.2,0.5,
8611,Falls,Unknown,455041.93,0.5,
8998,Culvert,Partial,108847.2,0.5,
9031,Falls,Unknown,455041.93,0.5,
9031,Falls,Unknown,455041.93,0.5,
9031,Falls,Unknown,455041.93,0.5,
9031,Falls,Unknown,455041.93,0.5,
9031,Falls,Unknown,455041.93,0.5,
