stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
58,Bridge,Passable,370171,1,1.1181E-126
82,Culvert,Passable,108847.2,1,
126,Culvert,Passable,108847.2,1,
139,Culvert,Passable,108847.2,1,
139,Bridge,Passable,370171,1,
139,Culvert,Partial,108847.2,0.5,
208,Culvert,Passable,108847.2,1,
208,Culvert,Passable,108847.2,1,
440,Bridge,Passable,370171,1,
440,Bridge,Passable,370171,1,
656,Culvert,Passable,108847.2,1,
658,Bridge,Passable,370171,1,
658,Bridge,Passable,370171,1,
658,Dam,Partial,487195.2,0.5,
659,Dam,Partial,487195.2,0.5,
659,Bridge,Passable,370171,1,
660,Culvert,Passable,108847.2,1,
660,Bridge,Passable,370171,1,
1455,Culvert,Partial,108847.2,0.5,
1627,Culvert,Partial,108847.2,0.5,
1918,Culvert,Passable,108847.2,1,
1966,Culvert,Passable,108847.2,1,
2054,Bridge,Passable,370171,1,
2054,Dam,Partial,487195.2,0.5,
2055,Bridge,Passable,370171,1,
2127,Culvert,Partial,108847.2,0.5,
2148,Culvert,Partial,108847.2,0.5,
2162,Culvert,Partial,108847.2,0.5,
2179,Dam,Partial,487195.2,0.5,
2184,Bridge,Passable,370171,1,
2184,Culvert,Partial,108847.2,0.5,
2210,Culvert,Partial,108847.2,0.5,
2502,Bridge,Passable,370171,1,
2595,Falls,UnkAnad,455041.93,0.5,
2595,Falls,Unknown,455041.93,0.5,
2595,Falls,Unknown,455041.93,0.5,
2595,Culvert,Passable,108847.2,1,
2616,Falls,Unknown,455041.93,0.5,
2634,Falls,UnkAnad,455041.93,0.5,
2679,Culvert,Passable,108847.2,1,
2712,Culvert,Passable,108847.2,1,
2718,Falls,UnkAnad,455041.93,0.5,
2965,Culvert,Partial,108847.2,0.5,
3040,Culvert,Partial,108847.2,0.5,
3087,Culvert,Passable,108847.2,1,
3087,Culvert,Partial,108847.2,0.5,
3087,Culvert,Passable,108847.2,1,
3087,Culvert,Partial,108847.2,0.5,
3087,Culvert,Partial,108847.2,0.5,
3123,Culvert,Partial,108847.2,0.5,
3136,Falls,UnkAnad,455041.93,0.5,
3136,Culvert,Partial,108847.2,0.5,
3193,Culvert,Passable,108847.2,1,
3210,Culvert,Passable,108847.2,1,
3211,Culvert,Passable,108847.2,1,
3212,Culvert,Passable,108847.2,1,
3214,Culvert,Passable,108847.2,1,
3253,Culvert,Partial,108847.2,0.5,
3277,Culvert,Partial,108847.2,0.5,
3277,Culvert,Partial,108847.2,0.5,
3277,Culvert,Partial,108847.2,0.5,
3277,Culvert,Partial,108847.2,0.5,
3297,Culvert,Partial,108847.2,0.5,
3307,Culvert,Partial,108847.2,0.5,
3314,Culvert,Partial,108847.2,0.5,
3322,Culvert,Partial,108847.2,0.5,
3343,Culvert,Partial,108847.2,0.5,
3343,Culvert,Partial,108847.2,0.5,
3344,Culvert,Partial,108847.2,0.5,
3344,Culvert,Passable,108847.2,1,
3411,Culvert,Partial,108847.2,0.5,
3412,Culvert,Passable,108847.2,1,
3412,Culvert,Passable,108847.2,1,
3618,Culvert,Partial,108847.2,0.5,
3640,Culvert,Partial,108847.2,0.5,
3679,Culvert,Partial,108847.2,0.5,
3702,Bridge,Passable,370171,1,
3702,Bridge,Passable,370171,1,
3702,Bridge,Passable,370171,1,
3702,Bridge,Passable,370171,1,
3702,Bridge,Passable,370171,1,
3703,Bridge,Passable,370171,1,
3704,Bridge,Passable,370171,1,
3704,Culvert,Partial,108847.2,0.5,
3793,Culvert,Passable,108847.2,1,
3794,Falls,UnkAnad,455041.93,0.5,
3794,Falls,UnkAnad,455041.93,0.5,
3795,Falls,UnkAnad,455041.93,0.5,
3800,Falls,UnkAnad,455041.93,0.5,
3806,Falls,UnkAnad,455041.93,0.5,
3848,Culvert,Passable,108847.2,1,
3848,Culvert,Partial,108847.2,0.5,
3939,Culvert,Partial,108847.2,0.5,
4196,Culvert,Passable,108847.2,1,
4217,Culvert,Passable,108847.2,1,
4230,Bridge,Passable,370171,1,
4257,Culvert,Partial,108847.2,0.5,
4257,Bridge,Passable,370171,1,
4257,Bridge,Passable,370171,1,
4257,Bridge,Passable,370171,1,
4258,Culvert,Partial,108847.2,0.5,
4259,Culvert,Partial,108847.2,0.5,
4260,Culvert,Partial,108847.2,0.5,
4274,Culvert,Partial,108847.2,0.5,
4363,Culvert,Partial,108847.2,0.5,
4381,Culvert,Partial,108847.2,0.5,
4420,Bridge,Passable,370171,1,
4428,Culvert,Passable,108847.2,1,
4458,Culvert,Passable,108847.2,1,
4730,Culvert,Partial,108847.2,0.5,
4734,Culvert,Partial,108847.2,0.5,
4829,Bridge,Passable,370171,1,
4831,Culvert,Passable,108847.2,1,
4832,Falls,UnkAnad,455041.93,0.5,
4832,Culvert,Passable,108847.2,1,
4916,Culvert,Passable,108847.2,1,
4933,Culvert,Partial,108847.2,0.5,
4948,Bridge,Passable,370171,1,
5072,Culvert,Passable,108847.2,1,
5115,Culvert,Passable,108847.2,1,
5224,Culvert,Partial,108847.2,0.5,
5269,Bridge,Partial,370171,0.5,
5269,Bridge,Passable,370171,1,
5269,Bridge,Passable,370171,1,
5270,Culvert,Partial,108847.2,0.5,
5270,Culvert,Partial,108847.2,0.5,
5270,Culvert,Passable,108847.2,1,
5270,Culvert,Partial,108847.2,0.5,
5270,Culvert,Partial,108847.2,0.5,
5271,Culvert,Partial,108847.2,0.5,
5271,Culvert,Passable,108847.2,1,
5271,Culvert,Partial,108847.2,0.5,
5287,Culvert,Passable,108847.2,1,
5294,Culvert,Partial,108847.2,0.5,
5294,Culvert,Partial,108847.2,0.5,
5328,Culvert,Partial,108847.2,0.5,
5332,Dam,Partial,487195.2,0.5,
5381,Culvert,Partial,108847.2,0.5,
5381,Culvert,Passable,108847.2,1,
5381,Culvert,Passable,108847.2,1,
5381,Culvert,Passable,108847.2,1,
5467,Culvert,Passable,108847.2,1,
5471,Culvert,Passable,108847.2,1,
5471,Culvert,Passable,108847.2,1,
5501,Culvert,Passable,108847.2,1,
5503,Culvert,Passable,108847.2,1,
5554,Culvert,Partial,108847.2,0.5,
5555,Culvert,Partial,108847.2,0.5,
5555,Bridge,Passable,370171,1,
5555,Culvert,Partial,108847.2,0.5,
5634,Bridge,Passable,370171,1,
5844,Bridge,Passable,370171,1,
5862,Culvert,Partial,108847.2,0.5,
5862,Culvert,Passable,108847.2,1,
5903,Culvert,Passable,108847.2,1,
5941,Culvert,Partial,108847.2,0.5,
5968,Culvert,Passable,108847.2,1,
5978,Bridge,Partial,370171,0.5,
5990,Culvert,Partial,108847.2,0.5,
5990,Culvert,Passable,108847.2,1,
5990,Culvert,Passable,108847.2,1,
