stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
52,Culvert,Passable,108847.2,1,9.87202E-08
52,Bridge,Passable,370171,1,
84,Culvert,Passable,108847.2,1,
86,Culvert,Passable,108847.2,1,
99,Culvert,Passable,108847.2,1,
110,Dam,Passable,487195.2,1,
134,WeirSill,UnkAnad,0,0.5,
144,Culvert,Partial,108847.2,0.5,
144,Culvert,Partial,108847.2,0.5,
146,Dam,Partial,487195.2,0.5,
166,Falls,UnkAnad,455041.93,0.5,
166,Culvert,Passable,108847.2,1,
180,Culvert,Partial,108847.2,0.5,
344,Falls,Partial,455041.93,0.5,
374,Culvert,Partial,108847.2,0.5,
381,Culvert,Passable,108847.2,1,
389,Culvert,Partial,108847.2,0.5,
389,Culvert,Passable,108847.2,1,
392,Culvert,Passable,108847.2,1,
408,Bridge,Passable,370171,1,
435,Culvert,Passable,108847.2,1,
498,Culvert,Partial,108847.2,0.5,
501,WeirSill,UnkAnad,0,0.5,
531,WeirSill,UnkAnad,0,0.5,
531,WeirSill,UnkAnad,0,0.5,
531,WeirSill,UnkAnad,0,0.5,
531,Culvert,Passable,108847.2,1,
556,WeirSill,UnkAnad,0,0.5,
577,Ford,UnkAnad,108847.2,0.5,
577,Ford,UnkAnad,108847.2,0.5,
577,Culvert,Partial,108847.2,0.5,
577,Culvert,Partial,108847.2,0.5,
577,Culvert,Partial,108847.2,0.5,
883,Culvert,Partial,108847.2,0.5,
900,Culvert,Partial,108847.2,0.5,
957,Culvert,Passable,108847.2,1,
991,Culvert,Partial,108847.2,0.5,
991,Culvert,Partial,108847.2,0.5,
1096,Culvert,Partial,108847.2,0.5,
1426,Culvert,Partial,108847.2,0.5,
1749,Culvert,Passable,108847.2,1,
1866,Culvert,Passable,108847.2,1,
1973,Culvert,Passable,108847.2,1,
1988,Culvert,Partial,108847.2,0.5,
2152,Culvert,Passable,108847.2,1,
2292,Culvert,Passable,108847.2,1,
2298,Culvert,Passable,108847.2,1,
2514,Culvert,Passable,108847.2,1,
2654,Culvert,Passable,108847.2,1,
2669,Culvert,Passable,108847.2,1,
2743,Culvert,Passable,108847.2,1,
2764,Culvert,Partial,108847.2,0.5,
2987,Culvert,Partial,108847.2,0.5,
