stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
8,Falls,Partial,455041.93,0.5,7.28859E-66
202,Falls,UnkAnad,455041.93,0.5,
226,Falls,UnkAnad,455041.93,0.5,
845,Falls,Unknown,455041.93,0.5,
845,CascadeGradientVelocity,Partial,455041.93,0.5,
1177,Bridge,Passable,370171,1,
1178,Bridge,Passable,370171,1,
1258,Bridge,Passable,370171,1,
1559,Bridge,Passable,370171,1,
2196,Culvert,Partial,108847.2,0.5,
2214,Culvert,Partial,108847.2,0.5,
2233,Culvert,Passable,108847.2,1,
2332,Culvert,Partial,108847.2,0.5,
2333,Culvert,Partial,108847.2,0.5,
2378,Culvert,Partial,108847.2,0.5,
2607,Culvert,Partial,108847.2,0.5,
2755,Culvert,Partial,108847.2,0.5,
3247,Culvert,Passable,108847.2,1,
3252,Culvert,Passable,108847.2,1,
3254,Falls,Unknown,455041.93,0.5,
3393,Culvert,Passable,108847.2,1,
3516,Culvert,Partial,108847.2,0.5,
3783,Dam,Partial,487195.2,0.5,
3789,Falls,UnkAnad,455041.93,0.5,
3854,Culvert,Passable,108847.2,1,
3855,Culvert,Passable,108847.2,1,
3856,Culvert,Passable,108847.2,1,
3996,Culvert,Partial,108847.2,0.5,
3999,Culvert,Partial,108847.2,0.5,
4043,Culvert,Passable,108847.2,1,
4343,CascadeGradientVelocity,Partial,455041.93,0.5,
4374,Culvert,Passable,108847.2,1,
4975,Falls,Partial,455041.93,0.5,
4975,Culvert,Partial,108847.2,0.5,
5573,Culvert,Passable,108847.2,1,
6121,Culvert,Partial,108847.2,0.5,
6153,Culvert,Partial,108847.2,0.5,
6287,Culvert,Passable,108847.2,1,
6297,Culvert,Passable,108847.2,1,
6301,Culvert,Partial,108847.2,0.5,
6384,Culvert,Partial,108847.2,0.5,
6498,Culvert,Partial,108847.2,0.5,
6657,Culvert,Partial,108847.2,0.5,
6829,Culvert,Passable,108847.2,1,
6831,Culvert,Passable,108847.2,1,
6851,Culvert,Passable,108847.2,1,
6864,Culvert,Partial,108847.2,0.5,
6979,Dam,Partial,487195.2,0.5,
7043,Falls,UnkAnad,455041.93,0.5,
7254,Falls,Unknown,455041.93,0.5,
7260,Falls,Unknown,455041.93,0.5,
7636,Dam,Passable,487195.2,1,
7636,Dam,Partial,487195.2,0.5,
7636,Dam,Partial,487195.2,0.5,
7636,Dam,Partial,487195.2,0.5,
7636,Dam,Partial,487195.2,0.5,
7636,Culvert,Passable,108847.2,1,
7812,Dam,Partial,487195.2,0.5,
7831,Dam,Partial,487195.2,0.5,
8184,Culvert,Partial,108847.2,0.5,
8186,Culvert,Partial,108847.2,0.5,
8186,Culvert,Partial,108847.2,0.5,
8186,Dam,Partial,487195.2,0.5,
8186,Dam,Partial,487195.2,0.5,
8187,Culvert,Partial,108847.2,0.5,
8547,Culvert,Partial,108847.2,0.5,
8778,Culvert,Passable,108847.2,1,
8778,Culvert,Passable,108847.2,1,
9144,Dam,Passable,487195.2,1,
10308,Culvert,Partial,108847.2,0.5,
11165,Culvert,Passable,108847.2,1,
11453,Culvert,Passable,108847.2,1,
11454,Dam,Passable,487195.2,1,
11454,Dam,Partial,487195.2,0.5,
11457,Falls,UnkAnad,455041.93,0.5,
11457,Falls,UnkAnad,455041.93,0.5,
11550,Culvert,Passable,108847.2,1,
12049,Dam,Partial,487195.2,0.5,
12109,Culvert,Passable,108847.2,1,
12131,Culvert,Passable,108847.2,1,
12246,Culvert,Partial,108847.2,0.5,
14057,Ford,UnkAnad,108847.2,0.5,
14880,Ford,UnkAnad,108847.2,0.5,
14880,Ford,UnkAnad,108847.2,0.5,
14880,Ford,UnkAnad,108847.2,0.5,
14880,Ford,UnkAnad,108847.2,0.5,
14880,Ford,UnkAnad,108847.2,0.5,
14880,Ford,UnkAnad,108847.2,0.5,
14880,Ford,UnkAnad,108847.2,0.5,
15132,Culvert,Partial,108847.2,0.5,
15165,Culvert,Partial,108847.2,0.5,
15219,Falls,Unknown,455041.93,0.5,
15287,Culvert,Partial,108847.2,0.5,
15327,Ford,UnkAnad,108847.2,0.5,
15327,Culvert,Passable,108847.2,1,
15380,Culvert,Passable,108847.2,1,
16171,Culvert,Partial,108847.2,0.5,
16184,Culvert,Partial,108847.2,0.5,
16242,Culvert,Passable,108847.2,1,
16292,Culvert,Passable,108847.2,1,
16864,Culvert,Passable,108847.2,1,
16865,Culvert,Passable,108847.2,1,
17012,Culvert,Partial,108847.2,0.5,
17057,Culvert,Passable,108847.2,1,
17151,Falls,UnkAnad,455041.93,0.5,
17153,Falls,Unknown,455041.93,0.5,
17154,Falls,Unknown,455041.93,0.5,
17154,Falls,Unknown,455041.93,0.5,
17574,Culvert,Partial,108847.2,0.5,
17574,Culvert,Partial,108847.2,0.5,
17986,Culvert,Partial,108847.2,0.5,
17994,Culvert,Partial,108847.2,0.5,
18089,Culvert,Passable,108847.2,1,
18091,Culvert,Passable,108847.2,1,
18192,Culvert,Partial,108847.2,0.5,
18268,Culvert,Partial,108847.2,0.5,
18594,Culvert,Passable,108847.2,1,
18642,Culvert,Passable,108847.2,1,
18722,Culvert,Passable,108847.2,1,
18723,Culvert,Passable,108847.2,1,
18724,Culvert,Passable,108847.2,1,
18956,Culvert,Passable,108847.2,1,
19156,Culvert,Partial,108847.2,0.5,
19158,Falls,Unknown,455041.93,0.5,
19164,Falls,Unknown,455041.93,0.5,
19227,Bridge,Passable,370171,1,
19283,Culvert,Partial,108847.2,0.5,
19405,Culvert,Partial,108847.2,0.5,
19411,Culvert,Partial,108847.2,0.5,
19427,Culvert,Passable,108847.2,1,
19705,Culvert,Partial,108847.2,0.5,
19723,Culvert,Partial,108847.2,0.5,
19874,Bridge,Passable,370171,1,
19917,Culvert,Partial,108847.2,0.5,
19970,Falls,UnkAnad,455041.93,0.5,
