stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
32,Culvert,Partial,108847.2,0.5,1.55834E-85
32,Culvert,Partial,108847.2,0.5,
32,Culvert,Partial,108847.2,0.5,
33,Culvert,Partial,108847.2,0.5,
35,Falls,Partial,455041.93,0.5,
35,Falls,Unknown,455041.93,0.5,
36,Culvert,Partial,108847.2,0.5,
36,Culvert,Partial,108847.2,0.5,
36,Culvert,Partial,108847.2,0.5,
53,Culvert,Partial,108847.2,0.5,
53,Culvert,Partial,108847.2,0.5,
87,Culvert,Partial,108847.2,0.5,
92,Culvert,Partial,108847.2,0.5,
94,Culvert,Partial,108847.2,0.5,
103,Culvert,Partial,108847.2,0.5,
103,Falls,UnkAnad,455041.93,0.5,
103,Falls,Unknown,455041.93,0.5,
117,Falls,Partial,455041.93,0.5,
151,Culvert,Partial,108847.2,0.5,
151,Culvert,Partial,108847.2,0.5,
151,TideGate,UnkAnad,77617.39,0.5,
154,Culvert,Passable,108847.2,1,
155,Culvert,Partial,108847.2,0.5,
156,Culvert,Passable,108847.2,1,
205,Culvert,Partial,108847.2,0.5,
211,Culvert,Partial,108847.2,0.5,
250,Culvert,Partial,108847.2,0.5,
262,Culvert,Partial,108847.2,0.5,
262,Falls,UnkAnad,455041.93,0.5,
263,WeirSill,Partial,190097.21,0.5,
271,Culvert,Partial,108847.2,0.5,
284,Ford,Partial,108847.2,0.5,
318,Culvert,Partial,108847.2,0.5,
327,Culvert,Partial,108847.2,0.5,
327,Culvert,Passable,108847.2,1,
327,TideGate,UnkAnad,77617.39,0.5,
328,Culvert,Passable,108847.2,1,
330,Culvert,Partial,108847.2,0.5,
338,Culvert,Partial,108847.2,0.5,
343,Culvert,Passable,108847.2,1,
371,Culvert,Partial,108847.2,0.5,
388,Culvert,Partial,108847.2,0.5,
390,Culvert,Partial,108847.2,0.5,
390,Culvert,Partial,108847.2,0.5,
398,Culvert,Partial,108847.2,0.5,
399,Culvert,Partial,108847.2,0.5,
443,Culvert,Partial,108847.2,0.5,
489,Culvert,Passable,108847.2,1,
502,Culvert,Partial,108847.2,0.5,
506,Culvert,Partial,108847.2,0.5,
508,CascadeGradientVelocity,Partial,455041.93,0.5,
511,Culvert,Partial,108847.2,0.5,
511,Culvert,Partial,108847.2,0.5,
536,Culvert,Partial,108847.2,0.5,
540,Culvert,Partial,108847.2,0.5,
543,Culvert,Partial,108847.2,0.5,
545,Culvert,Partial,108847.2,0.5,
545,Culvert,Partial,108847.2,0.5,
545,Culvert,Partial,108847.2,0.5,
545,CascadeGradientVelocity,Partial,455041.93,0.5,
545,Culvert,Partial,108847.2,0.5,
549,Culvert,Partial,108847.2,0.5,
592,Falls,Partial,455041.93,0.5,
605,Culvert,Partial,108847.2,0.5,
625,Culvert,Partial,108847.2,0.5,
625,Culvert,Partial,108847.2,0.5,
625,Culvert,Passable,108847.2,1,
625,TideGate,UnkAnad,77617.39,0.5,
632,Culvert,Partial,108847.2,0.5,
653,TideGate,UnkAnad,77617.39,0.5,
656,Culvert,Partial,108847.2,0.5,
