StrmLev,stream_id,fpbFtrTy,fpbFPasSta,cost,pass_score
1,1,Culvert,Partial,108847.2,0.5
1,1,Culvert,Partial,108847.2,0.5
1,1,Culvert,Partial,108847.2,0.5
1,1,Culvert,Partial,108847.2,0.5
1,1,Culvert,Partial,108847.2,0.5
1,1,CascadeGradientVelocity,Partial,455041.93,0.5
1,1,Dam,Blocked,487195.2,0.1
1,1,Dam,Partial,487195.2,0.5
1,1,Culvert,Partial,108847.2,0.5
1,1,Culvert,Partial,108847.2,0.5
1,1,Falls,UnkAnad,455041.93,0.5
1,1,Culvert,Unknown,108847.2,0.1
1,1,Culvert,Unknown,108847.2,0.1
1,1,CascadeGradientVelocity,UnkAnad,455041.93,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
2,2,Culvert,Passable,108847.2,1
2,2,Culvert,UnkAnad,108847.2,0.1
2,2,Bridge,Unknown,370171,0.1
2,4,Culvert,Partial,108847.2,0.5
2,4,Culvert,Partial,108847.2,0.5
2,4,Culvert,Partial,108847.2,0.5
2,4,Culvert,Partial,108847.2,0.5
2,4,Culvert,Partial,108847.2,0.5
2,4,Culvert,Partial,108847.2,0.5
2,4,Bridge,Unknown,370171,0.1
2,4,Bridge,Unknown,370171,0.1
2,4,Bridge,Unknown,370171,0.1
2,6,Falls,Partial,455041.93,0.5
2,6,Falls,Partial,455041.93,0.5
2,6,Falls,Blocked,455041.93,0.1
2,6,Bridge,Unknown,370171,0.1
2,6,Bridge,Unknown,370171,0.1
2,6,Bridge,Unknown,370171,0.1
2,6,Bridge,Unknown,370171,0.1
2,6,Bridge,Unknown,370171,0.1
2,6,Culvert,Unknown,108847.2,0.1
2,6,Bridge,Unknown,370171,0.1
2,6,Culvert,Unknown,108847.2,0.1
2,6,Bridge,Unknown,370171,0.1
2,6,Bridge,Unknown,370171,0.1
2,7,Culvert,UnkAnad,108847.2,0.1
2,9,Bridge,Unknown,370171,0.1
2,10,Culvert,UnkAnad,108847.2,0.1
2,13,Culvert,Blocked,108847.2,0.1
2,14,WeirSill,Partial,0,0.5
2,14,Falls,Partial,455041.93,0.5
2,14,Culvert,Unknown,108847.2,0.1
2,14,Culvert,UnkAnad,108847.2,0.1
2,14,Culvert,UnkAnad,108847.2,0.1
2,14,Culvert,UnkAnad,108847.2,0.1
2,14,Culvert,Unknown,108847.2,0.1
2,14,Falls,UnkAnad,455041.93,0.5
2,14,Bridge,Unknown,370171,0.1
2,14,Bridge,Unknown,370171,0.1
2,14,Bridge,Unknown,370171,0.1
2,17,Culvert,Partial,108847.2,0.5
2,17,Culvert,Partial,108847.2,0.5
2,17,Falls,Blocked,455041.93,0.1
2,17,Falls,Blocked,455041.93,0.1
2,17,Falls,UnkAnad,455041.93,0.5
2,17,Falls,Unknown,455041.93,0.5
2,18,Culvert,Partial,108847.2,0.5
2,18,Falls,UnkAnad,455041.93,0.5
2,19,Culvert,Partial,108847.2,0.5
2,21,Culvert,Passable,108847.2,1
2,21,Falls,Blocked,455041.93,0.1
2,21,Falls,Partial,455041.93,0.5
2,21,Falls,UnkAnad,455041.93,0.5
2,21,Falls,UnkAnad,455041.93,0.5
2,22,Culvert,Passable,108847.2,1
2,22,Culvert,Blocked,108847.2,0.1
2,22,Falls,Blocked,455041.93,0.1
2,23,Culvert,Partial,108847.2,0.5
2,23,Falls,Blocked,455041.93,0.1
2,23,Culvert,UnkAnad,108847.2,0.1
2,23,Culvert,Unknown,108847.2,0.1
2,26,Bridge,Unknown,370171,0.1
2,27,Culvert,Passable,108847.2,1
2,27,Bridge,Unknown,370171,0.1
2,28,Culvert,Partial,108847.2,0.5
2,28,Culvert,Partial,108847.2,0.5
2,28,Culvert,Passable,108847.2,1
2,28,Culvert,UnkAnad,108847.2,0.1
2,28,TideGate,UnkAnad,77617.39,0.5
2,29,Culvert,Partial,108847.2,0.5
2,29,Culvert,Partial,108847.2,0.5
2,33,Culvert,Partial,108847.2,0.5
2,33,Culvert,Partial,108847.2,0.5
2,33,Falls,Blocked,455041.93,0.1
2,33,Culvert,Passable,108847.2,1
2,33,Culvert,Partial,108847.2,0.5
2,36,Culvert,Blocked,108847.2,0.1
2,36,Culvert,Partial,108847.2,0.5
2,37,Culvert,UnkAnad,108847.2,0.1
2,39,Falls,Blocked,455041.93,0.1
2,48,Culvert,UnkAnad,108847.2,0.1
2,48,Culvert,UnkAnad,108847.2,0.1
2,48,Culvert,UnkAnad,108847.2,0.1
2,49,Culvert,Passable,108847.2,1
2,49,TideGate,UnkAnad,77617.39,0.5
2,50,Culvert,Blocked,108847.2,0.1
2,50,Culvert,Unknown,108847.2,0.1
2,51,Culvert,UnkAnad,108847.2,0.1
2,54,Culvert,Partial,108847.2,0.5
2,54,Dam,Partial,487195.2,0.5
2,54,Bridge,Unknown,370171,0.1
2,55,Culvert,Unknown,108847.2,0.1
2,59,Culvert,Partial,108847.2,0.5
2,59,Culvert,Partial,108847.2,0.5
2,59,Culvert,Unknown,108847.2,0.1
2,60,Culvert,Partial,108847.2,0.5
2,61,Culvert,Blocked,108847.2,0.1
2,61,Culvert,Partial,108847.2,0.5
2,61,Bridge,Passable,370171,1
2,63,Culvert,Partial,108847.2,0.5
2,63,Culvert,Unknown,108847.2,0.1
2,64,Culvert,Partial,108847.2,0.5
2,69,Culvert,Partial,108847.2,0.5
2,69,Culvert,Partial,108847.2,0.5
2,70,Bridge,Unknown,370171,0.1
2,70,Bridge,Unknown,370171,0.1
2,79,Culvert,Blocked,108847.2,0.1
2,79,Culvert,Partial,108847.2,0.5
2,85,Culvert,Blocked,108847.2,0.1
2,87,Culvert,Partial,108847.2,0.5
2,87,Culvert,Unknown,108847.2,0.1
2,87,Culvert,Unknown,108847.2,0.1
2,97,Culvert,Partial,108847.2,0.5
2,97,Culvert,Partial,108847.2,0.5
2,98,TideGate,UnkAnad,77617.39,0.5
2,98,Culvert,Unknown,108847.2,0.1
2,108,Culvert,Partial,108847.2,0.5
2,108,Culvert,Partial,108847.2,0.5
2,108,Falls,Blocked,455041.93,0.1
2,108,Culvert,Unknown,108847.2,0.1
2,109,Bridge,Unknown,370171,0.1
2,115,Culvert,UnkAnad,108847.2,0.1
2,117,Culvert,Unknown,108847.2,0.1
2,117,Bridge,Unknown,370171,0.1
2,121,Culvert,Partial,108847.2,0.5
2,121,Culvert,Partial,108847.2,0.5
2,121,Falls,Blocked,455041.93,0.1
2,123,Culvert,Partial,108847.2,0.5
2,123,Culvert,Partial,108847.2,0.5
2,123,Falls,Unknown,455041.93,0.5
2,124,Culvert,Partial,108847.2,0.5
2,127,Culvert,Blocked,108847.2,0.1
2,127,Culvert,Unknown,108847.2,0.1
2,128,Culvert,Partial,108847.2,0.5
2,128,Culvert,Partial,108847.2,0.5
2,138,Culvert,Passable,108847.2,1
2,140,Culvert,UnkAnad,108847.2,0.1
2,141,Culvert,Partial,108847.2,0.5
2,141,Culvert,Passable,108847.2,1
2,141,Culvert,Unknown,108847.2,0.1
2,141,Culvert,Unknown,108847.2,0.1
2,141,Culvert,Unknown,108847.2,0.1
2,148,Culvert,Unknown,108847.2,0.1
2,150,Culvert,Partial,108847.2,0.5
2,153,CascadeGradientVelocity,UnkAnad,455041.93,0.1
2,158,Culvert,Partial,108847.2,0.5
2,158,Culvert,Unknown,108847.2,0.1
2,167,Culvert,Partial,108847.2,0.5
2,173,Culvert,Partial,108847.2,0.5
2,175,Culvert,Partial,108847.2,0.5
2,185,Culvert,Blocked,108847.2,0.1
2,200,CascadeGradientVelocity,Partial,455041.93,0.5
2,220,Culvert,Partial,108847.2,0.5
2,220,Culvert,Partial,108847.2,0.5
2,224,Culvert,Partial,108847.2,0.5
2,224,Culvert,Partial,108847.2,0.5
2,224,Falls,Blocked,455041.93,0.1
2,259,Culvert,Unknown,108847.2,0.1
2,259,Culvert,Unknown,108847.2,0.1
2,286,Culvert,Partial,108847.2,0.5
2,309,Culvert,Partial,108847.2,0.5
2,313,Culvert,Partial,108847.2,0.5
2,318,Bridge,Unknown,370171,0.1
2,318,TideGate,UnkAnad,77617.39,0.5
3,441,Culvert,Blocked,108847.2,0.1
3,486,WeirSill,Partial,0,0.5
3,487,Falls,Unknown,455041.93,0.5
3,488,Culvert,Unknown,108847.2,0.1
3,489,Culvert,Partial,108847.2,0.5
3,489,Culvert,Unknown,108847.2,0.1
3,490,Culvert,Partial,108847.2,0.5
3,490,Culvert,Partial,108847.2,0.5
3,490,Culvert,Passable,108847.2,1
3,490,Bridge,Unknown,370171,0.1
3,490,Bridge,Unknown,370171,0.1
3,491,Culvert,Partial,108847.2,0.5
3,492,Culvert,Partial,108847.2,0.5
3,492,Culvert,Unknown,108847.2,0.1
3,494,Culvert,Partial,108847.2,0.5
3,494,Bridge,Unknown,370171,0.1
3,494,Bridge,Unknown,370171,0.1
3,494,Bridge,Unknown,370171,0.1
3,497,Culvert,Passable,108847.2,1
3,497,Culvert,UnkAnad,108847.2,0.1
3,497,Bridge,Unknown,370171,0.1
3,497,Bridge,Unknown,370171,0.1
3,502,Culvert,Partial,108847.2,0.5
3,502,Culvert,Unknown,108847.2,0.1
3,503,Culvert,Partial,108847.2,0.5
3,504,Culvert,Partial,108847.2,0.5
3,504,Culvert,UnkAnad,108847.2,0.1
3,508,WeirSill,Partial,0,0.5
3,508,Dam,Unknown,487195.2,0.1
3,508,Dam,Unknown,487195.2,0.1
3,508,Dam,Unknown,487195.2,0.1
3,508,Dam,Unknown,487195.2,0.1
3,508,Bridge,Unknown,370171,0.1
3,508,Bridge,Unknown,370171,0.1
3,513,Falls,Blocked,455041.93,0.1
3,513,CascadeGradientVelocity,Partial,455041.93,0.5
3,513,Bridge,Unknown,370171,0.1
3,514,Culvert,Partial,108847.2,0.5
3,514,Culvert,Partial,108847.2,0.5
3,516,Culvert,Partial,108847.2,0.5
3,519,Bridge,Unknown,370171,0.1
3,521,Culvert,Partial,108847.2,0.5
3,528,Culvert,Partial,108847.2,0.5
3,548,Culvert,Partial,108847.2,0.5
3,549,Falls,Blocked,455041.93,0.1
3,550,Culvert,Partial,108847.2,0.5
3,551,Culvert,Partial,108847.2,0.5
3,551,Culvert,Partial,108847.2,0.5
3,551,Culvert,UnkAnad,108847.2,0.1
3,551,Culvert,Unknown,108847.2,0.1
3,551,Culvert,UnkAnad,108847.2,0.1
3,553,Culvert,Partial,108847.2,0.5
3,554,Culvert,Unknown,108847.2,0.1
3,555,Culvert,Partial,108847.2,0.5
3,555,Culvert,Partial,108847.2,0.5
3,555,Culvert,Partial,108847.2,0.5
3,555,Culvert,Partial,108847.2,0.5
3,555,Culvert,Passable,108847.2,1
3,555,Culvert,Unknown,108847.2,0.1
3,564,Culvert,Partial,108847.2,0.5
3,565,Culvert,Unknown,108847.2,0.1
3,568,Falls,UnkAnad,455041.93,0.5
3,577,Culvert,Partial,108847.2,0.5
3,577,Falls,Blocked,455041.93,0.1
3,577,Bridge,Unknown,370171,0.1
3,578,Culvert,Partial,108847.2,0.5
3,578,Culvert,Partial,108847.2,0.5
3,591,Bridge,Unknown,370171,0.1
3,594,Culvert,Partial,108847.2,0.5
3,595,Culvert,Partial,108847.2,0.5
3,605,Culvert,Partial,108847.2,0.5
3,605,Culvert,Partial,108847.2,0.5
3,605,Culvert,UnkAnad,108847.2,0.1
3,605,Culvert,Unknown,108847.2,0.1
3,609,Culvert,Passable,108847.2,1
3,609,Culvert,UnkAnad,108847.2,0.1
3,609,Culvert,Unknown,108847.2,0.1
3,609,Culvert,Unknown,108847.2,0.1
3,609,Culvert,Unknown,108847.2,0.1
3,609,Bridge,Unknown,370171,0.1
3,609,Bridge,Unknown,370171,0.1
3,609,Bridge,Unknown,370171,0.1
3,609,Bridge,Unknown,370171,0.1
3,609,Culvert,Unknown,108847.2,0.1
3,609,Culvert,Unknown,108847.2,0.1
3,609,Culvert,Unknown,108847.2,0.1
3,619,Falls,Blocked,455041.93,0.1
3,621,Culvert,Partial,108847.2,0.5
3,628,Culvert,Unknown,108847.2,0.1
3,630,Culvert,Partial,108847.2,0.5
3,630,Culvert,Partial,108847.2,0.5
3,630,Culvert,Unknown,108847.2,0.1
3,631,Culvert,Blocked,108847.2,0.1
3,631,Culvert,Passable,108847.2,1
3,639,Culvert,Partial,108847.2,0.5
3,640,Culvert,UnkAnad,108847.2,0.1
3,644,Culvert,Blocked,108847.2,0.1
3,645,Culvert,Blocked,108847.2,0.1
3,651,TideGate,UnkAnad,77617.39,0.5
3,656,Culvert,Partial,108847.2,0.5
3,657,Culvert,Blocked,108847.2,0.1
3,657,Culvert,Partial,108847.2,0.5
3,664,Falls,Blocked,455041.93,0.1
3,666,Culvert,Partial,108847.2,0.5
3,666,Culvert,Partial,108847.2,0.5
3,666,Culvert,Partial,108847.2,0.5
3,666,Culvert,Unknown,108847.2,0.1
3,666,Culvert,Unknown,108847.2,0.1
3,680,Culvert,Partial,108847.2,0.5
3,681,Culvert,Partial,108847.2,0.5
3,682,Culvert,Partial,108847.2,0.5
3,683,Culvert,Passable,108847.2,1
3,683,Culvert,UnkAnad,108847.2,0.1
3,687,Culvert,Passable,108847.2,1
3,695,Culvert,Partial,108847.2,0.5
3,697,Culvert,Blocked,108847.2,0.1
3,699,Culvert,UnkAnad,108847.2,0.1
3,809,Culvert,Unknown,108847.2,0.1
3,862,Falls,Blocked,455041.93,0.1
3,923,Culvert,Partial,108847.2,0.5
3,934,Culvert,Blocked,108847.2,0.1
3,1022,Culvert,Partial,108847.2,0.5
3,1022,Culvert,Unknown,108847.2,0.1
3,1042,Culvert,Partial,108847.2,0.5
3,1042,Culvert,Unknown,108847.2,0.1
3,1055,Culvert,Unknown,108847.2,0.1
3,1057,Bridge,Unknown,370171,0.1
3,1090,Culvert,Partial,108847.2,0.5
3,1090,Culvert,Partial,108847.2,0.5
3,1090,Culvert,Unknown,108847.2,0.1
3,1093,Culvert,Partial,108847.2,0.5
3,1097,Culvert,Unknown,108847.2,0.1
3,1109,Culvert,Partial,108847.2,0.5
3,1113,Culvert,Partial,108847.2,0.5
3,1119,Culvert,Unknown,108847.2,0.1
3,1129,Falls,Blocked,455041.93,0.1
3,1134,Culvert,Partial,108847.2,0.5
3,1134,Culvert,Passable,108847.2,1
3,1136,Culvert,Blocked,108847.2,0.1
3,1136,Culvert,Blocked,108847.2,0.1
3,1138,Culvert,Partial,108847.2,0.5
3,1143,Culvert,Partial,108847.2,0.5
3,1147,Culvert,Unknown,108847.2,0.1
3,1155,Culvert,Unknown,108847.2,0.1
3,1158,Culvert,Partial,108847.2,0.5
3,1158,Culvert,Partial,108847.2,0.5
3,1158,Culvert,Unknown,108847.2,0.1
3,1158,Culvert,Unknown,108847.2,0.1
3,1173,Culvert,Unknown,108847.2,0.1
3,1173,Culvert,Unknown,108847.2,0.1
3,1175,Culvert,Unknown,108847.2,0.1
3,1193,Culvert,Unknown,108847.2,0.1
3,1195,Culvert,Partial,108847.2,0.5
3,1196,Bridge,Unknown,370171,0.1
3,1203,Culvert,Passable,108847.2,1
3,1203,TideGate,UnkAnad,77617.39,0.5
3,1204,Culvert,Partial,108847.2,0.5
3,1241,Culvert,Partial,108847.2,0.5
3,1241,Bridge,Passable,370171,1
3,1250,Culvert,Unknown,108847.2,0.1
3,1255,Culvert,Partial,108847.2,0.5
3,1261,Culvert,Blocked,108847.2,0.1
3,1265,Culvert,Unknown,108847.2,0.1
3,1266,Culvert,Unknown,108847.2,0.1
3,1269,Culvert,Partial,108847.2,0.5
3,1272,Culvert,Partial,108847.2,0.5
3,1272,Culvert,Partial,108847.2,0.5
3,1272,Culvert,Partial,108847.2,0.5
3,1273,Culvert,Blocked,108847.2,0.1
3,1273,Falls,Blocked,455041.93,0.1
3,1277,Falls,Blocked,455041.93,0.1
3,1279,Culvert,Partial,108847.2,0.5
3,1280,Ford,Partial,108847.2,0.5
3,1280,Culvert,Blocked,108847.2,0.1
3,1281,Culvert,Unknown,108847.2,0.1
3,1283,Culvert,Partial,108847.2,0.5
3,1283,Culvert,Partial,108847.2,0.5
3,1283,Culvert,Partial,108847.2,0.5
3,1286,Culvert,Partial,108847.2,0.5
3,1288,Culvert,UnkAnad,108847.2,0.1
