StrmLev,stream_ID,fpbLong,fpbLat,fpbFtrTy,fpbFPasSta,cost,pass_score
2,1,-123.355381,43.283181,Bridge,Unknown,370171,0.1
2,1,-123.07365,43.3094,Bridge,Unknown,370171,0.1
2,1,-123.355822,43.282325,Bridge,Unknown,370171,0.1
2,1,-123.123908,43.307503,Bridge,Unknown,370171,0.1
2,1,-123.410306,43.271725,Bridge,Unknown,370171,0.1
2,1,-122.766431,43.336589,Bridge,Unknown,370171,0.1
2,1,-122.5653661,43.29079885,Bridge,Unknown,370171,0.1
2,1,-123.3539244,43.28393794,Dam,Partial,487195.2,0.5
2,1,-122.4949713,43.302789,Dam,Passable,487195.2,1
3,2,-122.8974673,43.45652879,Falls,UnkAnad,455041.93,0.5
3,2,-122.9220405,43.51261532,Falls,Unknown,455041.93,0.5
3,2,-122.917218,43.51626346,Falls,Unknown,455041.93,0.5
3,2,-122.8946648,43.45437095,Falls,UnkAnad,455041.93,0.5
3,2,-122.94258,43.39237998,Bridge,Passable,370171,1
3,2,-122.9564817,43.37426546,Bridge,Passable,370171,1
3,2,-122.9986421,43.33570442,Dam,Partial,487195.2,0.5
3,2,-122.9067656,43.4238838,Bridge,Passable,370171,1
3,2,-122.9160807,43.51705558,Culvert,Blocked,108847.2,0.1
3,2,-123.0031926,43.33325481,Bridge,Passable,370171,1
3,2,-122.9132187,43.4751548,Falls,Blocked,455041.93,0.1
3,2,-122.8954379,43.45518144,Falls,Blocked,455041.93,0.1
3,2,-122.9219305,43.51271462,Falls,Blocked,455041.93,0.1
3,2,-122.9189161,43.51489538,Falls,Blocked,455041.93,0.1
3,2,-122.9187778,43.51500248,Falls,Blocked,455041.93,0.1
3,2,-122.9179335,43.51565726,Falls,Blocked,455041.93,0.1
3,2,-122.9175329,43.5159714,Falls,Blocked,455041.93,0.1
3,2,-122.9132189,43.51854185,Falls,Blocked,455041.93,0.1
3,2,-122.9041081,43.52298037,Falls,Blocked,455041.93,0.1
3,2,-122.9440214,43.38612055,Bridge,Passable,370171,1
3,2,-122.9115634,43.40807013,Bridge,Passable,370171,1
3,2,-122.9068965,43.42471086,Bridge,Passable,370171,1
3,2,-122.8943341,43.45343912,Bridge,Passable,370171,1
3,5,-123.2602138,43.24802422,Culvert,Unknown,108847.2,0.1
3,5,-123.258849,43.24696307,Culvert,Unknown,108847.2,0.1
3,5,-123.2553175,43.24538949,Culvert,Unknown,108847.2,0.1
3,5,-123.2621555,43.24917583,Culvert,Blocked,108847.2,0.1
3,5,-123.2572627,43.24629985,Culvert,Blocked,108847.2,0.1
3,5,-123.2561487,43.24562029,Culvert,Blocked,108847.2,0.1
3,5,-123.2665263,43.25243392,Culvert,Blocked,108847.2,0.1
3,5,-123.2676332,43.25527619,Culvert,Passable,108847.2,1
3,5,-123.2629636,43.26668201,Culvert,Passable,108847.2,1
3,5,-123.2665938,43.2525028,Culvert,Blocked,108847.2,0.1
3,7,-122.8532199,43.22732381,Culvert,UnkAnad,108847.2,0.1
3,7,-122.8989735,43.24852657,Falls,UnkAnad,455041.93,0.5
3,7,-122.8242662,43.20628448,Falls,UnkAnad,455041.93,0.5
3,7,-122.7495239,43.21779156,CascadeGradientVelocity,UnkAnad,455041.93,0.1
3,7,-123.101181,43.297219,Bridge,Unknown,370171,0.1
3,7,-123.0703,43.271064,Bridge,Unknown,370171,0.1
3,7,-122.8532199,43.22732381,Falls,Partial,455041.93,0.5
3,7,-122.9510165,43.23363713,Bridge,Passable,370171,1
3,7,-122.8782525,43.23952562,Bridge,Passable,370171,1
3,7,-123.0219241,43.24406359,Bridge,Passable,370171,1
3,7,-122.9270817,43.24818381,Bridge,Passable,370171,1
3,7,-122.7340438,43.22188073,Culvert,Passable,108847.2,1
3,7,-122.6924164,43.20964408,Culvert,Partial,108847.2,0.5
3,7,-122.7552406,43.2185673,Bridge,Passable,370171,1
3,7,-123.0120133,43.23841921,Bridge,Passable,370171,1
3,8,-122.5906696,43.20076928,CascadeGradientVelocity,Unknown,455041.93,0.1
3,8,-122.5205635,43.2569433,Falls,Unknown,455041.93,0.5
3,8,-122.5385349,43.2134409,Falls,Unknown,455041.93,0.5
3,8,-122.5183062,43.26086961,Falls,Blocked,455041.93,0.1
3,8,-122.522985,43.27813695,Falls,Partial,455041.93,0.5
3,8,-122.520348,43.25553542,Falls,Blocked,455041.93,0.1
3,8,-122.5868883,43.20280804,Falls,Blocked,455041.93,0.1
3,8,-122.6020179,43.19234488,Falls,Blocked,455041.93,0.1
3,9,-122.8088802,43.30180012,Falls,UnkAnad,455041.93,0.5
3,11,-122.636717,43.37814821,Falls,UnkAnad,455041.93,0.5
3,11,-122.640676,43.37368383,Falls,Partial,455041.93,0.5
3,11,-122.7189929,43.35579313,Falls,Partial,455041.93,0.5
3,11,-122.5595981,43.51532137,Culvert,Partial,108847.2,0.5
3,13,-122.9829803,43.33740817,Culvert,Blocked,108847.2,0.1
3,13,-122.9890923,43.32200847,Culvert,Partial,108847.2,0.5
3,13,-122.986253,43.3321069,Culvert,Blocked,108847.2,0.1
3,15,-123.2498283,43.33372413,Falls,Unknown,455041.93,0.5
3,15,-123.2539059,43.32959965,Culvert,Blocked,108847.2,0.1
3,15,-123.2389017,43.34247408,Culvert,Blocked,108847.2,0.1
3,15,-123.2556527,43.32199059,Culvert,Passable,108847.2,1
3,16,-122.6303258,43.2498026,Falls,UnkAnad,455041.93,0.5
3,16,-122.622477,43.28827569,Bridge,Passable,370171,1
3,20,-122.8913588,43.34798612,Culvert,Unknown,108847.2,0.1
3,20,-122.906714,43.31029148,Falls,Unknown,455041.93,0.5
3,20,-122.9088537,43.29744447,Culvert,Passable,108847.2,1
3,20,-122.8935613,43.33319662,Falls,Blocked,455041.93,0.1
3,20,-122.907631,43.30611574,Falls,Blocked,455041.93,0.1
3,20,-122.9076632,43.30657066,Falls,Blocked,455041.93,0.1
3,20,-122.9069602,43.30470198,Bridge,Passable,370171,1
3,20,-122.9072128,43.30902892,Falls,Blocked,455041.93,0.1
3,20,-122.9067934,43.31008047,Falls,Blocked,455041.93,0.1
3,20,-122.9076326,43.30624751,Falls,Blocked,455041.93,0.1
3,23,-123.0537501,43.32400264,Culvert,Partial,108847.2,0.5
3,26,-123.1984157,43.31589235,Culvert,Partial,108847.2,0.5
3,30,-123.080989,43.305901,Culvert,Unknown,108847.2,0.1
3,30,-123.081741,43.30805891,Culvert,Blocked,108847.2,0.1
3,33,-123.146835,43.303071,Culvert,Unknown,108847.2,0.1
3,33,-123.1476834,43.29943569,Culvert,Blocked,108847.2,0.1
3,34,-122.7282279,43.28234551,Culvert,Unknown,108847.2,0.1
3,34,-122.6907628,43.29734637,Falls,UnkAnad,455041.93,0.5
