stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
30,Falls,UnkAnad,455041.93,0.5,5.9186E-107
37,Culvert,Partial,108847.2,0.5,
46,Culvert,Partial,108847.2,0.5,
58,Falls,UnkAnad,455041.93,0.5,
73,Culvert,Passable,108847.2,1,
73,Culvert,Passable,108847.2,1,
84,Falls,UnkAnad,455041.93,0.5,
97,Culvert,Passable,108847.2,1,
102,Bridge,Passable,370171,1,
144,Falls,UnkAnad,455041.93,0.5,
144,Culvert,Passable,108847.2,1,
181,Culvert,Partial,108847.2,0.5,
181,Culvert,Partial,108847.2,0.5,
181,Culvert,Partial,108847.2,0.5,
181,Culvert,Partial,108847.2,0.5,
181,Culvert,Partial,108847.2,0.5,
181,Culvert,Partial,108847.2,0.5,
215,Culvert,Partial,108847.2,0.5,
219,Falls,Unknown,455041.93,0.5,
219,Culvert,Passable,108847.2,1,
219,CascadeGradientVelocity,Partial,455041.93,0.5,
249,Falls,UnkAnad,455041.93,0.5,
256,Culvert,Passable,108847.2,1,
280,Falls,UnkAnad,455041.93,0.5,
288,Falls,UnkAnad,455041.93,0.5,
288,Falls,UnkAnad,455041.93,0.5,
288,Bridge,Passable,370171,1,
291,Culvert,Passable,108847.2,1,
291,Culvert,Passable,108847.2,1,
294,Falls,UnkAnad,455041.93,0.5,
294,Bridge,Passable,370171,1,
297,Culvert,Partial,108847.2,0.5,
300,Culvert,Partial,108847.2,0.5,
306,Bridge,Passable,370171,1,
375,Culvert,Partial,108847.2,0.5,
380,Dam,Partial,487195.2,0.5,
380,Bridge,Passable,370171,1,
396,Culvert,Passable,108847.2,1,
402,Culvert,Partial,108847.2,0.5,
431,Culvert,Partial,108847.2,0.5,
436,Culvert,Passable,108847.2,1,
469,Culvert,Partial,108847.2,0.5,
469,Culvert,Partial,108847.2,0.5,
477,Bridge,Passable,370171,1,
477,Culvert,Partial,108847.2,0.5,
477,Culvert,Partial,108847.2,0.5,
477,Bridge,Passable,370171,1,
477,Bridge,Passable,370171,1,
477,Bridge,Passable,370171,1,
477,Culvert,Partial,108847.2,0.5,
480,Falls,UnkAnad,455041.93,0.5,
480,Falls,UnkAnad,455041.93,0.5,
483,Bridge,Passable,370171,1,
497,Culvert,Partial,108847.2,0.5,
509,Culvert,Passable,108847.2,1,
513,Culvert,Partial,108847.2,0.5,
535,Culvert,Partial,108847.2,0.5,
546,Culvert,Passable,108847.2,1,
546,Culvert,Partial,108847.2,0.5,
546,Culvert,Partial,108847.2,0.5,
567,Culvert,Partial,108847.2,0.5,
571,Dam,Passable,487195.2,1,
598,Falls,Unknown,455041.93,0.5,
610,Culvert,Passable,108847.2,1,
622,Falls,UnkAnad,455041.93,0.5,
622,Falls,UnkAnad,455041.93,0.5,
645,Culvert,Partial,108847.2,0.5,
672,Culvert,Partial,108847.2,0.5,
672,Bridge,Passable,370171,1,
672,Dam,Partial,487195.2,0.5,
682,Culvert,Partial,108847.2,0.5,
726,Culvert,Partial,108847.2,0.5,
738,Culvert,Partial,108847.2,0.5,
760,Culvert,Partial,108847.2,0.5,
760,Culvert,Passable,108847.2,1,
763,Falls,Unknown,455041.93,0.5,
768,Falls,UnkAnad,455041.93,0.5,
768,Bridge,Passable,370171,1,
768,Bridge,Passable,370171,1,
772,Falls,Unknown,455041.93,0.5,
772,Culvert,Passable,108847.2,1,
773,Culvert,Partial,108847.2,0.5,
794,Culvert,Partial,108847.2,0.5,
796,Falls,Unknown,455041.93,0.5,
796,Falls,Unknown,455041.93,0.5,
809,Falls,Unknown,455041.93,0.5,
825,Culvert,Partial,108847.2,0.5,
856,Falls,UnkAnad,455041.93,0.5,
