stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
18,Culvert,Passable,108847.2,1,7.62939E-06
49,Culvert,Partial,108847.2,0.5,
51,Falls,UnkAnad,455041.93,0.5,
51,Falls,Unknown,455041.93,0.5,
51,Falls,Unknown,455041.93,0.5,
51,Falls,Unknown,455041.93,0.5,
64,Falls,Unknown,455041.93,0.5,
95,Culvert,Passable,108847.2,1,
173,Culvert,Partial,108847.2,0.5,
269,Culvert,Partial,108847.2,0.5,
270,Culvert,Passable,108847.2,1,
286,Culvert,Passable,108847.2,1,
333,Culvert,Partial,108847.2,0.5,
435,Falls,Passable,455041.93,1,
535,Falls,Unknown,455041.93,0.5,
607,Culvert,Partial,108847.2,0.5,
608,Culvert,Partial,108847.2,0.5,
609,Culvert,Partial,108847.2,0.5,
610,Culvert,Partial,108847.2,0.5,
616,Culvert,Passable,108847.2,1,
671,Culvert,Passable,108847.2,1,
738,Culvert,Partial,108847.2,0.5,
742,Culvert,Partial,108847.2,0.5,
743,Culvert,Partial,108847.2,0.5,
750,Culvert,Partial,108847.2,0.5,
752,Culvert,Partial,108847.2,0.5,
773,Culvert,Passable,108847.2,1,
776,Culvert,Partial,108847.2,0.5,
780,Culvert,Passable,108847.2,1,
783,Culvert,Passable,108847.2,1,
828,Culvert,Partial,108847.2,0.5,
829,TideGate,UnkAnad,77617.39,0.5,
