stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
37,Falls,Partial,455041.93,0.5,7.06819E-28
38,Falls,UnkAnad,455041.93,0.5,
40,Falls,UnkAnad,455041.93,0.5,
135,Falls,UnkAnad,455041.93,0.5,
135,Falls,UnkAnad,455041.93,0.5,
135,Falls,UnkAnad,455041.93,0.5,
267,Falls,UnkAnad,455041.93,0.5,
392,Falls,Unknown,455041.93,0.5,
392,Falls,Unknown,455041.93,0.5,
392,Falls,Unknown,455041.93,0.5,
392,Falls,Unknown,455041.93,0.5,
392,Falls,Unknown,455041.93,0.5,
412,Falls,Unknown,455041.93,0.5,
414,Falls,Unknown,455041.93,0.5,
452,Culvert,Partial,108847.2,0.5,
549,Falls,Unknown,455041.93,0.5,
549,Falls,Unknown,455041.93,0.5,
549,Falls,Unknown,455041.93,0.5,
703,Falls,Unknown,455041.93,0.5,
724,Falls,Unknown,455041.93,0.5,
764,Culvert,Passable,108847.2,1,
789,Culvert,Partial,108847.2,0.5,
929,Culvert,Partial,108847.2,0.5,
1212,Falls,Unknown,455041.93,0.5,
1212,Falls,Unknown,455041.93,0.5,
1212,Falls,Partial,455041.93,0.5,
1503,Falls,Partial,455041.93,0.5,
1521,Culvert,Partial,108847.2,0.5,
1640,Culvert,Partial,108847.2,0.5,
1680,Culvert,Passable,108847.2,1,
1724,Culvert,Partial,108847.2,0.5,
1927,Falls,Unknown,455041.93,0.5,
2198,Culvert,Passable,108847.2,1,
2216,Falls,Unknown,455041.93,0.5,
2323,Dam,Partial,487195.2,0.5,
2363,Dam,Partial,487195.2,0.5,
2431,Culvert,Partial,108847.2,0.5,
2506,Culvert,Partial,108847.2,0.5,
2514,Culvert,Partial,108847.2,0.5,
2517,Culvert,Partial,108847.2,0.5,
2521,Culvert,Passable,108847.2,1,
2674,Falls,Unknown,455041.93,0.5,
2705,Culvert,Partial,108847.2,0.5,
2802,Culvert,Passable,108847.2,1,
2827,Culvert,Partial,108847.2,0.5,
2859,Falls,UnkAnad,455041.93,0.5,
2860,Falls,UnkAnad,455041.93,0.5,
2875,Culvert,Passable,108847.2,1,
2995,Falls,UnkAnad,455041.93,0.5,
2995,Dam,Partial,487195.2,0.5,
2995,Dam,Partial,487195.2,0.5,
2995,Dam,Partial,487195.2,0.5,
3206,Culvert,Partial,108847.2,0.5,
3220,Culvert,Passable,108847.2,1,
3271,Culvert,Passable,108847.2,1,
3406,Falls,UnkAnad,455041.93,0.5,
3685,Culvert,Partial,108847.2,0.5,
3685,Culvert,Partial,108847.2,0.5,
3685,Culvert,Partial,108847.2,0.5,
3739,Culvert,Partial,108847.2,0.5,
3856,Falls,UnkAnad,455041.93,0.5,
3856,Falls,UnkAnad,455041.93,0.5,
3945,Culvert,Partial,108847.2,0.5,
3945,Dam,Partial,487195.2,0.5,
3945,Dam,Partial,487195.2,0.5,
3945,Dam,Partial,487195.2,0.5,
3954,Culvert,Passable,108847.2,1,
3955,Culvert,Partial,108847.2,0.5,
4149,Culvert,Passable,108847.2,1,
4167,Culvert,Passable,108847.2,1,
4177,Falls,UnkAnad,455041.93,0.5,
4497,Ford,UnkAnad,108847.2,0.5,
4497,Falls,Partial,455041.93,0.5,
4780,Falls,UnkAnad,455041.93,0.5,
4780,Falls,UnkAnad,455041.93,0.5,
4788,Falls,UnkAnad,455041.93,0.5,
4820,Falls,Unknown,455041.93,0.5,
4884,Ford,UnkAnad,108847.2,0.5,
4915,Dam,Partial,487195.2,0.5,
4915,Dam,Partial,487195.2,0.5,
5009,Dam,Partial,487195.2,0.5,
5009,Dam,Partial,487195.2,0.5,
5009,Dam,Partial,487195.2,0.5,
5009,Dam,Partial,487195.2,0.5,
5009,Dam,Partial,487195.2,0.5,
5009,Dam,Partial,487195.2,0.5,
5176,Dam,Partial,487195.2,0.5,
5253,Culvert,Passable,108847.2,1,
5335,Culvert,Partial,108847.2,0.5,
5339,Culvert,Passable,108847.2,1,
5393,Culvert,Passable,108847.2,1,
5471,Falls,UnkAnad,455041.93,0.5,
5487,Falls,UnkAnad,455041.93,0.5,
5536,TideGate,UnkAnad,77617.39,0.5,
5655,Culvert,Partial,108847.2,0.5,
5681,CascadeGradientVelocity,Partial,455041.93,0.5,
5776,Culvert,Partial,108847.2,0.5,
5780,Culvert,Partial,108847.2,0.5,
5786,Culvert,Partial,108847.2,0.5,
6359,Culvert,Partial,108847.2,0.5,
6360,Culvert,Partial,108847.2,0.5,
6429,Culvert,Partial,108847.2,0.5,
6467,Culvert,Passable,108847.2,1,
6494,TideGate,UnkAnad,77617.39,0.5,
6499,Culvert,Partial,108847.2,0.5,
6583,Falls,Partial,455041.93,0.5,
6586,Culvert,Partial,108847.2,0.5,
6646,Falls,Partial,455041.93,0.5,
6646,Falls,Partial,455041.93,0.5,
6670,Culvert,Partial,108847.2,0.5,
6735,Culvert,Partial,108847.2,0.5,
6835,Culvert,Partial,108847.2,0.5,
