StrmLev,stream_id,fpbFtrTy,fpbFPasSta,cost,pass_score
1,1,Falls,UnkAnad,455041.93,0.5
1,1,Falls,UnkAnad,455041.93,0.5
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Falls,Partial,455041.93,0.5
2,2,Falls,UnkAnad,455041.93,0.5
2,2,Falls,UnkAnad,455041.93,0.5
2,3,Culvert,Passable,108847.2,1
2,4,Dam,UnkAnad,487195.2,0.1
2,4,Bridge,Unknown,370171,0.1
2,4,Bridge,Unknown,370171,0.1
2,4,Culvert,Partial,108847.2,0.5
2,4,Falls,Partial,455041.93,0.5
2,5,Ford,UnkAnad,108847.2,0.5
2,5,Bridge,Unknown,370171,0.1
2,5,Falls,Partial,455041.93,0.5
2,5,Falls,Blocked,455041.93,0.1
2,5,Falls,Blocked,455041.93,0.1
2,6,Culvert,UnkAnad,108847.2,0.1
2,6,Bridge,Unknown,370171,0.1
2,6,Bridge,Unknown,370171,0.1
2,6,Falls,Blocked,455041.93,0.1
2,9,Falls,Blocked,455041.93,0.1
2,10,Ford,Unknown,108847.2,0.5
2,10,Falls,UnkAnad,455041.93,0.5
2,10,Falls,UnkAnad,455041.93,0.5
2,10,Falls,UnkAnad,455041.93,0.5
2,10,Falls,Blocked,455041.93,0.1
2,10,Falls,Blocked,455041.93,0.1
2,12,Bridge,Unknown,370171,0.1
2,12,Bridge,Unknown,370171,0.1
2,12,Bridge,Unknown,370171,0.1
2,12,Falls,Blocked,455041.93,0.1
2,12,Falls,Blocked,455041.93,0.1
2,12,CascadeGradientVelocity,Partial,455041.93,0.5
2,19,Culvert,UnkAnad,108847.2,0.1
2,19,Falls,Partial,455041.93,0.5
2,19,Culvert,Passable,108847.2,1
2,20,Culvert,Blocked,108847.2,0.1
2,20,Falls,Blocked,455041.93,0.1
2,27,Culvert,UnkAnad,108847.2,0.1
2,27,Culvert,UnkAnad,108847.2,0.1
2,28,CascadeGradientVelocity,Unknown,455041.93,0.1
2,28,Falls,UnkAnad,455041.93,0.5
2,28,Bridge,Unknown,370171,0.1
2,30,Falls,UnkAnad,455041.93,0.5
2,35,Culvert,Partial,108847.2,0.5
2,39,Culvert,Unknown,108847.2,0.1
2,39,Falls,Blocked,455041.93,0.1
2,40,Culvert,Partial,108847.2,0.5
2,40,Culvert,Partial,108847.2,0.5
2,40,Culvert,Partial,108847.2,0.5
2,41,Falls,Unknown,455041.93,0.5
2,41,Bridge,Unknown,370171,0.1
2,41,Culvert,Partial,108847.2,0.5
2,41,Falls,Blocked,455041.93,0.1
2,41,Falls,Blocked,455041.93,0.1
2,41,Falls,Blocked,455041.93,0.1
2,41,Falls,Blocked,455041.93,0.1
2,41,Falls,Blocked,455041.93,0.1
2,48,Culvert,Passable,108847.2,1
2,49,Culvert,UnkAnad,108847.2,0.1
2,49,Bridge,Unknown,370171,0.1
2,51,Culvert,Passable,108847.2,1
2,53,Culvert,Passable,108847.2,1
2,58,Culvert,UnkAnad,108847.2,0.1
2,58,Culvert,UnkAnad,108847.2,0.1
2,58,Dam,Partial,487195.2,0.5
2,58,Dam,Partial,487195.2,0.5
2,61,Falls,UnkAnad,455041.93,0.5
2,61,Bridge,Unknown,370171,0.1
2,61,Falls,Blocked,455041.93,0.1
2,61,Falls,Blocked,455041.93,0.1
2,67,Falls,Blocked,455041.93,0.1
2,82,Falls,Blocked,455041.93,0.1
2,85,Culvert,Passable,108847.2,1
2,93,Culvert,UnkAnad,108847.2,0.1
2,95,Bridge,Unknown,370171,0.1
2,95,Bridge,Unknown,370171,0.1
2,98,Culvert,Passable,108847.2,1
2,101,Falls,Unknown,455041.93,0.5
2,101,Falls,Unknown,455041.93,0.5
2,101,Falls,Unknown,455041.93,0.5
2,114,Culvert,Unknown,108847.2,0.1
2,115,Culvert,UnkAnad,108847.2,0.1
2,115,Falls,UnkAnad,455041.93,0.5
2,115,Culvert,UnkAnad,108847.2,0.1
2,122,Culvert,Passable,108847.2,1
2,134,Culvert,Partial,108847.2,0.5
2,136,Bridge,Unknown,370171,0.1
2,147,Falls,Unknown,455041.93,0.5
2,162,Culvert,Unknown,108847.2,0.1
2,162,Dam,Blocked,487195.2,0.1
2,166,Culvert,Partial,108847.2,0.5
2,169,Culvert,Blocked,108847.2,0.1
2,186,Culvert,Unknown,108847.2,0.1
2,200,Culvert,Blocked,108847.2,0.1
2,225,Bridge,Unknown,370171,0.1
2,233,Culvert,UnkAnad,108847.2,0.1
2,233,Culvert,Unknown,108847.2,0.1
2,233,Dam,Blocked,487195.2,0.1
2,233,Culvert,Partial,108847.2,0.5
2,233,Dam,Partial,487195.2,0.5
2,233,Dam,Partial,487195.2,0.5
2,233,Dam,Partial,487195.2,0.5
2,237,Culvert,Unknown,108847.2,0.1
2,260,Dam,Partial,487195.2,0.5
2,260,Dam,Partial,487195.2,0.5
2,260,Dam,Partial,487195.2,0.5
2,260,Dam,Partial,487195.2,0.5
2,260,Dam,Partial,487195.2,0.5
2,260,Dam,Partial,487195.2,0.5
2,260,CascadeGradientVelocity,Blocked,455041.93,0.1
2,263,Culvert,UnkAnad,108847.2,0.1
2,275,Culvert,Partial,108847.2,0.5
2,281,Culvert,UnkAnad,108847.2,0.1
2,281,Culvert,Blocked,108847.2,0.1
2,281,Culvert,Blocked,108847.2,0.1
2,281,Culvert,Passable,108847.2,1
2,322,Falls,Blocked,455041.93,0.1
2,356,Culvert,Blocked,108847.2,0.1
2,385,Bridge,Unknown,370171,0.1
2,415,Culvert,UnkAnad,108847.2,0.1
2,432,Culvert,Passable,108847.2,1
2,440,Culvert,Unknown,108847.2,0.1
2,441,Culvert,Unknown,108847.2,0.1
2,513,Culvert,Unknown,108847.2,0.1
2,525,Culvert,Blocked,108847.2,0.1
2,561,Culvert,Blocked,108847.2,0.1
2,611,TideGate,UnkAnad,77617.39,0.5
2,615,Bridge,Unknown,370171,0.1
3,700,Culvert,Blocked,108847.2,0.1
3,762,Culvert,Unknown,108847.2,0.1
3,762,Falls,Partial,455041.93,0.5
3,762,Falls,Partial,455041.93,0.5
3,765,Culvert,UnkAnad,108847.2,0.1
3,768,Culvert,UnkAnad,108847.2,0.1
3,768,Bridge,Unknown,370171,0.1
3,769,CascadeGradientVelocity,Unknown,455041.93,0.1
3,774,Falls,Blocked,455041.93,0.1
3,779,Culvert,Partial,108847.2,0.5
3,782,Culvert,Blocked,108847.2,0.1
3,783,Falls,UnkAnad,455041.93,0.5
3,783,Falls,UnkAnad,455041.93,0.5
3,783,Falls,Blocked,455041.93,0.1
3,788,Culvert,UnkAnad,108847.2,0.1
3,788,Culvert,UnkAnad,108847.2,0.1
3,788,Culvert,Unknown,108847.2,0.1
3,788,Culvert,Blocked,108847.2,0.1
3,788,Falls,Blocked,455041.93,0.1
3,792,Falls,Blocked,455041.93,0.1
3,793,Culvert,Passable,108847.2,1
3,795,Falls,Unknown,455041.93,0.5
3,795,Falls,Unknown,455041.93,0.5
3,795,Falls,Unknown,455041.93,0.5
3,795,Falls,Unknown,455041.93,0.5
3,795,Falls,Unknown,455041.93,0.5
3,795,Falls,Unknown,455041.93,0.5
3,795,Culvert,Blocked,108847.2,0.1
3,795,Falls,Blocked,455041.93,0.1
3,795,Falls,Blocked,455041.93,0.1
3,795,Falls,Blocked,455041.93,0.1
3,795,Falls,Blocked,455041.93,0.1
3,795,Falls,Blocked,455041.93,0.1
3,795,Falls,Blocked,455041.93,0.1
3,797,Culvert,Unknown,108847.2,0.1
3,797,Culvert,Partial,108847.2,0.5
3,797,Falls,Blocked,455041.93,0.1
3,805,Culvert,Unknown,108847.2,0.1
3,809,Culvert,UnkAnad,108847.2,0.1
3,809,Culvert,UnkAnad,108847.2,0.1
3,809,Culvert,UnkAnad,108847.2,0.1
3,809,Culvert,Blocked,108847.2,0.1
3,809,Culvert,Partial,108847.2,0.5
3,833,Culvert,Unknown,108847.2,0.1
3,833,Culvert,Unknown,108847.2,0.1
3,833,Falls,UnkAnad,455041.93,0.5
3,833,Dam,Partial,487195.2,0.5
3,833,Dam,Partial,487195.2,0.5
3,833,Dam,Partial,487195.2,0.5
3,833,Dam,Partial,487195.2,0.5
3,842,Culvert,Unknown,108847.2,0.1
3,842,Culvert,UnkAnad,108847.2,0.1
3,842,Culvert,Unknown,108847.2,0.1
3,842,Culvert,Unknown,108847.2,0.1
3,842,Culvert,UnkAnad,108847.2,0.1
3,842,Falls,Unknown,455041.93,0.5
3,853,Culvert,Partial,108847.2,0.5
3,857,Culvert,Unknown,108847.2,0.1
3,857,Culvert,Passable,108847.2,1
3,867,Dam,Partial,487195.2,0.5
3,889,Culvert,Blocked,108847.2,0.1
3,893,Culvert,UnkAnad,108847.2,0.1
3,893,Culvert,Passable,108847.2,1
3,899,Culvert,Passable,108847.2,1
3,908,Falls,Unknown,455041.93,0.5
3,908,Falls,Blocked,455041.93,0.1
3,919,CascadeGradientVelocity,UnkAnad,455041.93,0.1
3,919,Bridge,Unknown,370171,0.1
3,1008,Culvert,Blocked,108847.2,0.1
3,1039,Falls,UnkAnad,455041.93,0.5
3,1057,Culvert,UnkAnad,108847.2,0.1
3,1144,Bridge,Unknown,370171,0.1
3,1209,Falls,Blocked,455041.93,0.1
3,1227,Culvert,UnkAnad,108847.2,0.1
3,1227,Culvert,Partial,108847.2,0.5
3,1241,Falls,Blocked,455041.93,0.1
3,1241,Falls,Blocked,455041.93,0.1
3,1241,Falls,Blocked,455041.93,0.1
3,1241,Falls,Blocked,455041.93,0.1
3,1250,Culvert,Passable,108847.2,1
3,1278,Culvert,Unknown,108847.2,0.1
3,1294,Falls,Blocked,455041.93,0.1
3,1294,Falls,Blocked,455041.93,0.1
3,1309,Culvert,Blocked,108847.2,0.1
3,1311,Falls,Blocked,455041.93,0.1
3,1316,Falls,Blocked,455041.93,0.1
3,1334,Culvert,Partial,108847.2,0.5
3,1344,Culvert,Passable,108847.2,1
3,1348,Bridge,Unknown,370171,0.1
3,1349,Falls,Blocked,455041.93,0.1
3,1394,Falls,Unknown,455041.93,0.5
3,1394,Falls,Unknown,455041.93,0.5
3,1394,Falls,Partial,455041.93,0.5
3,1398,Culvert,UnkAnad,108847.2,0.1
3,1399,Falls,Blocked,455041.93,0.1
3,1426,Culvert,Blocked,108847.2,0.1
3,1427,Culvert,Blocked,108847.2,0.1
3,1430,Culvert,Passable,108847.2,1
3,1556,Falls,Partial,455041.93,0.5
3,1631,Bridge,Unknown,370171,0.1
3,1707,Bridge,Unknown,370171,0.1
3,1766,Culvert,Passable,108847.2,1
3,1814,Culvert,Passable,108847.2,1
3,1880,Dam,Partial,487195.2,0.5
3,2123,Culvert,Unknown,108847.2,0.1
3,2248,Falls,Blocked,455041.93,0.1
3,2403,Culvert,Unknown,108847.2,0.1
3,2463,Culvert,Partial,108847.2,0.5
3,2474,Culvert,UnkAnad,108847.2,0.1
3,2474,Culvert,Unknown,108847.2,0.1
3,2474,TideGate,UnkAnad,77617.39,0.5
3,2475,Culvert,Partial,108847.2,0.5
3,2490,Culvert,UnkAnad,108847.2,0.1
3,2491,Culvert,Blocked,108847.2,0.1
3,2497,Culvert,Partial,108847.2,0.5
3,2643,Culvert,Blocked,108847.2,0.1
3,2679,Culvert,Passable,108847.2,1
3,2702,Culvert,Blocked,108847.2,0.1
3,2724,Bridge,Unknown,370171,0.1
3,2735,Falls,Blocked,455041.93,0.1
3,2980,Culvert,Partial,108847.2,0.5
3,3032,Culvert,Partial,108847.2,0.5
4,3242,Culvert,UnkAnad,108847.2,0.1
4,3328,Falls,Unknown,455041.93,0.5
4,3364,Falls,Blocked,455041.93,0.1
4,3564,Culvert,Blocked,108847.2,0.1
4,3597,Culvert,Unknown,108847.2,0.1
4,3621,Falls,Blocked,455041.93,0.1
4,3636,Culvert,Partial,108847.2,0.5
4,3679,Falls,Blocked,455041.93,0.1
4,3681,Culvert,Passable,108847.2,1
4,3691,Culvert,UnkAnad,108847.2,0.1
4,3696,Culvert,Partial,108847.2,0.5
4,3704,Culvert,Unknown,108847.2,0.1
4,3706,Culvert,Partial,108847.2,0.5
4,3725,Culvert,Partial,108847.2,0.5
4,3758,Culvert,Partial,108847.2,0.5
4,3800,Culvert,Partial,108847.2,0.5
4,3823,Culvert,Unknown,108847.2,0.1
4,3838,Falls,Unknown,455041.93,0.5
4,3922,Culvert,Unknown,108847.2,0.1
4,4097,Culvert,Blocked,108847.2,0.1
4,4281,Falls,Unknown,455041.93,0.5
