stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
2,TideGate,UnkAnad,77617.39,0.5,1.3189E-35
6,Culvert,Partial,108847.2,0.5,
6,Culvert,Passable,108847.2,1,
9,Falls,Partial,455041.93,0.5,
100,Culvert,Passable,108847.2,1,
108,Culvert,Passable,108847.2,1,
137,Culvert,Passable,108847.2,1,
183,Dam,Partial,487195.2,0.5,
185,Culvert,Partial,108847.2,0.5,
225,Culvert,Passable,108847.2,1,
230,Bridge,Passable,370171,1,
254,Dam,Partial,487195.2,0.5,
255,Bridge,Passable,370171,1,
313,Dam,Partial,487195.2,0.5,
377,Ford,UnkAnad,108847.2,0.5,
377,Culvert,Partial,108847.2,0.5,
494,Culvert,Passable,108847.2,1,
512,Culvert,Partial,108847.2,0.5,
563,Culvert,Passable,108847.2,1,
632,Dam,Partial,487195.2,0.5,
691,Culvert,Partial,108847.2,0.5,
734,Culvert,Partial,108847.2,0.5,
771,Culvert,Partial,108847.2,0.5,
1095,Culvert,Passable,108847.2,1,
1131,Culvert,Partial,108847.2,0.5,
1132,Culvert,Partial,108847.2,0.5,
1132,Culvert,Partial,108847.2,0.5,
1132,Culvert,Partial,108847.2,0.5,
1145,Culvert,Partial,108847.2,0.5,
1425,Bridge,Passable,370171,1,
1509,Culvert,Partial,108847.2,0.5,
1537,Culvert,Partial,108847.2,0.5,
1588,Culvert,Partial,108847.2,0.5,
1714,Culvert,Passable,108847.2,1,
1797,Culvert,Partial,108847.2,0.5,
1842,Culvert,Partial,108847.2,0.5,
1866,Culvert,Partial,108847.2,0.5,
1867,Culvert,Partial,108847.2,0.5,
1875,Culvert,Partial,108847.2,0.5,
1875,Culvert,Partial,108847.2,0.5,
1885,Culvert,Partial,108847.2,0.5,
2037,WeirSill,Partial,190097.21,0.5,
2037,WeirSill,Partial,190097.21,0.5,
2145,Culvert,Partial,108847.2,0.5,
2460,Falls,Partial,455041.93,0.5,
2464,Falls,Partial,455041.93,0.5,
2557,Culvert,Partial,108847.2,0.5,
2558,Culvert,Partial,108847.2,0.5,
2574,Culvert,Partial,108847.2,0.5,
2749,Culvert,Passable,108847.2,1,
2875,Culvert,Partial,108847.2,0.5,
2876,Culvert,Partial,108847.2,0.5,
2881,Falls,UnkAnad,455041.93,0.5,
2881,Falls,UnkAnad,455041.93,0.5,
2881,Falls,UnkAnad,455041.93,0.5,
2881,Falls,UnkAnad,455041.93,0.5,
2881,Falls,UnkAnad,455041.93,0.5,
2881,Falls,UnkAnad,455041.93,0.5,
2903,Culvert,Partial,108847.2,0.5,
2919,Culvert,Partial,108847.2,0.5,
3007,WeirSill,UnkAnad,190097.21,0.5,
3008,Ford,UnkAnad,108847.2,0.5,
3008,Dam,Partial,487195.2,0.5,
3030,Culvert,Passable,108847.2,1,
3188,Culvert,Partial,108847.2,0.5,
3214,Culvert,Partial,108847.2,0.5,
3281,Culvert,Passable,108847.2,1,
3281,Culvert,Passable,108847.2,1,
3282,Culvert,Passable,108847.2,1,
3286,Culvert,Passable,108847.2,1,
3609,Culvert,Passable,108847.2,1,
3802,Culvert,Passable,108847.2,1,
3814,Culvert,Passable,108847.2,1,
3818,Culvert,Passable,108847.2,1,
4196,Culvert,Passable,108847.2,1,
4223,Culvert,Passable,108847.2,1,
4246,Culvert,Passable,108847.2,1,
4324,Culvert,Passable,108847.2,1,
4324,Culvert,Passable,108847.2,1,
4326,Culvert,Passable,108847.2,1,
4327,Culvert,Passable,108847.2,1,
4335,Culvert,Passable,108847.2,1,
4337,Culvert,Passable,108847.2,1,
4338,Culvert,Passable,108847.2,1,
4341,Culvert,Passable,108847.2,1,
4346,Culvert,Passable,108847.2,1,
4354,Culvert,Passable,108847.2,1,
4354,Culvert,Passable,108847.2,1,
4354,Culvert,Passable,108847.2,1,
4383,Culvert,Passable,108847.2,1,
4396,Culvert,Passable,108847.2,1,
4397,Culvert,Passable,108847.2,1,
4412,Culvert,Passable,108847.2,1,
4413,Culvert,Passable,108847.2,1,
4414,Culvert,Passable,108847.2,1,
4417,Culvert,Passable,108847.2,1,
4421,Culvert,Passable,108847.2,1,
4421,Culvert,Passable,108847.2,1,
4425,Culvert,Passable,108847.2,1,
4436,Culvert,Passable,108847.2,1,
4436,Culvert,Passable,108847.2,1,
4441,Culvert,Passable,108847.2,1,
4441,Culvert,Passable,108847.2,1,
4442,Culvert,Passable,108847.2,1,
4452,Culvert,Passable,108847.2,1,
4454,Culvert,Passable,108847.2,1,
4455,Culvert,Passable,108847.2,1,
4459,Culvert,Passable,108847.2,1,
4465,Culvert,Passable,108847.2,1,
4470,Culvert,Passable,108847.2,1,
4473,Culvert,Passable,108847.2,1,
4485,Culvert,Passable,108847.2,1,
4485,Culvert,Passable,108847.2,1,
4492,Culvert,Passable,108847.2,1,
4505,Culvert,Passable,108847.2,1,
4511,Culvert,Passable,108847.2,1,
4511,Culvert,Passable,108847.2,1,
4524,Culvert,Passable,108847.2,1,
4530,Culvert,Passable,108847.2,1,
4535,Culvert,Passable,108847.2,1,
4586,Culvert,Passable,108847.2,1,
4604,Culvert,Passable,108847.2,1,
4611,Culvert,Passable,108847.2,1,
4612,Culvert,Passable,108847.2,1,
4613,Culvert,Passable,108847.2,1,
4617,Culvert,Passable,108847.2,1,
4622,Culvert,Passable,108847.2,1,
4623,Culvert,Passable,108847.2,1,
4626,Culvert,Passable,108847.2,1,
4629,Culvert,Passable,108847.2,1,
4639,Culvert,Passable,108847.2,1,
4642,Culvert,Partial,108847.2,0.5,
4642,Culvert,Passable,108847.2,1,
4647,Culvert,Passable,108847.2,1,
4650,Culvert,Passable,108847.2,1,
4658,Culvert,Passable,108847.2,1,
4690,Culvert,Partial,108847.2,0.5,
4695,Culvert,Passable,108847.2,1,
4695,Culvert,Passable,108847.2,1,
4697,Culvert,Passable,108847.2,1,
4697,Culvert,Passable,108847.2,1,
4741,Culvert,Passable,108847.2,1,
4750,Culvert,Passable,108847.2,1,
4798,Culvert,Passable,108847.2,1,
4871,Culvert,Passable,108847.2,1,
4871,Culvert,Passable,108847.2,1,
4872,Culvert,Passable,108847.2,1,
4882,Culvert,Passable,108847.2,1,
4913,Culvert,Passable,108847.2,1,
4914,Culvert,Passable,108847.2,1,
4927,Culvert,Passable,108847.2,1,
4932,Culvert,Passable,108847.2,1,
4937,Culvert,Passable,108847.2,1,
4954,Culvert,Passable,108847.2,1,
4954,Culvert,Passable,108847.2,1,
4960,Culvert,Passable,108847.2,1,
4995,Culvert,Passable,108847.2,1,
5000,Culvert,Passable,108847.2,1,
5002,Culvert,Passable,108847.2,1,
5004,Culvert,Passable,108847.2,1,
5019,Culvert,Passable,108847.2,1,
5025,Culvert,Passable,108847.2,1,
5029,Culvert,Passable,108847.2,1,
5031,Culvert,Passable,108847.2,1,
5032,Culvert,Passable,108847.2,1,
5036,Culvert,Passable,108847.2,1,
5047,Culvert,Partial,108847.2,0.5,
5053,Culvert,Passable,108847.2,1,
5066,Culvert,Passable,108847.2,1,
5067,Culvert,Passable,108847.2,1,
5076,Culvert,Passable,108847.2,1,
5079,Culvert,Passable,108847.2,1,
5081,Culvert,Passable,108847.2,1,
5099,Culvert,Passable,108847.2,1,
5102,Culvert,Passable,108847.2,1,
5103,Culvert,Passable,108847.2,1,
5239,Culvert,Passable,108847.2,1,
5259,Culvert,Passable,108847.2,1,
5269,Culvert,Passable,108847.2,1,
5278,Culvert,Partial,108847.2,0.5,
5306,Culvert,Passable,108847.2,1,
5307,Culvert,Passable,108847.2,1,
5311,Culvert,Passable,108847.2,1,
5363,Culvert,Partial,108847.2,0.5,
5415,Culvert,Passable,108847.2,1,
5435,Culvert,Passable,108847.2,1,
5556,Culvert,Passable,108847.2,1,
5562,Culvert,Passable,108847.2,1,
5571,Culvert,Passable,108847.2,1,
5584,CascadeGradientVelocity,Partial,455041.93,0.5,
5584,CascadeGradientVelocity,Partial,455041.93,0.5,
5617,CascadeGradientVelocity,Partial,455041.93,0.5,
5618,CascadeGradientVelocity,Partial,455041.93,0.5,
5702,Culvert,Passable,108847.2,1,
5703,Culvert,Passable,108847.2,1,
6070,Culvert,Passable,108847.2,1,
6070,Culvert,Passable,108847.2,1,
6070,Culvert,Passable,108847.2,1,
6070,Culvert,Passable,108847.2,1,
6073,Falls,Partial,455041.93,0.5,
6073,Culvert,Passable,108847.2,1,
6074,Dam,Partial,487195.2,0.5,
6074,Culvert,Passable,108847.2,1,
6075,Falls,UnkAnad,455041.93,0.5,
6096,Falls,Unknown,455041.93,0.5,
6096,Culvert,Passable,108847.2,1,
6096,Culvert,Passable,108847.2,1,
6096,Culvert,Passable,108847.2,1,
6098,Culvert,Passable,108847.2,1,
6105,Falls,Unknown,455041.93,0.5,
6105,Falls,Unknown,455041.93,0.5,
6128,Culvert,Passable,108847.2,1,
6131,Culvert,Passable,108847.2,1,
6140,Culvert,Passable,108847.2,1,
6142,Culvert,Passable,108847.2,1,
6142,Culvert,Passable,108847.2,1,
6145,Culvert,Passable,108847.2,1,
6145,Culvert,Passable,108847.2,1,
6145,Culvert,Passable,108847.2,1,
6145,Culvert,Passable,108847.2,1,
6145,Culvert,Passable,108847.2,1,
6160,Falls,UnkAnad,455041.93,0.5,
6160,Culvert,Passable,108847.2,1,
6162,Culvert,Passable,108847.2,1,
6162,Culvert,Passable,108847.2,1,
6165,Culvert,Passable,108847.2,1,
6167,Culvert,Passable,108847.2,1,
6169,Culvert,Passable,108847.2,1,
6170,Culvert,Passable,108847.2,1,
6173,Culvert,Passable,108847.2,1,
6174,Culvert,Passable,108847.2,1,
6175,Culvert,Passable,108847.2,1,
6179,Culvert,Passable,108847.2,1,
6186,Culvert,Passable,108847.2,1,
6188,Culvert,Passable,108847.2,1,
6189,Culvert,Passable,108847.2,1,
6189,Culvert,Passable,108847.2,1,
6192,Culvert,Passable,108847.2,1,
6198,Culvert,Passable,108847.2,1,
6199,Culvert,Passable,108847.2,1,
6201,Culvert,Passable,108847.2,1,
6205,Culvert,Passable,108847.2,1,
6206,Culvert,Passable,108847.2,1,
6207,Culvert,Passable,108847.2,1,
6209,Culvert,Passable,108847.2,1,
6209,Culvert,Passable,108847.2,1,
6211,Culvert,Passable,108847.2,1,
6212,Culvert,Passable,108847.2,1,
6220,Culvert,Passable,108847.2,1,
6222,Culvert,Passable,108847.2,1,
6229,Culvert,Passable,108847.2,1,
6234,Culvert,Passable,108847.2,1,
6235,Culvert,Passable,108847.2,1,
6266,Culvert,Passable,108847.2,1,
6267,Culvert,Passable,108847.2,1,
6271,Culvert,Passable,108847.2,1,
6274,Culvert,Passable,108847.2,1,
6277,Culvert,Passable,108847.2,1,
6278,Culvert,Passable,108847.2,1,
6278,Culvert,Passable,108847.2,1,
6309,Culvert,Passable,108847.2,1,
6309,Culvert,Passable,108847.2,1,
6315,Culvert,Passable,108847.2,1,
6316,Culvert,Passable,108847.2,1,
6316,Culvert,Passable,108847.2,1,
6321,Culvert,Passable,108847.2,1,
6342,Culvert,Passable,108847.2,1,
6342,Culvert,Passable,108847.2,1,
6344,Culvert,Passable,108847.2,1,
6347,Culvert,Passable,108847.2,1,
6350,Culvert,Passable,108847.2,1,
6350,Culvert,Passable,108847.2,1,
6351,Culvert,Passable,108847.2,1,
6352,Culvert,Passable,108847.2,1,
6353,Culvert,Passable,108847.2,1,
6354,Culvert,Passable,108847.2,1,
6374,Culvert,Passable,108847.2,1,
6375,Culvert,Passable,108847.2,1,
6375,Culvert,Passable,108847.2,1,
6385,Culvert,Passable,108847.2,1,
6407,Culvert,Partial,108847.2,0.5,
6409,Culvert,Passable,108847.2,1,
6436,Culvert,Passable,108847.2,1,
6451,Culvert,Passable,108847.2,1,
6454,Culvert,Passable,108847.2,1,
6486,Culvert,Passable,108847.2,1,
6498,Culvert,Passable,108847.2,1,
6513,Culvert,Passable,108847.2,1,
6522,Culvert,Passable,108847.2,1,
6525,Culvert,Passable,108847.2,1,
6556,Culvert,Passable,108847.2,1,
6562,Culvert,Passable,108847.2,1,
6563,Culvert,Passable,108847.2,1,
6564,Culvert,Passable,108847.2,1,
6566,Culvert,Passable,108847.2,1,
6567,Culvert,Passable,108847.2,1,
6567,Culvert,Passable,108847.2,1,
6599,Culvert,Passable,108847.2,1,
6599,Culvert,Passable,108847.2,1,
6600,Culvert,Passable,108847.2,1,
6603,Culvert,Partial,108847.2,0.5,
6616,Culvert,Passable,108847.2,1,
6618,Culvert,Passable,108847.2,1,
6630,Culvert,Passable,108847.2,1,
6632,Culvert,Passable,108847.2,1,
6633,Culvert,Passable,108847.2,1,
6637,Culvert,Passable,108847.2,1,
6638,Culvert,Passable,108847.2,1,
6680,Culvert,Passable,108847.2,1,
6680,Culvert,Passable,108847.2,1,
6697,Culvert,Passable,108847.2,1,
6697,Culvert,Passable,108847.2,1,
6697,Culvert,Partial,108847.2,0.5,
6698,Culvert,Passable,108847.2,1,
6698,Culvert,Passable,108847.2,1,
6701,Culvert,Passable,108847.2,1,
6701,Culvert,Passable,108847.2,1,
6703,Culvert,Passable,108847.2,1,
6703,Culvert,Passable,108847.2,1,
6731,Culvert,Passable,108847.2,1,
6732,Culvert,Passable,108847.2,1,
6733,Culvert,Passable,108847.2,1,
6738,Culvert,Passable,108847.2,1,
6738,Culvert,Passable,108847.2,1,
6745,Culvert,Passable,108847.2,1,
6746,Culvert,Passable,108847.2,1,
6758,Culvert,Passable,108847.2,1,
6762,Culvert,Passable,108847.2,1,
6808,Culvert,Passable,108847.2,1,
6810,Culvert,Passable,108847.2,1,
6812,Culvert,Passable,108847.2,1,
6813,Culvert,Passable,108847.2,1,
6816,Culvert,Passable,108847.2,1,
6844,Culvert,Passable,108847.2,1,
6845,Culvert,Passable,108847.2,1,
6853,Culvert,Passable,108847.2,1,
6856,Culvert,Passable,108847.2,1,
6860,Culvert,Passable,108847.2,1,
6864,Culvert,Passable,108847.2,1,
6865,Culvert,Passable,108847.2,1,
6868,Culvert,Passable,108847.2,1,
6888,Culvert,Passable,108847.2,1,
6949,Culvert,Passable,108847.2,1,
6962,Culvert,Passable,108847.2,1,
6963,Culvert,Passable,108847.2,1,
6968,Culvert,Passable,108847.2,1,
6980,Culvert,Passable,108847.2,1,
6980,Culvert,Passable,108847.2,1,
6980,Culvert,Passable,108847.2,1,
6980,Culvert,Passable,108847.2,1,
6980,Culvert,Passable,108847.2,1,
6980,Culvert,Passable,108847.2,1,
6991,Culvert,Passable,108847.2,1,
6991,Culvert,Passable,108847.2,1,
6996,Culvert,Passable,108847.2,1,
6998,Culvert,Passable,108847.2,1,
7003,Culvert,Passable,108847.2,1,
7010,Culvert,Passable,108847.2,1,
7018,Culvert,Passable,108847.2,1,
7019,Culvert,Passable,108847.2,1,
7021,Culvert,Passable,108847.2,1,
7033,Culvert,Passable,108847.2,1,
7037,Culvert,Passable,108847.2,1,
7038,Culvert,Passable,108847.2,1,
7054,Culvert,Passable,108847.2,1,
7113,Culvert,Passable,108847.2,1,
7118,Culvert,Passable,108847.2,1,
7118,Culvert,Passable,108847.2,1,
7119,Culvert,Passable,108847.2,1,
7119,Culvert,Passable,108847.2,1,
7120,Culvert,Passable,108847.2,1,
7121,Culvert,Passable,108847.2,1,
7121,Culvert,Passable,108847.2,1,
7121,Culvert,Passable,108847.2,1,
7122,Culvert,Passable,108847.2,1,
7123,Culvert,Passable,108847.2,1,
7130,Culvert,Passable,108847.2,1,
7135,Culvert,Passable,108847.2,1,
7136,Culvert,Passable,108847.2,1,
7141,Culvert,Passable,108847.2,1,
7143,Culvert,Passable,108847.2,1,
7146,Culvert,Passable,108847.2,1,
7152,Culvert,Passable,108847.2,1,
7163,Culvert,Passable,108847.2,1,
7166,Culvert,Passable,108847.2,1,
7188,Culvert,Passable,108847.2,1,
7199,Culvert,Passable,108847.2,1,
7203,Falls,UnkAnad,455041.93,0.5,
7203,Culvert,Passable,108847.2,1,
7207,Falls,UnkAnad,455041.93,0.5,
7207,Falls,Unknown,455041.93,0.5,
7207,Culvert,Passable,108847.2,1,
7214,Culvert,Passable,108847.2,1,
7216,Falls,UnkAnad,455041.93,0.5,
7306,Culvert,Passable,108847.2,1,
7310,Culvert,Passable,108847.2,1,
7310,Culvert,Passable,108847.2,1,
7311,Culvert,Passable,108847.2,1,
7312,Culvert,Passable,108847.2,1,
7344,Culvert,Passable,108847.2,1,
7344,Culvert,Passable,108847.2,1,
7345,Culvert,Passable,108847.2,1,
7345,Culvert,Passable,108847.2,1,
