StrmLev,stream_id,fpbFtrTy,fpbFPasSta,cost,pass_score
1,1,Dam,UnkAnad,487195.2,0.1
1,1,Culvert,UnkAnad,108847.2,0.1
1,1,Culvert,UnkAnad,108847.2,0.1
1,1,Culvert,UnkAnad,108847.2,0.1
1,1,TideGate,UnkAnad,77617.39,0.5
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Falls,Partial,455041.93,0.5
1,1,Culvert,Partial,108847.2,0.5
1,1,Culvert,Passable,108847.2,1
2,3,TideGate,UnkAnad,77617.39,0.5
2,3,Bridge,Unknown,370171,0.1
2,3,Bridge,Unknown,370171,0.1
2,3,Bridge,Unknown,370171,0.1
2,3,Bridge,Unknown,370171,0.1
2,3,Bridge,Unknown,370171,0.1
2,3,Bridge,Unknown,370171,0.1
2,3,Bridge,Unknown,370171,0.1
2,5,Bridge,Unknown,370171,0.1
2,10,Culvert,UnkAnad,108847.2,0.1
2,10,Culvert,UnkAnad,108847.2,0.1
2,10,Bridge,Unknown,370171,0.1
2,11,Culvert,Partial,108847.2,0.5
2,12,Bridge,Unknown,370171,0.1
2,12,Culvert,Unknown,108847.2,0.1
2,12,Falls,Blocked,455041.93,0.1
2,15,Culvert,Unknown,108847.2,0.1
2,16,Culvert,UnkAnad,108847.2,0.1
2,17,Bridge,Unknown,370171,0.1
2,20,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,Unknown,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Dam,UnkAnad,487195.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Culvert,UnkAnad,108847.2,0.1
2,22,Falls,UnkAnad,455041.93,0.5
2,22,Bridge,Unknown,370171,0.1
2,22,Bridge,Unknown,370171,0.1
2,22,Bridge,Unknown,370171,0.1
2,22,Bridge,Unknown,370171,0.1
2,22,Falls,Unknown,455041.93,0.5
2,22,Culvert,Unknown,108847.2,0.1
2,22,Falls,Partial,455041.93,0.5
2,22,Dam,Partial,487195.2,0.5
2,22,Culvert,Passable,108847.2,1
2,22,Culvert,Passable,108847.2,1
2,22,Culvert,Passable,108847.2,1
2,22,Culvert,Passable,108847.2,1
2,22,Culvert,Passable,108847.2,1
2,22,Culvert,Passable,108847.2,1
2,22,Culvert,Passable,108847.2,1
2,22,Culvert,Passable,108847.2,1
2,22,Culvert,Passable,108847.2,1
2,22,Culvert,Passable,108847.2,1
2,22,Culvert,Passable,108847.2,1
2,22,Culvert,Passable,108847.2,1
2,22,Falls,Blocked,455041.93,0.1
2,22,Falls,Blocked,455041.93,0.1
2,23,Bridge,Unknown,370171,0.1
2,23,Bridge,Unknown,370171,0.1
2,25,Culvert,UnkAnad,108847.2,0.1
2,26,Culvert,UnkAnad,108847.2,0.1
2,26,Culvert,UnkAnad,108847.2,0.1
2,26,Culvert,UnkAnad,108847.2,0.1
2,26,Culvert,UnkAnad,108847.2,0.1
2,26,Culvert,UnkAnad,108847.2,0.1
2,26,Culvert,UnkAnad,108847.2,0.1
2,26,Bridge,Unknown,370171,0.1
2,26,Bridge,Unknown,370171,0.1
2,26,Bridge,Unknown,370171,0.1
2,26,Culvert,Unknown,108847.2,0.1
2,26,Culvert,Passable,108847.2,1
2,26,Culvert,Passable,108847.2,1
2,26,Culvert,Passable,108847.2,1
2,26,Culvert,Passable,108847.2,1
2,26,Culvert,Passable,108847.2,1
2,26,Culvert,Passable,108847.2,1
2,26,Culvert,Passable,108847.2,1
2,29,Dam,UnkAnad,487195.2,0.1
2,29,Falls,Blocked,455041.93,0.1
2,30,TideGate,UnkAnad,77617.39,0.5
2,31,Bridge,Unknown,370171,0.1
2,33,Culvert,Partial,108847.2,0.5
2,35,Bridge,Unknown,370171,0.1
2,36,Bridge,UnkAnad,370171,0.1
2,36,Culvert,UnkAnad,108847.2,0.1
2,36,Bridge,Unknown,370171,0.1
2,36,Bridge,Unknown,370171,0.1
2,36,Bridge,Unknown,370171,0.1
2,36,Bridge,Unknown,370171,0.1
2,36,Bridge,Unknown,370171,0.1
2,36,Bridge,Unknown,370171,0.1
2,37,Culvert,UnkAnad,108847.2,0.1
2,37,Culvert,UnkAnad,108847.2,0.1
2,38,Culvert,UnkAnad,108847.2,0.1
2,38,Culvert,Passable,108847.2,1
2,38,Culvert,Passable,108847.2,1
2,42,Bridge,Unknown,370171,0.1
2,42,Bridge,Unknown,370171,0.1
2,44,Culvert,UnkAnad,108847.2,0.1
2,44,Culvert,Passable,108847.2,1
2,45,WeirSill,Partial,0,0.5
2,45,WeirSill,Partial,0,0.5
2,45,Culvert,Passable,108847.2,1
2,45,Culvert,Passable,108847.2,1
2,45,Culvert,Blocked,108847.2,0.1
2,48,Bridge,Unknown,370171,0.1
2,48,CascadeGradientVelocity,Partial,455041.93,0.5
2,48,CascadeGradientVelocity,Partial,455041.93,0.5
2,49,Dam,Partial,487195.2,0.5
2,50,TideGate,UnkAnad,77617.39,0.5
2,51,Culvert,UnkAnad,108847.2,0.1
2,51,Culvert,UnkAnad,108847.2,0.1
2,51,Bridge,Unknown,370171,0.1
2,51,Culvert,Partial,108847.2,0.5
2,51,Dam,Partial,487195.2,0.5
2,56,Culvert,UnkAnad,108847.2,0.1
2,58,Culvert,UnkAnad,108847.2,0.1
2,58,Culvert,Unknown,108847.2,0.1
2,58,Culvert,Unknown,108847.2,0.1
2,58,Culvert,UnkAnad,108847.2,0.1
2,58,Culvert,Unknown,108847.2,0.1
2,58,Culvert,Unknown,108847.2,0.1
2,58,Culvert,Passable,108847.2,1
