StrmLev,stream_id,fpbFtrTy,fpbFPasSta,cost,pass_score
2,29,Culvert,Blocked,108847.2,0.1
1,36,Bridge,Unknown,370171,0.1
2,37,CascadeGradientVelocity,UnkAnad,455041.93,0.1
2,37,Bridge,Unknown,370171,0.1
2,37,Falls,Blocked,455041.93,0.1
2,38,Culvert,UnkAnad,108847.2,0.1
2,39,Bridge,Unknown,370171,0.1
2,39,Falls,Blocked,455041.93,0.1
2,39,Falls,Blocked,455041.93,0.1
2,39,Dam,Passable,487195.2,1
2,39,Dam,Passable,487195.2,1
2,44,CascadeGradientVelocity,Partial,455041.93,0.5
2,45,Culvert,UnkAnad,108847.2,0.1
2,46,Culvert,Blocked,108847.2,0.1
2,48,Dam,UnkAnad,487195.2,0.1
2,50,CascadeGradientVelocity,UnkAnad,455041.93,0.1
2,52,Culvert,Partial,108847.2,0.5
2,55,CascadeGradientVelocity,Unknown,455041.93,0.1
2,55,CascadeGradientVelocity,Partial,455041.93,0.5
2,57,Culvert,Partial,108847.2,0.5
2,65,Falls,UnkAnad,455041.93,0.5
2,65,CascadeGradientVelocity,UnkAnad,455041.93,0.1
2,67,Culvert,Blocked,108847.2,0.1
2,72,CascadeGradientVelocity,UnkAnad,455041.93,0.1
2,75,Culvert,Partial,108847.2,0.5
2,92,CascadeGradientVelocity,Unknown,455041.93,0.1
2,92,CascadeGradientVelocity,Unknown,455041.93,0.1
2,92,Falls,Blocked,455041.93,0.1
2,103,Culvert,Partial,108847.2,0.5
2,115,CascadeGradientVelocity,UnkAnad,455041.93,0.1
2,117,Culvert,Partial,108847.2,0.5
2,119,Culvert,Unknown,108847.2,0.1
2,122,Culvert,Partial,108847.2,0.5
3,255,Falls,Blocked,455041.93,0.1
3,286,Culvert,Blocked,108847.2,0.1
3,301,Dam,Passable,487195.2,1
3,350,Culvert,Partial,108847.2,0.5
3,485,CascadeGradientVelocity,Unknown,455041.93,0.1
3,673,Culvert,Blocked,108847.2,0.1
3,673,Culvert,Partial,108847.2,0.5
3,739,CascadeGradientVelocity,UnkAnad,455041.93,0.1
3,741,Falls,Blocked,455041.93,0.1
3,829,Culvert,UnkAnad,108847.2,0.1
3,858,Culvert,Partial,108847.2,0.5
3,858,Culvert,Partial,108847.2,0.5
3,926,CascadeGradientVelocity,UnkAnad,455041.93,0.1
3,982,CascadeGradientVelocity,UnkAnad,455041.93,0.1
4,1655,Culvert,Blocked,108847.2,0.1
4,2079,Culvert,Partial,108847.2,0.5
