stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
23,Culvert,Partial,108847.2,0.5,1.8022E-207
23,Culvert,Partial,108847.2,0.5,
23,Culvert,Partial,108847.2,0.5,
23,Culvert,Partial,108847.2,0.5,
24,Falls,UnkAnad,455041.93,0.5,
24,Falls,UnkAnad,455041.93,0.5,
49,Culvert,Partial,108847.2,0.5,
50,Culvert,Passable,108847.2,1,
61,Dam,Partial,487195.2,0.5,
63,Culvert,Partial,108847.2,0.5,
71,Culvert,Partial,108847.2,0.5,
86,Culvert,Passable,108847.2,1,
86,Culvert,Partial,108847.2,0.5,
92,Bridge,Passable,370171,1,
92,Culvert,Partial,108847.2,0.5,
92,Falls,Passable,455041.93,1,
92,Culvert,Partial,108847.2,0.5,
135,Culvert,Partial,108847.2,0.5,
136,Falls,Unknown,455041.93,0.5,
147,Culvert,Partial,108847.2,0.5,
161,Culvert,Passable,108847.2,1,
174,Culvert,Passable,108847.2,1,
174,Culvert,Partial,108847.2,0.5,
219,Culvert,Partial,108847.2,0.5,
220,Bridge,Passable,370171,1,
220,Falls,Unknown,455041.93,0.5,
258,Bridge,Passable,370171,1,
258,Bridge,Passable,370171,1,
258,Bridge,Passable,370171,1,
261,Culvert,Partial,108847.2,0.5,
274,Culvert,Partial,108847.2,0.5,
274,Culvert,Partial,108847.2,0.5,
283,Falls,Unknown,455041.93,0.5,
288,Culvert,Partial,108847.2,0.5,
298,Culvert,Partial,108847.2,0.5,
301,Bridge,Passable,370171,1,
301,Culvert,Partial,108847.2,0.5,
315,Culvert,Passable,108847.2,1,
320,Culvert,Passable,108847.2,1,
320,Culvert,Partial,108847.2,0.5,
370,Bridge,Passable,370171,1,
370,Bridge,Passable,370171,1,
370,Culvert,Partial,108847.2,0.5,
375,Bridge,Passable,370171,1,
375,Culvert,Partial,108847.2,0.5,
375,Culvert,Passable,108847.2,1,
378,Falls,UnkAnad,455041.93,0.5,
382,Culvert,Partial,108847.2,0.5,
394,Culvert,Partial,108847.2,0.5,
396,Culvert,Partial,108847.2,0.5,
