StrmLev,stream_id,fpbFtrTy,fpbFPasSta,cost,pass_score
1,1,Bridge,Passable,370171,1
1,1,Falls,Partial,455041.93,0.5
1,1,Falls,Blocked,455041.93,0.1
1,1,Bridge,Passable,370171,1
1,1,Bridge,Passable,370171,1
1,1,Bridge,Passable,370171,1
1,1,Bridge,Passable,370171,1
1,1,Dam,Partial,487195.2,0.5
1,1,Bridge,Passable,370171,1
1,1,Culvert,Partial,108847.2,0.5
1,1,Bridge,Passable,370171,1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
2,2,Culvert,Partial,108847.2,0.5
2,3,Culvert,Passable,108847.2,1
2,3,Culvert,Passable,108847.2,1
2,3,Culvert,Passable,108847.2,1
2,3,Culvert,Passable,108847.2,1
2,3,Culvert,UnkAnad,108847.2,0.1
2,3,Falls,UnkAnad,455041.93,0.5
2,4,Falls,Blocked,455041.93,0.1
2,4,Bridge,Passable,370171,1
2,4,Falls,Unknown,455041.93,0.5
2,6,Culvert,Partial,108847.2,0.5
2,6,Culvert,Passable,108847.2,1
2,6,Culvert,Passable,108847.2,1
2,6,Culvert,Passable,108847.2,1
2,6,Culvert,Passable,108847.2,1
2,6,Culvert,Passable,108847.2,1
2,6,Culvert,Passable,108847.2,1
2,6,Culvert,Blocked,108847.2,0.1
2,6,Culvert,Partial,108847.2,0.5
2,6,Culvert,Partial,108847.2,0.5
2,6,Dam,Partial,487195.2,0.5
2,6,Bridge,Passable,370171,1
2,6,Dam,Partial,487195.2,0.5
2,6,Culvert,Passable,108847.2,1
2,6,Culvert,Passable,108847.2,1
2,6,Bridge,Passable,370171,1
2,6,Bridge,Passable,370171,1
2,6,Bridge,Passable,370171,1
2,6,Culvert,Partial,108847.2,0.5
2,6,Culvert,Partial,108847.2,0.5
2,6,Culvert,Unknown,108847.2,0.1
2,6,Culvert,UnkAnad,108847.2,0.1
2,6,Culvert,UnkAnad,108847.2,0.1
2,6,Culvert,UnkAnad,108847.2,0.1
2,6,Culvert,UnkAnad,108847.2,0.1
2,6,Culvert,UnkAnad,108847.2,0.1
2,7,Bridge,Passable,370171,1
2,7,Dam,Blocked,487195.2,0.1
2,7,Culvert,Blocked,108847.2,0.1
2,7,Falls,UnkAnad,455041.93,0.5
2,7,Falls,Unknown,455041.93,0.5
2,7,Bridge,Unknown,370171,0.1
2,7,Bridge,Unknown,370171,0.1
2,7,Bridge,Unknown,370171,0.1
2,7,Bridge,Unknown,370171,0.1
2,7,Bridge,Unknown,370171,0.1
2,7,Bridge,Unknown,370171,0.1
2,7,Bridge,Unknown,370171,0.1
2,7,Bridge,Unknown,370171,0.1
2,7,Bridge,Unknown,370171,0.1
2,7,Bridge,Unknown,370171,0.1
2,7,Bridge,Unknown,370171,0.1
2,7,Bridge,Unknown,370171,0.1
2,8,Bridge,Passable,370171,1
2,8,Bridge,Passable,370171,1
2,8,Dam,Partial,487195.2,0.5
2,8,CascadeGradientVelocity,Partial,455041.93,0.5
2,8,Falls,UnkAnad,455041.93,0.5
2,8,Falls,UnkAnad,455041.93,0.5
2,8,Falls,UnkAnad,455041.93,0.5
2,9,Bridge,Passable,370171,1
2,9,Bridge,Passable,370171,1
2,9,Falls,UnkAnad,455041.93,0.5
2,13,Culvert,Partial,108847.2,0.5
2,13,Bridge,Passable,370171,1
2,13,Bridge,Passable,370171,1
2,13,Bridge,Passable,370171,1
2,13,Bridge,Passable,370171,1
2,13,Bridge,Passable,370171,1
2,13,Bridge,Passable,370171,1
2,13,Bridge,Passable,370171,1
2,13,Bridge,Passable,370171,1
2,13,Dam,Partial,487195.2,0.5
2,13,Bridge,Passable,370171,1
2,14,Culvert,Unknown,108847.2,0.1
2,14,Culvert,UnkAnad,108847.2,0.1
2,14,Bridge,Unknown,370171,0.1
2,16,Culvert,Blocked,108847.2,0.1
2,16,Culvert,Partial,108847.2,0.5
2,16,Culvert,Partial,108847.2,0.5
2,16,Bridge,Passable,370171,1
2,16,Culvert,Passable,108847.2,1
2,16,Culvert,Blocked,108847.2,0.1
2,16,Culvert,Passable,108847.2,1
2,16,Culvert,Passable,108847.2,1
2,17,Culvert,Blocked,108847.2,0.1
2,17,Bridge,Passable,370171,1
2,17,Bridge,Passable,370171,1
2,17,Culvert,Partial,108847.2,0.5
2,18,Culvert,Blocked,108847.2,0.1
2,18,Bridge,Passable,370171,1
2,18,Bridge,Passable,370171,1
2,18,Bridge,Passable,370171,1
2,18,Culvert,Passable,108847.2,1
2,18,Falls,Partial,455041.93,0.5
2,18,Bridge,Passable,370171,1
2,18,Bridge,Passable,370171,1
2,18,Bridge,Passable,370171,1
2,18,Falls,Blocked,455041.93,0.1
2,18,Falls,Blocked,455041.93,0.1
2,18,Dam,Partial,487195.2,0.5
2,18,Bridge,Passable,370171,1
2,18,Bridge,Passable,370171,1
2,18,Culvert,Blocked,108847.2,0.1
2,18,Bridge,Passable,370171,1
2,18,Bridge,Passable,370171,1
2,18,Bridge,Passable,370171,1
2,18,Culvert,UnkAnad,108847.2,0.1
2,18,Falls,UnkAnad,455041.93,0.5
2,18,CascadeGradientVelocity,UnkAnad,455041.93,0.1
2,18,Falls,UnkAnad,455041.93,0.5
2,18,Falls,UnkAnad,455041.93,0.5
2,18,Falls,Unknown,455041.93,0.5
2,18,Falls,Unknown,455041.93,0.5
2,18,Bridge,Unknown,370171,0.1
2,18,Bridge,Unknown,370171,0.1
2,20,Falls,Blocked,455041.93,0.1
2,20,Culvert,Blocked,108847.2,0.1
2,20,Culvert,Blocked,108847.2,0.1
2,20,Bridge,Passable,370171,1
2,20,Falls,UnkAnad,455041.93,0.5
2,21,Culvert,Partial,108847.2,0.5
2,23,Culvert,Blocked,108847.2,0.1
2,25,Culvert,Partial,108847.2,0.5
2,25,Culvert,Partial,108847.2,0.5
2,25,Culvert,Partial,108847.2,0.5
2,25,Bridge,Partial,370171,0.5
2,25,Culvert,Partial,108847.2,0.5
2,25,Culvert,Partial,108847.2,0.5
2,25,Culvert,Partial,108847.2,0.5
2,25,Dam,Partial,487195.2,0.5
2,27,Culvert,Partial,108847.2,0.5
2,30,Falls,Blocked,455041.93,0.1
2,30,Bridge,Passable,370171,1
2,30,Culvert,Blocked,108847.2,0.1
2,30,Bridge,Passable,370171,1
2,30,Bridge,Passable,370171,1
2,30,Bridge,Passable,370171,1
2,30,Bridge,Passable,370171,1
2,30,Culvert,Blocked,108847.2,0.1
2,31,Culvert,Partial,108847.2,0.5
2,31,Bridge,Passable,370171,1
2,31,Culvert,Blocked,108847.2,0.1
2,31,Bridge,Passable,370171,1
2,31,Bridge,Passable,370171,1
2,31,Bridge,Passable,370171,1
2,31,Culvert,Passable,108847.2,1
2,33,Culvert,Blocked,108847.2,0.1
2,33,Culvert,Passable,108847.2,1
2,33,Culvert,Partial,108847.2,0.5
2,33,Falls,Blocked,455041.93,0.1
2,33,Falls,Blocked,455041.93,0.1
2,33,Culvert,Blocked,108847.2,0.1
2,33,Culvert,Passable,108847.2,1
2,34,Culvert,Blocked,108847.2,0.1
2,35,Bridge,Passable,370171,1
2,35,Falls,UnkAnad,455041.93,0.5
2,35,Falls,UnkAnad,455041.93,0.5
2,37,Bridge,Passable,370171,1
2,37,Dam,Partial,487195.2,0.5
2,37,Dam,Partial,487195.2,0.5
2,37,CascadeGradientVelocity,Partial,455041.93,0.5
2,37,Dam,UnkAnad,487195.2,0.1
2,37,Dam,UnkAnad,487195.2,0.1
2,37,Falls,Unknown,455041.93,0.5
2,38,Culvert,Passable,108847.2,1
2,39,Bridge,Passable,370171,1
2,39,Culvert,Partial,108847.2,0.5
2,39,Culvert,Partial,108847.2,0.5
2,41,Culvert,Blocked,108847.2,0.1
2,41,Bridge,Passable,370171,1
2,41,Bridge,Passable,370171,1
2,41,Bridge,Passable,370171,1
2,41,Culvert,Partial,108847.2,0.5
2,41,Bridge,Passable,370171,1
2,41,Culvert,Partial,108847.2,0.5
2,41,Bridge,Unknown,370171,0.1
2,41,Bridge,Unknown,370171,0.1
2,43,Culvert,Blocked,108847.2,0.1
2,43,Culvert,Blocked,108847.2,0.1
2,43,Culvert,Blocked,108847.2,0.1
2,43,Culvert,Blocked,108847.2,0.1
2,43,Culvert,Partial,108847.2,0.5
2,43,Culvert,Unknown,108847.2,0.1
2,43,CascadeGradientVelocity,Unknown,455041.93,0.1
2,43,Falls,Unknown,455041.93,0.5
2,45,Culvert,Blocked,108847.2,0.1
2,45,Culvert,Blocked,108847.2,0.1
2,45,Bridge,Passable,370171,1
2,45,Bridge,Passable,370171,1
2,45,Bridge,Passable,370171,1
2,45,Bridge,Passable,370171,1
2,45,Bridge,Passable,370171,1
2,45,Bridge,Passable,370171,1
2,45,Bridge,Passable,370171,1
2,45,Bridge,Passable,370171,1
2,45,Bridge,Passable,370171,1
2,45,Culvert,Blocked,108847.2,0.1
2,45,Culvert,Passable,108847.2,1
