stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
58,Falls,UnkAnad,455041.93,0.5,3.25963E-08
94,Falls,UnkAnad,455041.93,0.5,
177,Culvert,Partial,108847.2,0.5,
281,Falls,UnkAnad,455041.93,0.5,
281,Falls,UnkAnad,455041.93,0.5,
281,Falls,UnkAnad,455041.93,0.5,
281,Falls,UnkAnad,455041.93,0.5,
281,Falls,UnkAnad,455041.93,0.5,
281,Falls,UnkAnad,455041.93,0.5,
281,Falls,Unknown,455041.93,0.5,
288,Falls,Unknown,455041.93,0.5,
292,Falls,UnkAnad,455041.93,0.5,
381,Falls,UnkAnad,455041.93,0.5,
397,Falls,UnkAnad,455041.93,0.5,
739,Culvert,Passable,108847.2,1,
1526,Falls,UnkAnad,455041.93,0.5,
1582,Falls,UnkAnad,455041.93,0.5,
1582,Falls,Unknown,455041.93,0.5,
1649,Falls,UnkAnad,455041.93,0.5,
1649,Falls,UnkAnad,455041.93,0.5,
1669,Falls,UnkAnad,455041.93,0.5,
1671,Falls,UnkAnad,455041.93,0.5,
2539,Dam,Partial,487195.2,0.5,
2539,Culvert,Partial,108847.2,0.5,
2539,Culvert,Partial,108847.2,0.5,
2539,Culvert,Partial,108847.2,0.5,
2539,Culvert,Passable,108847.2,1,
2539,Culvert,Passable,108847.2,1,
2539,Ford,UnkAnad,108847.2,0.5,
2676,Culvert,Partial,108847.2,0.5,
2676,Culvert,Passable,108847.2,1,
2676,Culvert,Passable,108847.2,1,
2710,Culvert,Partial,108847.2,0.5,
2710,Culvert,Partial,108847.2,0.5,
2725,Culvert,Partial,108847.2,0.5,
