stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
40,Culvert,Passable,108847.2,1,1.84889E-30
44,Culvert,Passable,108847.2,1,
81,Falls,Partial,455041.93,0.5,
81,Falls,Partial,455041.93,0.5,
81,Falls,Partial,455041.93,0.5,
89,Falls,UnkAnad,455041.93,0.5,
106,Culvert,Passable,108847.2,1,
121,Falls,Partial,455041.93,0.5,
126,Falls,Unknown,455041.93,0.5,
206,Culvert,Passable,108847.2,1,
211,Falls,Unknown,455041.93,0.5,
267,Falls,UnkAnad,455041.93,0.5,
281,Culvert,Passable,108847.2,1,
291,TideGate,UnkAnad,77617.39,0.5,
292,Culvert,Partial,108847.2,0.5,
312,Culvert,Passable,108847.2,1,
486,Dam,Partial,487195.2,0.5,
489,Falls,Unknown,455041.93,0.5,
529,Culvert,Partial,108847.2,0.5,
551,TideGate,UnkAnad,77617.39,0.5,
551,TideGate,UnkAnad,77617.39,0.5,
551,Culvert,Passable,108847.2,1,
607,Culvert,Passable,108847.2,1,
607,Culvert,Passable,108847.2,1,
622,Falls,Unknown,455041.93,0.5,
636,Culvert,Partial,108847.2,0.5,
654,Culvert,Partial,108847.2,0.5,
694,Culvert,Partial,108847.2,0.5,
739,Culvert,Partial,108847.2,0.5,
906,Culvert,Passable,108847.2,1,
936,Culvert,Passable,108847.2,1,
1026,Falls,UnkAnad,455041.93,0.5,
1035,Culvert,Partial,108847.2,0.5,
1076,Culvert,Passable,108847.2,1,
1116,Culvert,Passable,108847.2,1,
1127,Falls,Unknown,455041.93,0.5,
1127,Falls,Unknown,455041.93,0.5,
1127,Falls,Unknown,455041.93,0.5,
1127,Falls,Unknown,455041.93,0.5,
1131,Culvert,Partial,108847.2,0.5,
1131,Culvert,Partial,108847.2,0.5,
1139,Culvert,Passable,108847.2,1,
1147,TideGate,UnkAnad,77617.39,0.5,
1164,Culvert,Partial,108847.2,0.5,
1231,Falls,UnkAnad,455041.93,0.5,
1234,Culvert,Partial,108847.2,0.5,
1260,Culvert,Passable,108847.2,1,
1261,TideGate,UnkAnad,77617.39,0.5,
1308,Falls,Unknown,455041.93,0.5,
1308,Falls,UnkAnad,455041.93,0.5,
1308,CascadeGradientVelocity,Partial,455041.93,0.5,
1335,Culvert,Passable,108847.2,1,
1399,Culvert,Partial,108847.2,0.5,
1524,Culvert,Partial,108847.2,0.5,
1531,WeirSill,Partial,190097.21,0.5,
1589,Culvert,Passable,108847.2,1,
1592,TideGate,UnkAnad,77617.39,0.5,
1839,Culvert,Partial,108847.2,0.5,
1842,Culvert,Partial,108847.2,0.5,
1848,Culvert,Partial,108847.2,0.5,
1862,Culvert,Partial,108847.2,0.5,
1962,Culvert,Passable,108847.2,1,
2185,Falls,Unknown,455041.93,0.5,
2238,TideGate,UnkAnad,77617.39,0.5,
2293,Falls,UnkAnad,455041.93,0.5,
2293,Dam,Partial,487195.2,0.5,
2293,Falls,Partial,455041.93,0.5,
2397,Culvert,Passable,108847.2,1,
2400,Falls,Unknown,455041.93,0.5,
2400,Falls,Unknown,455041.93,0.5,
2432,Culvert,Passable,108847.2,1,
2432,Culvert,Passable,108847.2,1,
2571,Culvert,Passable,108847.2,1,
3034,Culvert,Partial,108847.2,0.5,
3160,Falls,Unknown,455041.93,0.5,
3392,Falls,UnkAnad,455041.93,0.5,
3418,Culvert,Partial,108847.2,0.5,
3564,Culvert,Partial,108847.2,0.5,
3564,Culvert,Passable,108847.2,1,
3568,Culvert,Partial,108847.2,0.5,
3812,Falls,Unknown,455041.93,0.5,
4060,Culvert,Partial,108847.2,0.5,
4060,Culvert,Partial,108847.2,0.5,
4060,Culvert,Partial,108847.2,0.5,
4080,Culvert,Partial,108847.2,0.5,
4107,Culvert,Partial,108847.2,0.5,
4121,TideGate,UnkAnad,77617.39,0.5,
4243,Culvert,Passable,108847.2,1,
4351,Culvert,Partial,108847.2,0.5,
4570,Culvert,Partial,108847.2,0.5,
4618,Culvert,Partial,108847.2,0.5,
4646,Culvert,Partial,108847.2,0.5,
4808,Falls,Partial,455041.93,0.5,
4830,TideGate,UnkAnad,77617.39,0.5,
4830,TideGate,UnkAnad,77617.39,0.5,
4830,TideGate,UnkAnad,77617.39,0.5,
4904,Culvert,Partial,108847.2,0.5,
4904,Culvert,Passable,108847.2,1,
5416,Culvert,Passable,108847.2,1,
5416,Culvert,Passable,108847.2,1,
5416,Culvert,Passable,108847.2,1,
5416,TideGate,Partial,77617.39,0.5,
5527,Culvert,Passable,108847.2,1,
5567,Culvert,Passable,108847.2,1,
5763,Culvert,Passable,108847.2,1,
5763,Culvert,Passable,108847.2,1,
5982,Culvert,Passable,108847.2,1,
6062,Falls,UnkAnad,455041.93,0.5,
6063,Falls,Unknown,455041.93,0.5,
6083,Culvert,Partial,108847.2,0.5,
6119,TideGate,UnkAnad,77617.39,0.5,
6173,Culvert,Partial,108847.2,0.5,
6286,TideGate,UnkAnad,77617.39,0.5,
6291,Culvert,Partial,108847.2,0.5,
6348,Culvert,Passable,108847.2,1,
6563,Falls,Unknown,455041.93,0.5,
6836,Falls,UnkAnad,455041.93,0.5,
7140,Falls,Unknown,455041.93,0.5,
7245,Falls,Unknown,455041.93,0.5,
7250,Culvert,Passable,108847.2,1,
8273,Culvert,Partial,108847.2,0.5,
8273,Culvert,Partial,108847.2,0.5,
8714,Culvert,Passable,108847.2,1,
8892,Falls,Unknown,455041.93,0.5,
8892,Falls,Unknown,455041.93,0.5,
9033,Falls,UnkAnad,455041.93,0.5,
9059,Culvert,Passable,108847.2,1,
9340,Falls,Unknown,455041.93,0.5,
9370,Culvert,Partial,108847.2,0.5,
9742,WeirSill,Partial,190097.21,0.5,
10459,Culvert,Partial,108847.2,0.5,
11141,Falls,Unknown,455041.93,0.5,
11217,Culvert,Passable,108847.2,1,
11734,Culvert,Passable,108847.2,1,
12858,Falls,Partial,455041.93,0.5,
13228,Falls,UnkAnad,455041.93,0.5,
13989,Falls,Unknown,455041.93,0.5,
14166,Falls,UnkAnad,455041.93,0.5,
14298,Culvert,Partial,108847.2,0.5,
14718,Culvert,Passable,108847.2,1,
16354,Culvert,Passable,108847.2,1,
16483,Falls,Unknown,455041.93,0.5,
