StrmLev,stream_id,fpbFtrTy,fpbFPasSta,cost,pass_score
1,1,Culvert,Unknown,108847.2,0.1
1,1,Culvert,UnkAnad,108847.2,0.1
1,1,Falls,UnkAnad,455041.93,0.5
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Bridge,Unknown,370171,0.1
1,1,Dam,Blocked,487195.2,0.1
1,1,Falls,Partial,455041.93,0.5
1,1,Falls,Partial,455041.93,0.5
1,1,Falls,Partial,455041.93,0.5
2,2,Bridge,Unknown,370171,0.1
2,2,Culvert,Passable,108847.2,1
2,2,Culvert,Partial,108847.2,0.5
2,4,Falls,UnkAnad,455041.93,0.5
2,4,Falls,Partial,455041.93,0.5
2,5,Bridge,Unknown,370171,0.1
2,5,Bridge,Unknown,370171,0.1
2,5,Bridge,Unknown,370171,0.1
2,5,TideGate,UnkAnad,77617.39,0.5
2,5,Culvert,Unknown,108847.2,0.1
2,5,Culvert,Partial,108847.2,0.5
2,6,TideGate,UnkAnad,77617.39,0.5
2,8,Culvert,UnkAnad,108847.2,0.1
2,8,Culvert,Unknown,108847.2,0.1
2,8,Bridge,Unknown,370171,0.1
2,8,Bridge,Unknown,370171,0.1
2,8,Bridge,Unknown,370171,0.1
2,8,Bridge,Unknown,370171,0.1
2,8,Bridge,Unknown,370171,0.1
2,8,Bridge,Unknown,370171,0.1
2,8,Bridge,Unknown,370171,0.1
2,8,Bridge,Unknown,370171,0.1
2,8,Bridge,Unknown,370171,0.1
2,8,Bridge,Unknown,370171,0.1
2,8,Bridge,Unknown,370171,0.1
2,8,Bridge,Unknown,370171,0.1
2,10,Falls,UnkAnad,455041.93,0.5
2,10,Bridge,Unknown,370171,0.1
2,10,Bridge,Unknown,370171,0.1
2,10,Bridge,Unknown,370171,0.1
2,10,Culvert,Partial,108847.2,0.5
2,11,Culvert,Blocked,108847.2,0.1
2,15,Culvert,Unknown,108847.2,0.1
2,18,Culvert,Unknown,108847.2,0.1
2,24,Falls,Unknown,455041.93,0.5
2,24,Falls,Unknown,455041.93,0.5
2,24,Falls,Blocked,455041.93,0.1
2,24,Falls,Blocked,455041.93,0.1
2,24,Falls,Blocked,455041.93,0.1
2,24,Falls,Blocked,455041.93,0.1
2,28,Culvert,UnkAnad,108847.2,0.1
2,28,Bridge,Unknown,370171,0.1
2,28,Bridge,Unknown,370171,0.1
2,28,Bridge,Unknown,370171,0.1
2,28,Bridge,Unknown,370171,0.1
2,28,Bridge,Unknown,370171,0.1
2,28,TideGate,UnkAnad,77617.39,0.5
2,28,Culvert,UnkAnad,108847.2,0.1
2,28,Culvert,Passable,108847.2,1
2,28,Culvert,Partial,108847.2,0.5
2,29,Bridge,Unknown,370171,0.1
2,29,TideGate,UnkAnad,77617.39,0.5
2,30,Culvert,Unknown,108847.2,0.1
2,30,Culvert,Blocked,108847.2,0.1
2,36,Bridge,Unknown,370171,0.1
2,41,Bridge,Unknown,370171,0.1
2,41,Bridge,Unknown,370171,0.1
2,41,Bridge,Unknown,370171,0.1
2,45,Culvert,UnkAnad,108847.2,0.1
2,79,TideGate,UnkAnad,77617.39,0.5
2,79,TideGate,UnkAnad,77617.39,0.5
2,108,Culvert,Blocked,108847.2,0.1
2,110,Culvert,Unknown,108847.2,0.1
2,114,Culvert,Unknown,108847.2,0.1
2,116,Culvert,Partial,108847.2,0.5
2,117,Culvert,Unknown,108847.2,0.1
2,124,Culvert,Unknown,108847.2,0.1
2,145,Culvert,UnkAnad,108847.2,0.1
2,150,Culvert,UnkAnad,108847.2,0.1
2,150,Culvert,UnkAnad,108847.2,0.1
2,160,Culvert,Passable,108847.2,1
2,169,Culvert,Unknown,108847.2,0.1
2,204,Culvert,Blocked,108847.2,0.1
2,209,Culvert,UnkAnad,108847.2,0.1
2,209,Culvert,Passable,108847.2,1
2,237,Falls,Partial,455041.93,0.5
2,243,Culvert,Unknown,108847.2,0.1
2,252,Culvert,UnkAnad,108847.2,0.1
2,254,Culvert,Unknown,108847.2,0.1
2,268,TideGate,UnkAnad,77617.39,0.5
2,295,Culvert,Blocked,108847.2,0.1
2,309,Falls,Partial,455041.93,0.5
2,311,Culvert,Unknown,108847.2,0.1
2,313,Culvert,Unknown,108847.2,0.1
3,323,Falls,UnkAnad,455041.93,0.5
3,323,Dam,Partial,487195.2,0.5
3,324,Falls,Unknown,455041.93,0.5
3,329,Bridge,Unknown,370171,0.1
3,329,Bridge,Unknown,370171,0.1
3,330,Bridge,Unknown,370171,0.1
3,331,Culvert,Passable,108847.2,1
3,336,Culvert,Unknown,108847.2,0.1
3,336,Culvert,Unknown,108847.2,0.1
