stream_ID,fpbFtrTy,fpbFPasSta,cost,pass_score,beta_pass
62,Culvert,Partial,108847.2,0.5,4.2067E-17
197,Culvert,Partial,108847.2,0.5,
197,Culvert,Partial,108847.2,0.5,
266,Culvert,Partial,108847.2,0.5,
266,Culvert,Partial,108847.2,0.5,
415,Culvert,Partial,108847.2,0.5,
415,Culvert,Partial,108847.2,0.5,
416,Culvert,Partial,108847.2,0.5,
416,Culvert,Partial,108847.2,0.5,
441,Culvert,Passable,108847.2,1,
502,Culvert,Passable,108847.2,1,
503,Culvert,Passable,108847.2,1,
517,Culvert,Passable,108847.2,1,
573,Culvert,Partial,108847.2,0.5,
956,Falls,UnkAnad,455041.93,0.5,
1007,Falls,UnkAnad,455041.93,0.5,
1022,Culvert,Partial,108847.2,0.5,
1135,Culvert,Partial,108847.2,0.5,
1146,Culvert,Partial,108847.2,0.5,
1184,Culvert,Partial,108847.2,0.5,
1244,Culvert,Partial,108847.2,0.5,
1274,Culvert,Partial,108847.2,0.5,
1592,Culvert,Partial,108847.2,0.5,
1643,Culvert,Partial,108847.2,0.5,
1653,Culvert,Partial,108847.2,0.5,
1738,Culvert,Passable,108847.2,1,
1870,Culvert,Passable,108847.2,1,
1953,Falls,UnkAnad,455041.93,0.5,
1963,Falls,UnkAnad,455041.93,0.5,
2082,Falls,Partial,455041.93,0.5,
2179,Falls,UnkAnad,455041.93,0.5,
2179,Culvert,Partial,108847.2,0.5,
2188,Culvert,Partial,108847.2,0.5,
2236,Culvert,Passable,108847.2,1,
2253,Culvert,Passable,108847.2,1,
2448,Culvert,Passable,108847.2,1,
2469,Culvert,Passable,108847.2,1,
2508,Culvert,Passable,108847.2,1,
2551,Culvert,Partial,108847.2,0.5,
2552,Falls,UnkAnad,455041.93,0.5,
2596,Culvert,Passable,108847.2,1,
2788,Falls,UnkAnad,455041.93,0.5,
2789,Culvert,Partial,108847.2,0.5,
2837,Culvert,Passable,108847.2,1,
2992,Culvert,Passable,108847.2,1,
3031,Culvert,Passable,108847.2,1,
3036,Culvert,Passable,108847.2,1,
3138,Culvert,Passable,108847.2,1,
3153,Culvert,Partial,108847.2,0.5,
3351,Culvert,Passable,108847.2,1,
3352,Culvert,Passable,108847.2,1,
3523,Falls,Unknown,455041.93,0.5,
3550,Culvert,Passable,108847.2,1,
3589,Culvert,Partial,108847.2,0.5,
3610,Ford,UnkAnad,108847.2,0.5,
3610,Ford,UnkAnad,108847.2,0.5,
3610,Culvert,Passable,108847.2,1,
3673,Culvert,Partial,108847.2,0.5,
3677,Falls,Partial,455041.93,0.5,
3677,Culvert,Partial,108847.2,0.5,
3677,Culvert,Partial,108847.2,0.5,
3698,Culvert,Partial,108847.2,0.5,
3743,Falls,UnkAnad,455041.93,0.5,
3830,TideGate,UnkAnad,77617.39,0.5,
3846,WeirSill,Partial,190097.21,0.5,
3939,WeirSill,Partial,190097.21,0.5,
3950,Falls,Unknown,455041.93,0.5,
3950,Falls,Unknown,455041.93,0.5,
3956,Falls,Unknown,455041.93,0.5,
4105,Culvert,Passable,108847.2,1,
4106,Culvert,Passable,108847.2,1,
4106,Culvert,Passable,108847.2,1,
4106,Culvert,Passable,108847.2,1,
4123,Culvert,Passable,108847.2,1,
4161,Culvert,Partial,108847.2,0.5,
4177,Culvert,Partial,108847.2,0.5,
4177,Culvert,Partial,108847.2,0.5,
4177,Culvert,Partial,108847.2,0.5,
4177,Culvert,Partial,108847.2,0.5,
4177,Culvert,Partial,108847.2,0.5,
4181,Culvert,Partial,108847.2,0.5,
4204,TideGate,UnkAnad,77617.39,0.5,
4298,Culvert,Partial,108847.2,0.5,
4298,Culvert,Partial,108847.2,0.5,
4303,Culvert,Partial,108847.2,0.5,
4344,Bridge,Passable,370171,1,
4354,Culvert,Passable,108847.2,1,
4372,Bridge,Passable,370171,1,
4372,Bridge,Passable,370171,1,
4373,Bridge,Passable,370171,1,
4492,Culvert,Partial,108847.2,0.5,
4511,Bridge,Passable,370171,1,
4512,Bridge,Passable,370171,1,
4535,Bridge,Passable,370171,1,
4536,Bridge,Passable,370171,1,
4608,TideGate,Partial,77617.39,0.5,
4866,Culvert,Passable,108847.2,1,
,,,,,
