StrmLev,stream_id,fpbFtrTy,fpbFPasSta,cost,pass_score
2,6,Culvert,Blocked,108847.2,0.1
1,27,Culvert,UnkAnad,108847.2,0.1
1,27,Culvert,UnkAnad,108847.2,0.1
1,27,Bridge,Unknown,370171,0.1
1,27,Bridge,Unknown,370171,0.1
1,27,Bridge,Unknown,370171,0.1
1,27,Bridge,Unknown,370171,0.1
1,27,Bridge,Unknown,370171,0.1
1,27,Bridge,Unknown,370171,0.1
1,27,Bridge,Unknown,370171,0.1
1,27,Culvert,Unknown,108847.2,0.1
1,27,Falls,Blocked,455041.93,0.1
1,27,Falls,Blocked,455041.93,0.1
1,27,Falls,Partial,455041.93,0.5
2,29,Bridge,Unknown,370171,0.1
2,29,Bridge,Unknown,370171,0.1
2,29,Bridge,Unknown,370171,0.1
2,29,Bridge,Unknown,370171,0.1
2,29,Bridge,Unknown,370171,0.1
2,29,Culvert,Unknown,108847.2,0.1
2,34,Bridge,UnkAnad,370171,0.1
2,34,TideGate,UnkAnad,77617.39,0.5
2,34,Culvert,Passable,108847.2,1
2,34,Culvert,Passable,108847.2,1
2,34,Culvert,Passable,108847.2,1
2,35,TideGate,Partial,77617.39,0.5
2,36,Culvert,UnkAnad,108847.2,0.1
2,37,Culvert,Passable,108847.2,1
2,37,TideGate,Partial,77617.39,0.5
2,39,Culvert,UnkAnad,108847.2,0.1
2,43,Culvert,UnkAnad,108847.2,0.1
2,43,Bridge,Unknown,370171,0.1
2,43,Bridge,Unknown,370171,0.1
2,43,Bridge,Unknown,370171,0.1
2,43,Bridge,Unknown,370171,0.1
2,43,TideGate,UnkAnad,77617.39,0.5
2,43,Culvert,UnkAnad,108847.2,0.1
2,43,Culvert,UnkAnad,108847.2,0.1
2,43,Culvert,UnkAnad,108847.2,0.1
2,44,Culvert,UnkAnad,108847.2,0.1
2,44,Bridge,Unknown,370171,0.1
2,46,Dam,UnkAnad,487195.2,0.1
2,46,Dam,UnkAnad,487195.2,0.1
2,46,Bridge,Unknown,370171,0.1
2,46,Bridge,Unknown,370171,0.1
2,46,WeirSill,Partial,0,0.5
2,48,Culvert,UnkAnad,108847.2,0.1
2,48,Culvert,Passable,108847.2,1
2,48,Culvert,Blocked,108847.2,0.1
2,50,Falls,UnkAnad,455041.93,0.5
2,50,Bridge,Unknown,370171,0.1
2,50,Bridge,Unknown,370171,0.1
2,50,Bridge,Unknown,370171,0.1
2,50,Bridge,Unknown,370171,0.1
2,50,Bridge,Unknown,370171,0.1
2,50,Bridge,Unknown,370171,0.1
2,50,Bridge,Unknown,370171,0.1
2,50,Bridge,Unknown,370171,0.1
2,50,Bridge,Unknown,370171,0.1
2,50,Bridge,Unknown,370171,0.1
2,50,Bridge,Unknown,370171,0.1
2,50,Culvert,Passable,108847.2,1
2,51,Culvert,UnkAnad,108847.2,0.1
2,54,Culvert,UnkAnad,108847.2,0.1
2,54,Culvert,UnkAnad,108847.2,0.1
2,54,Culvert,Unknown,108847.2,0.1
2,54,Falls,UnkAnad,455041.93,0.5
2,54,Culvert,Partial,108847.2,0.5
2,54,Falls,Blocked,455041.93,0.1
2,60,Culvert,Partial,108847.2,0.5
2,62,Culvert,UnkAnad,108847.2,0.1
2,62,Culvert,UnkAnad,108847.2,0.1
2,67,Culvert,Passable,108847.2,1
2,67,Culvert,Passable,108847.2,1
2,69,Culvert,Passable,108847.2,1
2,73,Culvert,UnkAnad,108847.2,0.1
2,73,Bridge,Unknown,370171,0.1
2,76,Culvert,UnkAnad,108847.2,0.1
2,76,Culvert,UnkAnad,108847.2,0.1
2,76,Culvert,Unknown,108847.2,0.1
2,76,Culvert,UnkAnad,108847.2,0.1
2,76,Culvert,UnkAnad,108847.2,0.1
2,76,Culvert,UnkAnad,108847.2,0.1
2,76,Culvert,UnkAnad,108847.2,0.1
2,76,Culvert,Unknown,108847.2,0.1
2,76,Culvert,Partial,108847.2,0.5
2,81,Falls,UnkAnad,455041.93,0.5
2,81,CascadeGradientVelocity,Unknown,455041.93,0.1
2,81,Culvert,Partial,108847.2,0.5
2,81,Culvert,Partial,108847.2,0.5
2,97,Bridge,Unknown,370171,0.1
2,104,Culvert,Passable,108847.2,1
2,105,Culvert,UnkAnad,108847.2,0.1
