"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
197428.018,186948.641,2285298363005057536,1955390171069516800
292560.602,186948.641,3644022357891226624,1955390171069516800
187329.482,186948.641,1963385821749117440,1955390171069516800
430191.318,186948.641,3851211417165439488,1955390171069516800
207726.497,186948.641,2210167431410068224,1955390171069516800
406174.359,186948.641,3240667390082021888,1955390171069516800
190493.245,186948.641,1987932407289598976,1955390171069516800
1141490.666,186948.641,33513530144282279936,1955390171069516800
253454.507,186948.641,2314317037027611136,1955390171069516800
207461.075,186948.641,2419803552458142720,1955390171069516800
1405921.417,186948.641,38702741311043215360,1955390171069516800
433391.65,186948.641,3618728362554148864,1955390171069516800
189998.658,186948.641,1999452742998604288,1955390171069516800
550870.668,186948.641,10142265293065762816,1955390171069516800
486212.107,186948.641,9366955440763957248,1955390171069516800
417998.998,186948.641,3457899935360406016,1955390171069516800
476223.962,186948.641,9173598779679481856,1955390171069516800
486414.258,186948.641,9366870378705913856,1955390171069516800
263595.33,186948.641,2407130345247677952,1955390171069516800
1167354.139,186948.641,34788005118418423808,1955390171069516800
477953.216,186948.641,9259637531820152832,1955390171069516800
1141455.63,186948.641,33523039062626467840,1955390171069516800
1241559.079,186948.641,39577844185698484224,1955390171069516800
1174861.073,186948.641,33807723288687812608,1955390171069516800
429071.504,186948.641,3618828346149949440,1955390171069516800
187034.686,186948.641,1956731613926792704,1955390171069516800
489165.92,186948.641,4135366653740749312,1955390171069516800
197413.677,186948.641,2044661965648904704,1955390171069516800
188249.643,186948.641,1974828382723084032,1955390171069516800
418023.295,186948.641,3477838872146113024,1955390171069516800
263786.618,186948.641,2410861663472488448,1955390171069516800
188629.748,186948.641,1976521159073865216,1955390171069516800
262240.399,186948.641,2498684534621064704,1955390171069516800
1234857.886,186948.641,37414719920243671040,1955390171069516800
353496.995,186948.641,2852365964898914304,1955390171069516800
1231138.685,186948.641,36002282399200223232,1955390171069516800
187294.112,186948.641,1959554639179142400,1955390171069516800
1188588.408,186948.641,36301230207859724288,1955390171069516800
311180.016,186948.641,3944064550412518400,1955390171069516800
427067.765,186948.641,3651851108164705280,1955390171069516800
471778.033,186948.641,6367347419118274560,1955390171069516800
427473.045,186948.641,3570849771547721216,1955390171069516800
212553.585,186948.641,2701289280506489856,1955390171069516800
1370398.79,186948.641,37945084635858526208,1955390171069516800
197384.201,186948.641,2.128844812703e+18,1955390171069516800
436368.627,186948.641,3735870799891073536,1955390171069516800
352855.853,186948.641,6616095449976483840,1955390171069516800
657758.791,186948.641,10395703861953730560,1955390171069516800
511759.618,186948.641,9584951234526822400,1955390171069516800
273484.072,186948.641,2810853082619407872,1955390171069516800
262718.077,186948.641,2607178050040486912,1955390171069516800
187087.604,186948.641,1958021229835276800,1955390171069516800
252398.297,186948.641,2295243913763231488,1955390171069516800
398179.424,186948.641,3179249234072064000,1955390171069516800
271494.545,186948.641,2540900239273756672,1955390171069516800
423216.24,186948.641,3505269608482402304,1955390171069516800
187265.762,186948.641,1962412149664428800,1955390171069516800
286423.457,186948.641,3379390324717302784,1955390171069516800
1205470.162,186948.641,34651088733209620480,1955390171069516800
419068.906,186948.641,3485203749837488640,1955390171069516800
269826.697,186948.641,4312815566874571776,1955390171069516800
425121.155,186948.641,3550763507210458112,1955390171069516800
291066.02,186948.641,3608403295501154304,1955390171069516800
224014.633,186948.641,2167485832860438016,1955390171069516800
417587.826,186948.641,3461887775735680000,1955390171069516800
1237364.676,186948.641,3.9318037539676e+19,1955390171069516800
437861.208,186948.641,3651971718901391360,1955390171069516800
1188734.177,186948.641,36304200299082391552,1955390171069516800
197610.533,186948.641,2049107528170339584,1955390171069516800
1374659.11,186948.641,3.8204703155648e+19,1955390171069516800
