"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
252935.294,186948.641,2295224690685465088,1955390175080248320
433963.001,186948.641,3863167699613863424,1955390175080248320
705185.39,186948.641,8834297683108909056,1955390175080248320
204125.524,186948.641,2307876058954891776,1955390175080248320
468811.535,186948.641,6353056158935743488,1955390175080248320
419820.328,186948.641,3504106137392297984,1955390175080248320
196424.384,186948.641,2102471470336988672,1955390175080248320
262133.446,186948.641,2461413059439122432,1955390175080248320
189861.741,186948.641,2011911500309457664,1955390175080248320
544683.061,186948.641,19130740095005106176,1955390175080248320
212600.729,186948.641,2714089782373818368,1955390175080248320
542440.45,186948.641,1.8913320049916e+19,1955390175080248320
230462.878,186948.641,2927860987291879424,1955390175080248320
1142997.311,186948.641,33599269035773206528,1955390175080248320
187370.231,186948.641,1960043422296580864,1955390175080248320
189250.781,186948.641,1990812524091182336,1955390175080248320
191669.938,186948.641,2047693611104908288,1955390175080248320
430075.867,186948.641,3630460010056182272,1955390175080248320
292661.897,186948.641,3634618866239935488,1955390175080248320
508545.724,186948.641,8918860591701499904,1955390175080248320
219493.026,186948.641,2938308109513686528,1955390175080248320
453129.798,186948.641,4038549241939720704,1955390175080248320
367201.169,186948.641,5679825277046341632,1955390175080248320
438586.644,186948.641,7776997253422887936,1955390175080248320
197863.3,186948.641,2049484626673508864,1955390175080248320
428148.955,186948.641,7605388104526247936,1955390175080248320
417129.299,186948.641,3452074667766747648,1955390175080248320
445766.427,186948.641,3730621769578293248,1955390175080248320
470157.304,186948.641,4725390526616409088,1955390175080248320
190366.213,186948.641,2020538357797950720,1955390175080248320
205812.973,186948.641,2340637191455989760,1955390175080248320
197390.042,186948.641,2123097677568838912,1955390175080248320
246057.335,186948.641,3535374607979407872,1955390175080248320
262911.285,186948.641,2394592480118496256,1955390175080248320
434785.056,186948.641,3876161592371860992,1955390175080248320
334380.523,186948.641,6501834247552498688,1955390175080248320
1377071.714,186948.641,38086702902235774976,1955390175080248320
788772.842,186948.641,2.2520438997455e+19,1955390175080248320
187147.027,186948.641,1956500055887808512,1955390175080248320
188321.401,186948.641,1972571164730728448,1955390175080248320
188029.192,186948.641,1976352818244854016,1955390175080248320
188552.337,186948.641,1977478681416793344,1955390175080248320
459019.416,186948.641,4562007322884366848,1955390175080248320
655437.647,186948.641,15786267780260546560,1955390175080248320
199032.409,186948.641,2277526199340650752,1955390175080248320
204134.915,186948.641,2307929881076704256,1955390175080248320
199663.588,186948.641,2293755129370705408,1955390175080248320
461885.115,186948.641,3802098131229574144,1955390175080248320
190886.601,186948.641,2039335194500817408,1955390175080248320
204046.037,186948.641,2306674026214035968,1955390175080248320
254333.758,186948.641,2333770981263887872,1955390175080248320
1187124.746,186948.641,36226443551142621184,1955390175080248320
189521.853,186948.641,1971580640469400064,1955390175080248320
269481.444,186948.641,2662468509492587520,1955390175080248320
302629.342,186948.641,5230301168603363328,1955390175080248320
230741.795,186948.641,2928655773791410688,1955390175080248320
469686.987,186948.641,6379571945443644416,1955390175080248320
262198.144,186948.641,2379980851846442496,1955390175080248320
188669.124,186948.641,1996318661894637056,1955390175080248320
1168688.429,186948.641,35351124440671621120,1955390175080248320
1467105.329,186948.641,44088196946114658304,1955390175080248320
279820.424,186948.641,2992034689678816256,1955390175080248320
212802.626,186948.641,2016989500451982336,1955390175080248320
197654.977,186948.641,2117264863602135040,1955390175080248320
435030.835,186948.641,3602782715922562048,1955390175080248320
468229.853,186948.641,6336889477582194688,1955390175080248320
311191.464,186948.641,3685223432964626432,1955390175080248320
187546.428,186948.641,1956878309738625024,1955390175080248320
199606.807,186948.641,2293467059632829952,1955390175080248320
469301.602,186948.641,6383030408496088064,1955390175080248320
420010.75,186948.641,3518512224522195456,1955390175080248320
187752.737,186948.641,1967581070222728960,1955390175080248320
434131.543,186948.641,3868555350338669568,1955390175080248320
187898.146,186948.641,1963947653498146560,1955390175080248320
289775.536,186948.641,2494082596880811008,1955390175080248320
427630.443,186948.641,3.575278231785e+18,1955390175080248320
1257425.88,186948.641,39901406614877691904,1955390175080248320
435763.566,186948.641,3907619781637696512,1955390175080248320
238428.691,186948.641,3079671283311539200,1955390175080248320
188163.305,186948.641,1978917803028546560,1955390175080248320
229896.533,186948.641,2925715874455883776,1955390175080248320
253729.476,186948.641,2323025899946847744,1955390175080248320
187045.466,186948.641,1957851888042445056,1955390175080248320
263687.458,186948.641,2419361268402488832,1955390175080248320
204851.075,186948.641,2313647565594896384,1955390175080248320
233349.442,186948.641,2461820311017052672,1955390175080248320
1145644.206,186948.641,33766001090681438208,1955390175080248320
205149.278,186948.641,2321004515580441600,1955390175080248320
215278.657,186948.641,2413924063058675712,1955390175080248320
253087.604,186948.641,2299294555677898752,1955390175080248320
198272.894,186948.641,2062220170137979904,1955390175080248320
187635.887,186948.641,1959220552020014080,1955390175080248320
205689.703,186948.641,2329571731466032128,1955390175080248320
616743.024,186948.641,1.9818837875929e+19,1955390175080248320
262807.284,186948.641,2393666301390661120,1955390175080248320
429151.778,186948.641,3618437585718666752,1955390175080248320
1252629.052,186948.641,37476023225322708992,1955390175080248320
1223032.924,186948.641,35497324303635816448,1955390175080248320
1187224.279,186948.641,36235636253304803328,1955390175080248320
189812.124,186948.641,1980614265960140544,1955390175080248320
302643.197,186948.641,5230377985042684928,1955390175080248320
252565.11,186948.641,2288084706827988736,1955390175080248320
303330.823,186948.641,5270440770097296384,1955390175080248320
205517.935,186948.641,2340221127373391872,1955390175080248320
253148.082,186948.641,2308152919532990976,1955390175080248320
418648.523,186948.641,3486716678459421696,1955390175080248320
419565.955,186948.641,3494062966760715776,1955390175080248320
1251902.557,186948.641,37434934049713528832,1955390175080248320
188475.014,186948.641,1963051748959578624,1955390175080248320
211012.016,186948.641,2013298756043704320,1955390175080248320
230271.413,186948.641,2910327916715260416,1955390175080248320
211414.071,186948.641,2025369210650750208,1955390175080248320
662283.624,186948.641,10424515116788291584,1955390175080248320
197713.339,186948.641,2050586505664286720,1955390175080248320
533658.461,186948.641,6927130783605574656,1955390175080248320
204734.808,186948.641,2322108955822599168,1955390175080248320
1144798.089,186948.641,33721054617357197312,1955390175080248320
190230.275,186948.641,2014286093065436160,1955390175080248320
190990.976,186948.641,1972738438192730624,1955390175080248320
197072.092,186948.641,2153165807668758272,1955390175080248320
428532.035,186948.641,3828702497597868544,1955390175080248320
200435.963,186948.641,2301986354738545664,1955390175080248320
513176.782,186948.641,4032472786618842112,1955390175080248320
287527.832,186948.641,2490875921450650624,1955390175080248320
291742.322,186948.641,3627071035162325504,1955390175080248320
254414.599,186948.641,2335009491112289280,1955390175080248320
199258.226,186948.641,2089209789065038336,1955390175080248320
209433.884,186948.641,2381903080076244992,1955390175080248320
460851.218,186948.641,4.532717025167e+18,1955390175080248320
189344.632,186948.641,2007615712891637504,1955390175080248320
780858.554,186948.641,22138881370871754752,1955390175080248320
254112.145,186948.641,2328728161023458816,1955390175080248320
197679.999,186948.641,2050455173256232448,1955390175080248320
189334.133,186948.641,1978000555796733696,1955390175080248320
427088.468,186948.641,7543019759060268032,1955390175080248320
227224.981,186948.641,3226838499632507392,1955390175080248320
253274.116,186948.641,2301116999272525312,1955390175080248320
1150090.552,186948.641,33926671528626839552,1955390175080248320
577892.724,186948.641,9122406643558587392,1955390175080248320
187998.849,186948.641,1976646953875532032,1955390175080248320
288688.216,186948.641,2930495343716136960,1955390175080248320
1223294.343,186948.641,3.5503075461342e+19,1955390175080248320
366411.024,186948.641,5670054437227678720,1955390175080248320
246797.911,186948.641,3563193749656128000,1955390175080248320
272624.673,186948.641,2597729619875849728,1955390175080248320
1206832.769,186948.641,34714417607000166400,1955390175080248320
253553.309,186948.641,2305936415309494784,1955390175080248320
256730.251,186948.641,2384549230837268992,1955390175080248320
419255.375,186948.641,3508610690097775104,1955390175080248320
605712.937,186948.641,19561354676728762368,1955390175080248320
187713.51,186948.641,1970805230144105472,1955390175080248320
396439.319,186948.641,3140302240658491904,1955390175080248320
1370559.58,186948.641,37957791446244655104,1955390175080248320
189231.312,186948.641,1977845653687166720,1955390175080248320
331659.909,186948.641,3511604220896920576,1955390175080248320
187829.343,186948.641,1963114258692386304,1955390175080248320
446136,186948.641,3855569483625546240,1955390175080248320
226718.618,186948.641,3218973554000355328,1955390175080248320
1208567.107,186948.641,34672321983400869888,1955390175080248320
198836.29,186948.641,2170922208762243072,1955390175080248320
201499.401,186948.641,2126014308511546368,1955390175080248320
1141818.07,186948.641,33583192626839900160,1955390175080248320
