"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
805242.692,186948.641,7.9928978056097e+19,1955390171069516800
520394.888,186948.641,6371885634144694272,1955390171069516800
252444.349,186948.641,2296492769472252416,1955390171069516800
673125.297,186948.641,11402476482727915520,1955390171069516800
1600259.867,186948.641,54138048974339538944,1955390171069516800
1459796.81,186948.641,39647859528950824960,1955390171069516800
295601.236,186948.641,2583752830887425024,1955390171069516800
1286190.547,186948.641,40125712892947505152,1955390171069516800
467626.933,186948.641,4682646339943576576,1955390171069516800
515713.851,186948.641,11579431800586145792,1955390171069516800
1791436.115,186948.641,59599320353976401920,1955390171069516800
1455393.246,186948.641,39356140494450917376,1955390171069516800
755807.465,186948.641,1.2918114371413e+19,1955390171069516800
1669732.277,186948.641,56252575641900244992,1955390171069516800
1441895.807,186948.641,5.1226021226341e+19,1955390171069516800
653084.16,186948.641,5729506328205285376,1955390171069516800
478633.503,186948.641,9260530221664407552,1955390171069516800
1512535.99,186948.641,5.25726923413e+19,1955390171069516800
1400749.077,186948.641,40037136307169206272,1955390171069516800
1491399.737,186948.641,53200393449700114432,1955390171069516800
857936.143,186948.641,19806065698845208576,1955390171069516800
1311619.053,186948.641,41053503221881503744,1955390171069516800
1556532.416,186948.641,58208482590992171018,1955390171069516800
1364233.484,186948.641,42160240347217526784,1955390171069516800
1402080.575,186948.641,39615817056495689728,1955390171069516800
189985.454,186948.641,2012768658580581120,1955390171069516800
1207181.572,186948.641,96135991913334702080,1955390171069516800
1413217.544,186948.641,45739917328324837376,1955390171069516800
560393.375,186948.641,9685315365457838080,1955390171069516800
638489.287,186948.641,5389194599015865344,1955390171069516800
1423350.791,186948.641,39308438963927261184,1955390171069516800
208929.871,186948.641,2244044753786951168,1955390171069516800
677535.323,186948.641,12645241805854171136,1955390171069516800
1508326.477,186948.641,48699889589010161664,1955390171069516800
548166.953,186948.641,4395261236480219136,1955390171069516800
1841575.384,186948.641,74997485489900699658,1955390171069516800
278521.597,186948.641,3275968780818548224,1955390171069516800
1547312.508,186948.641,55108986678932676618,1955390171069516800
1721709.84,186948.641,64174764882798198784,1955390171069516800
727345.289,186948.641,12596113806938206208,1955390171069516800
1534546.521,186948.641,42693819820570222592,1955390171069516800
1433835.26,186948.641,41321079111951220736,1955390171069516800
311708.936,186948.641,3983937048731143680,1955390171069516800
1487746.854,186948.641,44622182416311795712,1955390171069516800
519000.137,186948.641,11615000343015286784,1955390171069516800
999910.68,186948.641,16569702288160692224,1955390171069516800
611976.884,186948.641,15832100483244214272,1955390171069516800
791185.825,186948.641,16309664831458502656,1955390171069516800
610402.43,186948.641,11439592432427884544,1955390171069516800
748533.595,186948.641,15064477636483598336,1955390171069516800
572506.757,186948.641,5767118783770789888,1955390171069516800
307386.198,186948.641,5374655391665662976,1955390171069516800
