"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
1855401.374,186948.641,86133996863935414272,1955390175080248320
1301078.887,186948.641,42033877347858423808,1955390175080248320
570866.295,186948.641,11173343064216500224,1955390175080248320
1252811.363,186948.641,39890989797268815872,1955390175080248320
1494306.803,186948.641,41142027115995545600,1955390175080248320
566658.446,186948.641,8004475703687729152,1955390175080248320
1577275.775,186948.641,53474955827928072192,1955390175080248320
326399.64,186948.641,5834040968624146432,1955390175080248320
1726458.197,186948.641,57227191659162091520,1955390175080248320
1622634.697,186948.641,55484361525504327680,1955390175080248320
560831.81,186948.641,6088493389996892160,1955390175080248320
582389.908,186948.641,12498525731850203136,1955390175080248320
653861.57,186948.641,10507485534497652736,1955390175080248320
1305070.285,186948.641,40778070080049291264,1955390175080248320
337435.365,186948.641,4273765379415170560,1955390175080248320
1623963.528,186948.641,48655849047479427072,1955390175080248320
1444432.749,186948.641,41880759616827293696,1955390175080248320
436268.137,186948.641,3944707206725744640,1955390175080248320
417492.006,186948.641,4780184386948170752,1955390175080248320
415865.517,186948.641,7334594284950374400,1955390175080248320
311160.323,186948.641,2936624050932979712,1955390175080248320
797646.749,186948.641,16846596785795239936,1955390175080248320
564457.202,186948.641,6031160448265334784,1955390175080248320
615408.158,186948.641,5273120118477433856,1955390175080248320
1371422.685,186948.641,47735375698093563904,1955390175080248320
1948006.419,186948.641,65198083279007195136,1955390175080248320
1414553.635,186948.641,38927259283888537600,1955390175080248320
353865.873,186948.641,3426820994852346368,1955390175080248320
1499343.048,186948.641,46948235299087130624,1955390175080248320
811212.928,186948.641,13198873558247725056,1955390175080248320
307930.028,186948.641,3683505019091477504,1955390175080248320
189938.636,186948.641,1991416052354905856,1955390175080248320
779011.325,186948.641,9940322922756497408,1955390175080248320
819987.456,186948.641,9748512345174071296,1955390175080248320
1849915.044,186948.641,73044672960760545280,1955390175080248320
491907.053,186948.641,5181011177374045184,1955390175080248320
782044.881,186948.641,22158531191886405632,1955390175080248320
845652.53,186948.641,13592443791594762240,1955390175080248320
795463.494,186948.641,84017638571463573504,1955390175080248320
511387.113,186948.641,5714665561131689984,1955390175080248320
800924.579,186948.641,1.355354964818e+19,1955390175080248320
770340.153,186948.641,14875405858800762880,1955390175080248320
776221.835,186948.641,13272095540052480000,1955390175080248320
1686590.378,186948.641,54530433588017487872,1955390175080248320
1290174.135,186948.641,44341407871315795968,1955390175080248320
566229.154,186948.641,5402194135764355072,1955390175080248320
1505658.926,186948.641,41793720547198509056,1955390175080248320
1342081.065,186948.641,37611447572190396416,1955390175080248320
510010.372,186948.641,4267298211795033600,1955390175080248320
511367.237,186948.641,4814916843758879744,1955390175080248320
1727022.347,186948.641,60623305790765563904,1955390175080248320
1871605.84,186948.641,70705099636277796864,1955390175080248320
595475.611,186948.641,11025364825219774464,1955390175080248320
791324.619,186948.641,13078904140518238208,1955390175080248320
256251.085,186948.641,3440817417627279872,1955390175080248320
452673.493,186948.641,4523043836459828736,1955390175080248320
835139.657,186948.641,20078621502578212864,1955390175080248320
725244.758,186948.641,12114438787667484672,1955390175080248320
1521677.578,186948.641,61973097848104534016,1955390175080248320
748039.508,186948.641,11807184189500448768,1955390175080248320
466712.412,186948.641,3892545693450278400,1955390175080248320
690479.429,186948.641,10427503418241652736,1955390175080248320
315649.761,186948.641,3682860535829476352,1955390175080248320
1426779.751,186948.641,3.9974286564936e+19,1955390175080248320
566418.661,186948.641,7071738313170466816,1955390175080248320
295591.127,186948.641,3711832411515329024,1955390175080248320
1466264.157,186948.641,43557020089043279872,1955390175080248320
1705670.197,186948.641,57545133806503174144,1955390175080248320
1510244.072,186948.641,47231922955688239104,1955390175080248320
1247250.463,186948.641,3.8733679784114e+19,1955390175080248320
727377.604,186948.641,13246811018820894720,1955390175080248320
514568.602,186948.641,5533515985931707392,1955390175080248320
1528101.394,186948.641,46043329800917442560,1955390175080248320
1288868.416,186948.641,40930672875649703936,1955390175080248320
1370883.059,186948.641,43026025377633648640,1955390175080248320
445641.869,186948.641,3859523414980682240,1955390175080248320
1291556.894,186948.641,42059641743947063296,1955390175080248320
1513336.218,186948.641,44408144615718436864,1955390175080248320
484819.916,186948.641,5410127052850360320,1955390175080248320
568349.045,186948.641,5062740220173460480,1955390175080248320
616496.766,186948.641,5660055304849523712,1955390175080248320
425168.857,186948.641,7515735604410172416,1955390175080248320
368514.595,186948.641,5760227277702449152,1955390175080248320
1653697.418,186948.641,45394580515070427136,1955390175080248320
718046.326,186948.641,12789092753362558976,1955390175080248320
568722.205,186948.641,20515252570280652800,1955390175080248320
469550.883,186948.641,5238381107841012736,1955390175080248320
1620855.866,186948.641,43887266890008338432,1955390175080248320
2077436.356,186948.641,76399383284262797312,1955390175080248320
1651121.17,186948.641,44687257715973865472,1955390175080248320
511372.584,186948.641,4797541291596514304,1955390175080248320
1621944.738,186948.641,51591775115269455872,1955390175080248320
271007.398,186948.641,3543875368428044288,1955390175080248320
1600870.535,186948.641,62984489248024518656,1955390175080248320
372763.426,186948.641,3199626691674122240,1955390175080248320
1073535.114,186948.641,22409145610637213696,1955390175080248320
344920.621,186948.641,3073892297366646272,1955390175080248320
370817.916,186948.641,5467769383062894592,1955390175080248320
629672.388,186948.641,10319552847831408640,1955390175080248320
1718626.525,186948.641,62977874244508655616,1955390175080248320
536846.504,186948.641,7174563886514864128,1955390175080248320
1889234.665,186948.641,93726088647735328768,1955390175080248320
1298299.119,186948.641,45515463148231475200,1955390175080248320
1703516.636,186948.641,57096639222367682560,1955390175080248320
268721.404,186948.641,2603022318735177216,1955390175080248320
602596.862,186948.641,7078767051607790592,1955390175080248320
725264.758,186948.641,12571365909308348416,1955390175080248320
426815.135,186948.641,3550737533468320768,1955390175080248320
488605.817,186948.641,9209216794050919424,1955390175080248320
662530.015,186948.641,14177018107951939584,1955390175080248320
622278.386,186948.641,1.0592210443082e+19,1955390175080248320
719001.388,186948.641,12603183755781279744,1955390175080248320
1246723.18,186948.641,1.09034112383055e+20,1955390175080248320
1202116.739,186948.641,36285762783305728000,1955390175080248320
1498885.013,186948.641,40832693406147354624,1955390175080248320
277483.262,186948.641,2860511558029668352,1955390175080248320
1319745.032,186948.641,44133618057256738816,1955390175080248320
559389.168,186948.641,5122707732708147200,1955390175080248320
829208.333,186948.641,16031165302476658688,1955390175080248320
431739.341,186948.641,3679524831292518400,1955390175080248320
