"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
463444.937,186948.641,4067723175359529984,1955390175080248320
788965.888,186948.641,22170090682472189952,1955390175080248320
1490734.143,186948.641,44855731660328837120,1955390175080248320
603241.021,186948.641,21734935585684770816,1955390175080248320
1191993.338,186948.641,36343133316215627776,1955390175080248320
800934.639,186948.641,23403933523960774656,1955390175080248320
560623.248,186948.641,10693203414220802048,1955390175080248320
764873.672,186948.641,13497333091529367552,1955390175080248320
596335.248,186948.641,1.5025960890277e+19,1955390175080248320
582750.35,186948.641,22040300920324788224,1955390175080248320
295286.722,186948.641,3724575043343396864,1955390175080248320
908992.448,186948.641,28497780159445180416,1955390175080248320
830487.582,186948.641,23198527958838898688,1955390175080248320
1378987.582,186948.641,47591461859872096256,1955390175080248320
353685.559,186948.641,3226694857934573568,1955390175080248320
368951.409,186948.641,7108105080477402112,1955390175080248320
375857.971,186948.641,7476726243282700288,1955390175080248320
1986862.358,186948.641,8.7092194363956e+19,1955390175080248320
1013156.158,186948.641,23712942476531372032,1955390175080248320
1260252.051,186948.641,51801706091698839552,1955390175080248320
318490.957,186948.641,3735890336892733440,1955390175080248320
858170.719,186948.641,23177257960303157248,1955390175080248320
1221463.635,186948.641,41536027339957346304,1955390175080248320
1852621.089,186948.641,85757440866612527104,1955390175080248320
1398244.26,186948.641,38539790854456729600,1955390175080248320
831391.999,186948.641,33672981681750249472,1955390175080248320
602181.595,186948.641,8763512186858335232,1955390175080248320
1452624.493,186948.641,40140759988052582400,1955390175080248320
1762790.411,186948.641,69569862974585872384,1955390175080248320
429343.645,186948.641,7655305704140762112,1955390175080248320
581665.494,186948.641,21185134960217206784,1955390175080248320
587581.163,186948.641,12003803796048748544,1955390175080248320
871400.514,186948.641,37204716076016869376,1955390175080248320
1446156.87,186948.641,41868790684545654784,1955390175080248320
1338106.129,186948.641,1.39603427550232e+20,1955390175080248320
591596.885,186948.641,21991792033090060288,1955390175080248320
1544383.065,186948.641,4.6390918478238e+19,1955390175080248320
880374.085,186948.641,26641950534765051904,1955390175080248320
290912.791,186948.641,2517484043908342272,1955390175080248320
295463.909,186948.641,2777593185111322112,1955390175080248320
310477.378,186948.641,3666641352513293824,1955390175080248320
550125.89,186948.641,7307729479247739904,1955390175080248320
789225.639,186948.641,22218727136942424064,1955390175080248320
1068269.036,186948.641,38705559874372747264,1955390175080248320
536848.263,186948.641,11580851921082664960,1955390175080248320
608342.433,186948.641,19642743219498455040,1955390175080248320
288386.93,186948.641,4584483775878817280,1955390175080248320
1524335.669,186948.641,42556606361212674048,1955390175080248320
