"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
1407156.027,186948.641,39516081364845502464,1955390175080248320
554747.07,186948.641,4619745434427265024,1955390175080248320
724538.157,186948.641,7450804714157724672,1955390175080248320
1775809.463,186948.641,6.3507856874211e+19,1955390175080248320
279735.823,186948.641,2364736929226203136,1955390175080248320
1393529.441,186948.641,39161992919961157632,1955390175080248320
2057649.415,186948.641,97711596091390689280,1955390175080248320
513140.782,186948.641,4446262452242444800,1955390175080248320
1337402.634,186948.641,4.1851140037518e+19,1955390175080248320
412064.615,186948.641,4982893796532885504,1955390175080248320
200253.449,186948.641,2.185315436101e+18,1955390175080248320
1649304.788,186948.641,69875424973234880512,1955390175080248320
784804.313,186948.641,22216589632274313216,1955390175080248320
1566740.913,186948.641,4.7733079536344e+19,1955390175080248320
866547.386,186948.641,21551952018161360896,1955390175080248320
729372.89,186948.641,12950899513630566400,1955390175080248320
1422310.018,186948.641,43264724710994165760,1955390175080248320
1533482.455,186948.641,57202691359200247808,1955390175080248320
1751459.148,186948.641,53078579390367711232,1955390175080248320
1280937.7,186948.641,38939173851403354112,1955390175080248320
644164.926,186948.641,5335221414826978304,1955390175080248320
798320.837,186948.641,13904126239447818240,1955390175080248320
479152.729,186948.641,6724296860593583104,1955390175080248320
708756.908,186948.641,25130216342696325120,1955390175080248320
1442902.684,186948.641,39250143792015638528,1955390175080248320
1491524.44,186948.641,44838020488831074304,1955390175080248320
1496183.225,186948.641,59714812853766193152,1955390175080248320
567311.157,186948.641,9577173731230472192,1955390175080248320
1319956.765,186948.641,42304845142392463360,1955390175080248320
746911.325,186948.641,1.1247738443029e+19,1955390175080248320
1402303.589,186948.641,39554569109758124032,1955390175080248320
1514790.138,186948.641,4.9060242253192e+19,1955390175080248320
1717143.733,186948.641,60624778120599543808,1955390175080248320
268917.052,186948.641,3465926155314365440,1955390175080248320
1555312.538,186948.641,46201528676673257472,1955390175080248320
1727423.306,186948.641,56645155152765902848,1955390175080248320
1688587.941,186948.641,57047479675195662336,1955390175080248320
1526697.99,186948.641,54165921380814217216,1955390175080248320
453067.616,186948.641,4040213707831320576,1955390175080248320
1502412.152,186948.641,52115006968571142144,1955390175080248320
1471286.222,186948.641,48445498080676462592,1955390175080248320
466137.316,186948.641,19243136807113519104,1955390175080248320
579817.612,186948.641,12399425104727504896,1955390175080248320
448682.228,186948.641,3901391143247227392,1955390175080248320
1874683.029,186948.641,69919472230062735360,1955390175080248320
465730.967,186948.641,4666801832143006720,1955390175080248320
1818190.414,186948.641,58684342482989350912,1955390175080248320
1269441.943,186948.641,42815945963224055808,1955390175080248320
1779072.627,186948.641,61302554798826774528,1955390175080248320
910371.66,186948.641,15555153571008831488,1955390175080248320
1365323.91,186948.641,46571046124168888320,1955390175080248320
461338.792,186948.641,4549735141187601920,1955390175080248320
501805.957,186948.641,5442065486437528576,1955390175080248320
665783.134,186948.641,10481934089071646720,1955390175080248320
1854694.76,186948.641,65827657620102815744,1955390175080248320
1241413.118,186948.641,24851235163878268928,1955390175080248320
634259.992,186948.641,11450945973525692416,1955390175080248320
760712.874,186948.641,80739995202205532160,1955390175080248320
1498333.626,186948.641,46043573907263856640,1955390175080248320
413170.711,186948.641,6340382343796093952,1955390175080248320
278499.746,186948.641,2367336634869580800,1955390175080248320
553158.633,186948.641,6025905128248766464,1955390175080248320
424583.722,186948.641,3533062596413539328,1955390175080248320
790208.106,186948.641,15679381203303161856,1955390175080248320
662076.594,186948.641,18040863360048171008,1955390175080248320
748605.066,186948.641,1.4477040707054e+19,1955390175080248320
724844.288,186948.641,11344273684742436864,1955390175080248320
276725.014,186948.641,2820894270651254784,1955390175080248320
1474512.243,186948.641,44250942973347266560,1955390175080248320
496995.143,186948.641,5426651689734121472,1955390175080248320
535831.197,186948.641,6989673841835452416,1955390175080248320
200471.319,186948.641,2078598346156120576,1955390175080248320
491370.136,186948.641,3877118866276590592,1955390175080248320
624983.466,186948.641,20579074914036133888,1955390175080248320
267155.501,186948.641,3848622578664678912,1955390175080248320
1638885.852,186948.641,55826977786123640832,1955390175080248320
1006280.495,186948.641,20563896143914901504,1955390175080248320
593694.624,186948.641,7214296331960519680,1955390175080248320
737076.88,186948.641,77934232966606454784,1955390175080248320
1856445.159,186948.641,86116676780787531776,1955390175080248320
