"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
186948.922,186948.641,1955393208284199168,1955390175080248320
186948.642,186948.641,1955390180435535360,1955390175080248320
188413.958,186948.641,1981488640157576960,1955390175080248320
187739.271,186948.641,1961931860563700480,1955390175080248320
186948.818,186948.641,1955391002488531712,1955390175080248320
186949.645,186948.641,1955406923262876672,1955390175080248320
187021.311,186948.641,1956476284937884160,1955390175080248320
186949.482,186948.641,1955406163897990656,1955390175080248320
187019.665,186948.641,1956468555911582208,1955390175080248320
187739.923,186948.641,1961946985986644736,1955390175080248320
187036.736,186948.641,1957691728405117952,1955390175080248320
187107.317,186948.641,1958768793763369984,1955390175080248320
186948.645,186948.641,1955390252082501632,1955390175080248320
187739.244,186948.641,1961931741411842816,1955390175080248320
186948.803,186948.641,1955390926347773952,1955390175080248320
187739.245,186948.641,1961931749609146624,1955390175080248320
186948.805,186948.641,1955390947705149440,1955390175080248320
186948.641,186948.641,1955390176543644928,1955390175080248320
186948.803,186948.641,1955390927786247680,1955390175080248320
187259.055,186948.641,1962317455442488320,1955390175080248320
186948.817,186948.641,1955390979671952896,1955390175080248320
187019.609,186948.641,1956469612691531008,1955390175080248320
251897.982,186948.641,2285040795050312960,1955390175080248320
251588.586,186948.641,2277799946919319552,1955390175080248320
187826.873,186948.641,1964236135016299008,1955390175080248320
186948.677,186948.641,1955390460567213312,1955390175080248320
186948.641,186948.641,1955390176543644928,1955390175080248320
187172.372,186948.641,1960007255191181568,1955390175080248320
187171.399,186948.641,1960014864094342912,1955390175080248320
251588.594,186948.641,2277800115941028352,1955390175080248320
186948.924,186948.641,1955393213711122688,1955390175080248320
186948.817,186948.641,1955390980136475648,1955390175080248320
251588.586,186948.641,2277799952770652672,1955390175080248320
186949.784,186948.641,1955407539034352896,1955390175080248320
187826.873,186948.641,1964236127937108224,1955390175080248320
186948.663,186948.641,1955390388129660160,1955390175080248320
186948.923,186948.641,1955393210084736256,1955390175080248320
186948.774,186948.641,1.955392518666e+18,1955390175080248320
187036.284,186948.641,1957689640571659520,1955390175080248320
186948.649,186948.641,1955390334880943360,1955390175080248320
186948.67,186948.641,1955390320766567936,1955390175080248320
