"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
186951.703,186948.641,1955404114026507520,1955390175080248320
186948.845,186948.641,1955391111677515520,1955390175080248320
187170.598,186948.641,1959999026677784576,1955390175080248320
187739.244,186948.641,1961931735210270720,1955390175080248320
186948.642,186948.641,1955390181028239360,1955390175080248320
186948.804,186948.641,1955390942863979008,1955390175080248320
186948.924,186948.641,1955393214451184128,1955390175080248320
186948.817,186948.641,1955390986660457984,1955390175080248320
186948.816,186948.641,1955391163069283328,1955390175080248320
186948.849,186948.641,1955391182487843328,1955390175080248320
186948.641,186948.641,1955390177269429760,1955390175080248320
186948.923,186948.641,1955393215858504960,1955390175080248320
186948.774,186948.641,1955392511035145728,1955390175080248320
187739.355,186948.641,1961933460108456192,1955390175080248320
186948.76,186948.641,1955392457664211456,1955390175080248320
186948.683,186948.641,1955390353891502592,1955390175080248320
186948.641,186948.641,1955390175798443520,1955390175080248320
187019.538,186948.641,1956468062068308224,1955390175080248320
252380.672,186948.641,2285044362519635712,1955390175080248320
186948.808,186948.641,1955391019229126656,1955390175080248320
186948.831,186948.641,1955391052854715392,1955390175080248320
187036.39,186948.641,1957691875092758272,1955390175080248320
186948.923,186948.641,1955393209334469120,1955390175080248320
198003.329,186948.641,2262650297230303232,1955390175080248320
186948.669,186948.641,1955390302704711168,1955390175080248320
187739.245,186948.641,1961931746197074944,1955390175080248320
186948.922,186948.641,1955393208227646720,1955390175080248320
186948.785,186948.641,1955390783181800448,1955390175080248320
186948.76,186948.641,1955392464652765184,1955390175080248320
187036.27,186948.641,1957689589153715968,1955390175080248320
186948.817,186948.641,1955390981162233600,1955390175080248320
187739.083,186948.641,1961930986135079168,1955390175080248320
186948.804,186948.641,1955390942869120000,1955390175080248320
186948.656,186948.641,1955390245344844288,1955390175080248320
187739.258,186948.641,1961931786516110336,1955390175080248320
186949.062,186948.641,1955393739332470272,1955390175080248320
187019.696,186948.641,1956468924940989184,1955390175080248320
186950.43,186948.641,1955398467897425664,1955390175080248320
186948.803,186948.641,1955390927786247680,1955390175080248320
187019.673,186948.641,1956468700947478528,1955390175080248320
186951.269,186948.641,1955414427804197632,1955390175080248320
187924.686,186948.641,1981121222192652544,1955390175080248320
186948.641,186948.641,1955390175085389568,1955390175080248320
