"population","portfolio_1","portfolio_2"
"alsea",0,460000
"beaver",690000,1610000
"coos",920000,920000
"coquille",690000,0
"floras",1610000,7590000
"lower_umpqua",460000,230000
"middle_umpqua",2760000,1150000
"necanicum",690000,460000
"nehalem",920000,690000
"nestucca",1150000,1840000
"north_umpqua",230000,3450000
"salmon",230000,460000
"siletz",0,460000
"siltcoos",3450000,690000
"siuslaw",2300000,460000
"south_umpqua",460000,920000
"tenmile",5980000,1150000
"tillamook",460000,0
"yaquina",0,460000
