"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
1140743.409,186948.641,33488708951721508864,1955390171069516800
198034.269,186948.641,2153605899862432768,1955390171069516800
1175194.837,186948.641,34126857653467758592,1955390171069516800
263978.985,186948.641,2534192130506750464,1955390171069516800
1372601.466,186948.641,38071747821310525440,1955390171069516800
301589.847,186948.641,3737766393164125184,1955390171069516800
1288054.953,186948.641,44288102906931740672,1955390171069516800
197389.195,186948.641,2044450631454907136,1955390171069516800
1142306.579,186948.641,33604554486137880576,1955390171069516800
1528197.086,186948.641,52119281561758146560,1955390171069516800
198394.124,186948.641,2065787357677016064,1955390171069516800
198303.134,186948.641,2062858437139130624,1955390171069516800
436887.423,186948.641,3633275085304298496,1955390171069516800
197527.346,186948.641,2045684872547665408,1955390171069516800
417005.217,186948.641,3448770019826422784,1955390171069516800
647720.74,186948.641,5310402333986624512,1955390171069516800
197490.327,186948.641,2047015918312744448,1955390171069516800
201580.595,186948.641,2107572884686233088,1955390171069516800
515717.483,186948.641,11558940260387284992,1955390171069516800
461308.02,186948.641,3866377583014596608,1955390171069516800
419895.515,186948.641,3515140339179661312,1955390171069516800
245559.844,186948.641,3231100879284681728,1955390171069516800
266979.799,186948.641,2492941161732893696,1955390171069516800
189168.162,186948.641,2002002750374493696,1955390171069516800
188833.119,186948.641,1986749678046092032,1955390171069516800
198438.697,186948.641,2061165558044306944,1955390171069516800
188534.589,186948.641,1974066092823398912,1955390171069516800
187085.298,186948.641,1958481796035686656,1955390171069516800
424876.178,186948.641,3511528936353355264,1955390171069516800
275618.343,186948.641,2784577085720978944,1955390171069516800
233220.08,186948.641,2357933383294753792,1955390171069516800
429351.919,186948.641,3852266454418236416,1955390171069516800
291997.578,186948.641,3633865053725795840,1955390171069516800
1205365.711,186948.641,34648613223604584448,1955390171069516800
418014.247,186948.641,3481447773614206464,1955390171069516800
1325665.689,186948.641,4.1368913694221e+19,1955390171069516800
428720.075,186948.641,3691093338629395456,1955390171069516800
478275.932,186948.641,6602212080629664768,1955390171069516800
550012.128,186948.641,10328733386228084736,1955390171069516800
189929.258,186948.641,1972864272909597952,1955390171069516800
1466101.524,186948.641,44008029379085844480,1955390171069516800
255138.458,186948.641,2346113904580950528,1955390171069516800
476682.999,186948.641,9189557615427100672,1955390171069516800
477329.836,186948.641,9232541796186238976,1955390171069516800
198701.651,186948.641,2067239786115014912,1955390171069516800
199539.329,186948.641,2286146783158182400,1955390171069516800
291827.746,186948.641,3629329817722963456,1955390171069516800
1374661.558,186948.641,38204760633018597376,1955390171069516800
476285.375,186948.641,9196420475193276416,1955390171069516800
291144.679,186948.641,3610064411734472704,1955390171069516800
1371078.479,186948.641,37982780770153783296,1955390171069516800
429062.329,186948.641,7595704058313359360,1955390171069516800
252182.681,186948.641,2279349311577985024,1955390171069516800
662166.621,186948.641,10412692650839140352,1955390171069516800
187778.866,186948.641,1972748988185601024,1955390171069516800
199465.357,186948.641,2284970415443362816,1955390171069516800
252777.275,186948.641,2307131322844337664,1955390171069516800
1371411.63,186948.641,38005101346155642880,1955390171069516800
1150665.489,186948.641,33953914332536868864,1955390171069516800
539521.927,186948.641,1.1357881034049e+19,1955390171069516800
227168.063,186948.641,3231096821164282368,1955390171069516800
262715.657,186948.641,2607162954184077312,1955390171069516800
262687.193,186948.641,2606338018229133312,1955390171069516800
263454.974,186948.641,2613875641315761152,1955390171069516800
1293575.303,186948.641,3.8313029154724e+19,1955390171069516800
262833.528,186948.641,2393464421949868032,1955390171069516800
211844.985,186948.641,2694568457669713920,1955390171069516800
716217.097,186948.641,12466364924003272704,1955390171069516800
292528.422,186948.641,3636578783888899072,1955390171069516800
426826.023,186948.641,3590914692845100032,1955390171069516800
1357719.772,186948.641,39589998369300324352,1955390171069516800
1141613.121,186948.641,33521747415477673984,1955390171069516800
198127.27,186948.641,2144344570829931264,1955390171069516800
540371.188,186948.641,9941539753581441024,1955390171069516800
471642.261,186948.641,3980951362629082624,1955390171069516800
1467233.143,186948.641,44094796613372444672,1955390171069516800
477681.273,186948.641,6570674167357264896,1955390171069516800
188746.657,186948.641,1987874464749075968,1955390171069516800
445683.463,186948.641,3728747554539828736,1955390171069516800
420164.218,186948.641,3492309955543662592,1955390171069516800
1423358.749,186948.641,41001062513047724032,1955390171069516800
481855.853,186948.641,5056237821149696000,1955390171069516800
447241.409,186948.641,3766786360630687744,1955390171069516800
1198921.074,186948.641,37369951420364054528,1955390171069516800
529008.247,186948.641,4262822244424259072,1955390171069516800
291548.233,186948.641,2453108283831946752,1955390171069516800
281174.679,186948.641,3075361127228265472,1955390171069516800
436581.872,186948.641,3631584668696459776,1955390171069516800
462172.619,186948.641,3877508737150493696,1955390171069516800
252345.266,186948.641,2293734819459162112,1955390171069516800
209895.526,186948.641,2392865812668148224,1955390171069516800
436791.32,186948.641,3631474191848633856,1955390171069516800
197386.839,186948.641,2044382755190805504,1955390171069516800
476408.034,186948.641,9193375127700804608,1955390171069516800
729239.436,186948.641,13140546872137582592,1955390171069516800
220095.323,186948.641,2572256726055231488,1955390171069516800
255645.064,186948.641,2365838554264546304,1955390171069516800
418415.135,186948.641,3469449396161771008,1955390171069516800
486944.304,186948.641,9386608685655924736,1955390171069516800
191449.492,186948.641,1980589700618899200,1955390171069516800
478807.994,186948.641,6604226669306006528,1955390171069516800
189225.949,186948.641,1998931902496023552,1955390171069516800
188595.937,186948.641,1978273699546363904,1955390171069516800
1375975.625,186948.641,38280501030171738112,1955390171069516800
1656390.772,186948.641,55597134100717363200,1955390171069516800
197458.205,186948.641,2045497577403047680,1955390171069516800
426805.361,186948.641,7555686692690323456,1955390171069516800
419064.403,186948.641,3476674927419579392,1955390171069516800
427938.409,186948.641,3580630762242264576,1955390171069516800
196578.965,186948.641,2106261016744635136,1955390171069516800
189693.277,186948.641,2000802605374222336,1955390171069516800
310503.104,186948.641,3657989869371755520,1955390171069516800
263757.659,186948.641,2412095276701918720,1955390171069516800
251832.682,186948.641,2283012326834462720,1955390171069516800
1198226.574,186948.641,36817879777173917696,1955390171069516800
