"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
248776.956,186948.641,3181191672997943808,1955390171069516800
198363.939,186948.641,2070873216548480000,1955390171069516800
479395.155,186948.641,9304086040490545152,1955390171069516800
1141458.027,186948.641,33523064063400288256,1955390171069516800
262376.393,186948.641,2380847674523686912,1955390171069516800
276271.118,186948.641,2805949224658978816,1955390171069516800
311311.487,186948.641,2768166167286322176,1955390171069516800
210694.541,186948.641,2442695159803572736,1955390171069516800
310565.628,186948.641,2706784781662769664,1955390171069516800
1240161.044,186948.641,36831437477018898432,1955390171069516800
435810.242,186948.641,4626401980479691776,1955390171069516800
437860.556,186948.641,8125566426170456064,1955390171069516800
421800.078,186948.641,3550999085992193536,1955390171069516800
1145733.295,186948.641,33774372140140306432,1955390171069516800
188838.329,186948.641,1.981499179218e+18,1955390171069516800
1377851.784,186948.641,38193926440644476928,1955390171069516800
434227.368,186948.641,3651311358238269440,1955390171069516800
417858.627,186948.641,3477661898771619840,1955390171069516800
234209.584,186948.641,2470589855837933056,1955390171069516800
242828.55,186948.641,3499537491799264256,1955390171069516800
190480.635,186948.641,1987667945085006336,1955390171069516800
502354.15,186948.641,8667981473923767296,1955390171069516800
462009.007,186948.641,4568508835287702528,1955390171069516800
437008.037,186948.641,3631690453955920896,1955390171069516800
1184207.342,186948.641,37692805863740203008,1955390171069516800
441185.448,186948.641,3827392440110305280,1955390171069516800
433244.852,186948.641,3617939210534279168,1955390171069516800
292116.06,186948.641,2549171311436832256,1955390171069516800
274032.063,186948.641,2637468609643683328,1955390171069516800
436996.36,186948.641,3643939340858164736,1955390171069516800
187874.264,186948.641,1974631629449864704,1955390171069516800
187826.904,186948.641,1963279299379118848,1955390171069516800
436827.681,186948.641,3630504084854562304,1955390171069516800
696788.933,186948.641,6181465023949288448,1955390171069516800
1240109.714,186948.641,37640924684563890176,1955390171069516800
253253.248,186948.641,2302518419848509184,1955390171069516800
269637.81,186948.641,2.65962810864e+18,1955390171069516800
253197.104,186948.641,2302279110164128256,1955390171069516800
228071.194,186948.641,3243601145782573056,1955390171069516800
