"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
913881.275,186948.641,13748781959551418368,1955390175080248320
190474.14,186948.641,2011372577474201344,1955390175080248320
711718.384,186948.641,12380541501495359488,1955390175080248320
1382857.526,186948.641,38237101695958278144,1955390175080248320
586851.104,186948.641,21574890362390511616,1955390175080248320
574742.486,186948.641,9107742658704968704,1955390175080248320
1384365.607,186948.641,38420319830572187648,1955390175080248320
789851.809,186948.641,83771538854572507136,1955390175080248320
1746830.851,186948.641,85432571958158458880,1955390175080248320
522606.44,186948.641,7987679762524018688,1955390175080248320
812944.029,186948.641,10348889565902686208,1955390175080248320
545543.455,186948.641,7316523272885901312,1955390175080248320
473164.303,186948.641,4260073475093338112,1955390175080248320
703686.371,186948.641,11155205973665490944,1955390175080248320
1532149.26,186948.641,41350848901412904960,1955390175080248320
421338.919,186948.641,3516713024255230976,1955390175080248320
1338250.107,186948.641,42519922575584239616,1955390175080248320
1408423.482,186948.641,39044170002171682816,1955390175080248320
1487791.546,186948.641,44558142286350311424,1955390175080248320
1444370.903,186948.641,5.0748137597366e+19,1955390175080248320
1216975.485,186948.641,39252802837072519168,1955390175080248320
650876.587,186948.641,13397738536646553600,1955390175080248320
1530537.967,186948.641,56817084726920806400,1955390175080248320
1735382.141,186948.641,64206842482349842432,1955390175080248320
329451.317,186948.641,2858655607259672064,1955390175080248320
706297.614,186948.641,8833261352677972992,1955390175080248320
968211.835,186948.641,84867464672023920640,1955390175080248320
501599.375,186948.641,5441869853737904128,1955390175080248320
1189529.545,186948.641,34149863238058827776,1955390175080248320
708136.003,186948.641,10874658349606332416,1955390175080248320
323077.729,186948.641,4698069624459789312,1955390175080248320
1319278.073,186948.641,44612174791679729664,1955390175080248320
267521.809,186948.641,2547494463148644864,1955390175080248320
1325023.452,186948.641,42292503924441759744,1955390175080248320
774707.802,186948.641,15179097177609431040,1955390175080248320
522401.598,186948.641,4198356389013199360,1955390175080248320
1303416.015,186948.641,42194341514810785792,1955390175080248320
293755.759,186948.641,2535679937967892992,1955390175080248320
1495221.367,186948.641,42193880615071162368,1955390175080248320
733950.607,186948.641,17904337539180304384,1955390175080248320
1527343.265,186948.641,45068066578275753984,1955390175080248320
1718397.022,186948.641,49580510578712133632,1955390175080248320
1397203.55,186948.641,38374805222274711552,1955390175080248320
1504756.168,186948.641,40976559563859755008,1955390175080248320
1470687.48,186948.641,42448799535727337472,1955390175080248320
1659273.789,186948.641,63994074085287428096,1955390175080248320
1517905.235,186948.641,74036379527899791360,1955390175080248320
825251.397,186948.641,17376990968262402048,1955390175080248320
1801612.749,186948.641,64230435112928575488,1955390175080248320
1582220.731,186948.641,55654494044562841600,1955390175080248320
530894.84,186948.641,4425209170206299136,1955390175080248320
770787.712,186948.641,44695392241177853952,1955390175080248320
487004.241,186948.641,5368665406558442496,1955390175080248320
916175.335,186948.641,29137843377793110016,1955390175080248320
1530605.473,186948.641,44008244815805554688,1955390175080248320
592883.192,186948.641,20602715865673306112,1955390175080248320
1751835.777,186948.641,66994771900332720128,1955390175080248320
458799.62,186948.641,4284997173220215808,1955390175080248320
1572036.805,186948.641,53754479499998904320,1955390175080248320
1302651.551,186948.641,1.20053895602651e+20,1955390175080248320
589582.887,186948.641,9118601815012250624,1955390175080248320
1487629.054,186948.641,54405555465260482560,1955390175080248320
561383.203,186948.641,4947310733662345216,1955390175080248320
292332.713,186948.641,3129080442300605952,1955390175080248320
1317765.898,186948.641,41920154327418118144,1955390175080248320
239986.728,186948.641,2492825504293490176,1955390175080248320
1476799.074,186948.641,44468071681953185792,1955390175080248320
1741330.327,186948.641,60125229244400623616,1955390175080248320
1201946.689,186948.641,35304920077807755264,1955390175080248320
816707.016,186948.641,16705622722797723648,1955390175080248320
1275658.87,186948.641,41637822974177239040,1955390175080248320
849827.011,186948.641,13804274020819363840,1955390175080248320
523402.166,186948.641,4300755999342590976,1955390175080248320
472993.07,186948.641,3892125719641086464,1955390175080248320
1254831.561,186948.641,39206682187070717952,1955390175080248320
833654.789,186948.641,18672989081607225344,1955390175080248320
443564.721,186948.641,9454446562469912576,1955390175080248320
1461016.578,186948.641,43577139542224748544,1955390175080248320
1878227.843,186948.641,72260936812134187008,1955390175080248320
1003568.368,186948.641,21340199864499838976,1955390175080248320
1491240.813,186948.641,40918908650064355328,1955390175080248320
483246.28,186948.641,5446992284868371456,1955390175080248320
673831.39,186948.641,10879299461513846784,1955390175080248320
1463296.271,186948.641,5.1928663282139e+19,1955390175080248320
1491041.18,186948.641,53903556960013361152,1955390175080248320
519371.523,186948.641,4507736688418247168,1955390175080248320
1361302.214,186948.641,43779841795013369856,1955390175080248320
1644189.031,186948.641,54593700989791789056,1955390175080248320
721085.361,186948.641,9538118668543160320,1955390175080248320
530803.184,186948.641,11327248934072053760,1955390175080248320
546701.936,186948.641,6420179947209099264,1955390175080248320
1544208.112,186948.641,51066601039809380352,1955390175080248320
1525196.384,186948.641,41445156877131407360,1955390175080248320
1251758.821,186948.641,39010787850567467008,1955390175080248320
295718.229,186948.641,2538795475191537664,1955390175080248320
498891.593,186948.641,8493459715805626368,1955390175080248320
1335309.458,186948.641,4.1845687321217e+19,1955390175080248320
272352.143,186948.641,2689527798707437056,1955390175080248320
451066.813,186948.641,8450543472776480768,1955390175080248320
727362.249,186948.641,12682043454407929856,1955390175080248320
431698.245,186948.641,3910383726500198400,1955390175080248320
782830.809,186948.641,22220533419242397696,1955390175080248320
752726.043,186948.641,1.2721658119961e+19,1955390175080248320
418915.074,186948.641,3482533155479395328,1955390175080248320
1509346.928,186948.641,4.4819687412933e+19,1955390175080248320
239833.992,186948.641,3089439823449552384,1955390175080248320
1536347.628,186948.641,58086245755320786944,1955390175080248320
404348.357,186948.641,3000173851688408576,1955390175080248320
573954.655,186948.641,9094042942086952960,1955390175080248320
562748.309,186948.641,12054628369692715008,1955390175080248320
286316.425,186948.641,3071679406375870976,1955390175080248320
216857.841,186948.641,2512864808448577536,1955390175080248320
1265243.655,186948.641,4.1000850233207e+19,1955390175080248320
514076.892,186948.641,5785621133399689216,1955390175080248320
1313161.25,186948.641,44713443905610620928,1955390175080248320
1413605.119,186948.641,4.6106587013167e+19,1955390175080248320
793685.624,186948.641,15260976774114215936,1955390175080248320
481242.835,186948.641,4149716212394700800,1955390175080248320
459566.497,186948.641,8611507089194024960,1955390175080248320
822880.097,186948.641,13427911432585254912,1955390175080248320
1586251.198,186948.641,48836659317641781248,1955390175080248320
1468173.47,186948.641,43448273759995797504,1955390175080248320
1266095.528,186948.641,38233215130227761152,1955390175080248320
459750.597,186948.641,4293905847883235328,1955390175080248320
503392.056,186948.641,5438046790337676288,1955390175080248320
1431989.962,186948.641,41067788952777228288,1955390175080248320
1381867.884,186948.641,38398937340017713152,1955390175080248320
488009.408,186948.641,4503141571328206848,1955390175080248320
1840501.261,186948.641,4.9974840850761e+19,1955390175080248320
446485.558,186948.641,3848136300100390912,1955390175080248320
2007546.563,186948.641,1.5026804440633e+20,1955390175080248320
932957.642,186948.641,1.5576660071893e+19,1955390175080248320
952454.386,186948.641,13737189020081549312,1955390175080248320
448182.295,186948.641,4024705096113713664,1955390175080248320
557353.29,186948.641,10825934348257576960,1955390175080248320
751096.024,186948.641,14173814365803937792,1955390175080248320
637561.486,186948.641,14442154978020179968,1955390175080248320
1222684.656,186948.641,35581289655954567168,1955390175080248320
