"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
1387723.416,186948.641,50820460305289756672,1955390175080248320
772431.598,186948.641,10355486249183694848,1955390175080248320
1494718.416,186948.641,51495109480852611072,1955390175080248320
1578250.566,186948.641,51735206863106523136,1955390175080248320
592851.121,186948.641,17060389295936468992,1955390175080248320
619908.721,186948.641,2.028643653855e+19,1955390175080248320
497300.486,186948.641,8359624515281063936,1955390175080248320
437586.332,186948.641,3659775624693241344,1955390175080248320
566616.955,186948.641,20379394727559254016,1955390175080248320
545797.677,186948.641,19045702325933699072,1955390175080248320
1662799.358,186948.641,56037512622384701440,1955390175080248320
1081830.934,186948.641,36668095425799294976,1955390175080248320
461921.796,186948.641,9139825276488684544,1955390175080248320
777362.466,186948.641,22133761857309495296,1955390175080248320
306923.118,186948.641,3450202470103046144,1955390175080248320
339046.545,186948.641,4889665950251299840,1955390175080248320
389675.327,186948.641,8119382526397426688,1955390175080248320
326134.436,186948.641,5629791564187793408,1955390175080248320
316041.67,186948.641,3219520469500259328,1955390175080248320
1076494.387,186948.641,29987908087971422208,1955390175080248320
1454360.62,186948.641,42437440873912721408,1955390175080248320
1602631.184,186948.641,67825519714381643776,1955390175080248320
632679.101,186948.641,21199692729214595072,1955390175080248320
631394.505,186948.641,11023204997341880320,1955390175080248320
1651609.433,186948.641,66587337525276352512,1955390175080248320
262664.199,186948.641,3002627134429844992,1955390175080248320
511253.687,186948.641,8484318120443703296,1955390175080248320
395148.438,186948.641,8757684448012545024,1955390175080248320
1402704.764,186948.641,39668330519886495744,1955390175080248320
871631.78,186948.641,37158874434469691392,1955390175080248320
966902.688,186948.641,36586919915553292288,1955390175080248320
1774651.525,186948.641,79806178696961146880,1955390175080248320
269547.289,186948.641,3361767401448903168,1955390175080248320
268604.538,186948.641,2521752997305662464,1955390175080248320
936013.064,186948.641,23921450242057781248,1955390175080248320
1569997.173,186948.641,5.0443773804349e+19,1955390175080248320
512972.231,186948.641,13948365460490735616,1955390175080248320
431679.949,186948.641,3539193801934480384,1955390175080248320
516029.178,186948.641,4402315713054374400,1955390175080248320
1860214.042,186948.641,77959782225006788608,1955390175080248320
912473.758,186948.641,24765262025733419008,1955390175080248320
698039.504,186948.641,13223559208130775040,1955390175080248320
628714.519,186948.641,10354161185081614336,1955390175080248320
197530.761,186948.641,2112678545707146752,1955390175080248320
1746573.363,186948.641,66228889521146748928,1955390175080248320
506811.185,186948.641,5017159646853966848,1955390175080248320
742700.139,186948.641,9422840240461484032,1955390175080248320
803307.511,186948.641,23700425379388129280,1955390175080248320
1406474.286,186948.641,38697849348498137088,1955390175080248320
532905.094,186948.641,6110022287656765440,1955390175080248320
1545448.119,186948.641,46578180109642178560,1955390175080248320
233432.7,186948.641,3184108852147168768,1955390175080248320
1019488.291,186948.641,35326285505047785472,1955390175080248320
1674748.985,186948.641,53475892944175751168,1955390175080248320
476759.084,186948.641,9194753341963352064,1955390175080248320
1336222.348,186948.641,40752348800774840320,1955390175080248320
766947.501,186948.641,16852150691480180736,1955390175080248320
579590.822,186948.641,5406917476001439744,1955390175080248320
440591.814,186948.641,8046218935057008640,1955390175080248320
260321.754,186948.641,2465189856872121344,1955390175080248320
937040.903,186948.641,31679080328731578368,1955390175080248320
949170.655,186948.641,16492479319157434368,1955390175080248320
483954.25,186948.641,10456595595832297472,1955390175080248320
533001.616,186948.641,4580401084222082048,1955390175080248320
1299151.084,186948.641,38573612767105466368,1955390175080248320
532779.95,186948.641,9955396585255350272,1955390175080248320
1682486.805,186948.641,68623547387979816960,1955390175080248320
990675.663,186948.641,37232559689612476416,1955390175080248320
614831.499,186948.641,1.0068945233225e+19,1955390175080248320
1200217.149,186948.641,36531714537025699840,1955390175080248320
1413543.283,186948.641,39382138263377911808,1955390175080248320
1362905.761,186948.641,4.3775596713579e+19,1955390175080248320
1743251.699,186948.641,66953395361764646912,1955390175080248320
931720.509,186948.641,28520863380825698304,1955390175080248320
303181.569,186948.641,5281413519100527616,1955390175080248320
850169.968,186948.641,31927927369673584640,1955390175080248320
486511.565,186948.641,4803360634165103616,1955390175080248320
274602.246,186948.641,3650554000629188608,1955390175080248320
544298.435,186948.641,10064615989535129600,1955390175080248320
864337.591,186948.641,29094525569112600576,1955390175080248320
915683.537,186948.641,31828604777594171392,1955390175080248320
551091.857,186948.641,6316992592621240320,1955390175080248320
248485.956,186948.641,3664877309444139520,1955390175080248320
667883.594,186948.641,9534378453159153664,1955390175080248320
1257383.222,186948.641,36040083368253366272,1955390175080248320
473200.387,186948.641,3823742681318268416,1955390175080248320
1419438.747,186948.641,46828931159383695360,1955390175080248320
714193.759,186948.641,14288710660570290176,1955390175080248320
784060.725,186948.641,22531569190231879680,1955390175080248320
1595203.254,186948.641,62644648236179554304,1955390175080248320
399271.043,186948.641,8213591798629296128,1955390175080248320
656001.632,186948.641,1.3326281248261e+19,1955390175080248320
465627.932,186948.641,4029093920298827776,1955390175080248320
928528.832,186948.641,15423206442589882368,1955390175080248320
430677.599,186948.641,7278483932630955008,1955390175080248320
812280.927,186948.641,22131740782756298752,1955390175080248320
456829.187,186948.641,9252566067054166016,1955390175080248320
401916.899,186948.641,8924292423364952064,1955390175080248320
664269.39,186948.641,10458047573355446272,1955390175080248320
434717.163,186948.641,3769787473971873280,1955390175080248320
818210.675,186948.641,22689914290488815616,1955390175080248320
370354.172,186948.641,7679087003628794880,1955390175080248320
1597412.88,186948.641,61896753028669349888,1955390175080248320
458489.214,186948.641,7410921236039888896,1955390175080248320
412218.569,186948.641,9451220805589710848,1955390175080248320
839270.24,186948.641,22564149052412686336,1955390175080248320
563924.111,186948.641,7636207636933351424,1955390175080248320
271078.882,186948.641,2674047362052082176,1955390175080248320
876826.974,186948.641,14380403322372716544,1955390175080248320
386619.065,186948.641,5021798286015819776,1955390175080248320
1149488.683,186948.641,33974840822417731584,1955390175080248320
1607565.142,186948.641,65033229469759225856,1955390175080248320
1787058.08,186948.641,65580834993089363968,1955390175080248320
265576.216,186948.641,3742916824790769664,1955390175080248320
1416289.016,186948.641,39703847244292358144,1955390175080248320
794316.047,186948.641,13559743113390901248,1955390175080248320
547290.661,186948.641,6484312251708921856,1955390175080248320
683321.965,186948.641,19322382421947465728,1955390175080248320
503127.404,186948.641,5159832086502309888,1955390175080248320
686560.314,186948.641,6453936023500781568,1955390175080248320
613247.069,186948.641,19895736840125874176,1955390175080248320
1451740.229,186948.641,41522962635121188864,1955390175080248320
1509374.367,186948.641,61018033362362384384,1955390175080248320
1262344.36,186948.641,36293670578506551296,1955390175080248320
221178.955,186948.641,2739057960269334528,1955390175080248320
1636700.858,186948.641,43941847953705877504,1955390175080248320
542188.038,186948.641,9992792248694007808,1955390175080248320
694124.511,186948.641,10083051827806357504,1955390175080248320
1748114.258,186948.641,67582090210266447872,1955390175080248320
1265158.867,186948.641,4.0273132770959e+19,1955390175080248320
833631.3,186948.641,26233898107662757888,1955390175080248320
1541791.28,186948.641,65278648148706795520,1955390175080248320
452708.119,186948.641,7375698939041532928,1955390175080248320
792766.386,186948.641,30341081950995333120,1955390175080248320
630553.018,186948.641,20869510655348469760,1955390175080248320
1447438.372,186948.641,49317997563594645504,1955390175080248320
1543401.741,186948.641,60179753212678397952,1955390175080248320
256086.298,186948.641,2345875376937578496,1955390175080248320
873691.837,186948.641,37467205880146518016,1955390175080248320
465258.264,186948.641,4893532222763211776,1955390175080248320
484735.984,186948.641,4388981387205510144,1955390175080248320
603717.598,186948.641,9357758497432838144,1955390175080248320
1635616.718,186948.641,51619298553011896320,1955390175080248320
852762.545,186948.641,19128103373681164288,1955390175080248320
1332106.262,186948.641,44911542920810143744,1955390175080248320
678322.143,186948.641,20827580960842113024,1955390175080248320
1385238.656,186948.641,42187393901175496704,1955390175080248320
418471.118,186948.641,3483836721342477824,1955390175080248320
1169112.218,186948.641,33715868041751678976,1955390175080248320
1772499.701,186948.641,66248347359441281024,1955390175080248320
865775.104,186948.641,34366715489552138240,1955390175080248320
1066653.192,186948.641,30829364219226193920,1955390175080248320
254663.702,186948.641,2339269717320408064,1955390175080248320
1435702.519,186948.641,42241176680690221056,1955390175080248320
417158.287,186948.641,7059279316626702336,1955390175080248320
1394827.653,186948.641,4.9072045713598e+19,1955390175080248320
260797.629,186948.641,2418086490425597952,1955390175080248320
937708.521,186948.641,38356299434391904256,1955390175080248320
521280.148,186948.641,11053045641038901248,1955390175080248320
1493717.257,186948.641,45267917340870524928,1955390175080248320
269950.504,186948.641,4324471635209431040,1955390175080248320
323671.52,186948.641,3461236899031806464,1955390175080248320
478933.946,186948.641,4811205868775644160,1955390175080248320
431669.406,186948.641,10913331044202846208,1955390175080248320
1073545.675,186948.641,39383748652747087872,1955390175080248320
793418.718,186948.641,22842900581190275072,1955390175080248320
1480557.719,186948.641,40396966642653347840,1955390175080248320
458034.83,186948.641,3727065127435150848,1955390175080248320
1580576.046,186948.641,49425623938886475776,1955390175080248320
1258850.568,186948.641,37683212639615148032,1955390175080248320
346294.257,186948.641,4913663815525443584,1955390175080248320
878625.935,186948.641,12894564908915066880,1955390175080248320
655886.184,186948.641,22403757387332550656,1955390175080248320
818480.711,186948.641,22313374373822218240,1955390175080248320
580634.842,186948.641,13211772172334327808,1955390175080248320
1107653.853,186948.641,39429766901358272512,1955390175080248320
1985862.08,186948.641,8.6984054253082e+19,1955390175080248320
599327.628,186948.641,10454594697024487424,1955390175080248320
640764.057,186948.641,24621392412537212928,1955390175080248320
1568212.307,186948.641,50590373881985105920,1955390175080248320
1529255.132,186948.641,47686191199840206848,1955390175080248320
1526139.72,186948.641,45390649880484626432,1955390175080248320
256392.375,186948.641,3367761613708445184,1955390175080248320
1247977.025,186948.641,36770062912012390400,1955390175080248320
1033972.751,186948.641,35631960501251817472,1955390175080248320
1727088.082,186948.641,60527991038453932032,1955390175080248320
888643.072,186948.641,20037501493360451584,1955390175080248320
630563.196,186948.641,9879937054459656192,1955390175080248320
1534562.872,186948.641,50548255891515809792,1955390175080248320
733177.061,186948.641,9984681778430394368,1955390175080248320
1420917.478,186948.641,50971072163206422528,1955390175080248320
1500618.211,186948.641,47655744658438520832,1955390175080248320
472552.271,186948.641,9970608463203334144,1955390175080248320
622031.12,186948.641,17454684672033712128,1955390175080248320
1410633.835,186948.641,50209630804009902080,1955390175080248320
778737.343,186948.641,1.5302281793188e+19,1955390175080248320
879880.431,186948.641,29342824978166452224,1955390175080248320
1342443.687,186948.641,44848663744904249344,1955390175080248320
1075263.196,186948.641,39182045746604056576,1955390175080248320
514438.168,186948.641,6763998003621381120,1955390175080248320
1273894.748,186948.641,4.0795080580532e+19,1955390175080248320
1394453.153,186948.641,38615865480403484672,1955390175080248320
1563700.289,186948.641,50769888127733161984,1955390175080248320
231674.858,186948.641,2972780521651677184,1955390175080248320
634372.879,186948.641,21299522292851834880,1955390175080248320
1387921.808,186948.641,4.8219888763558e+19,1955390175080248320
242892.935,186948.641,2781952718641732608,1955390175080248320
713955.298,186948.641,13593557456997758976,1955390175080248320
328002.035,186948.641,4158012213389105664,1955390175080248320
539102.382,186948.641,12487943243854686208,1955390175080248320
866105.058,186948.641,16563091240282368000,1955390175080248320
784856.811,186948.641,22716598680565407744,1955390175080248320
1880703.916,186948.641,91164588204816367616,1955390175080248320
565518.482,186948.641,6255899272254220288,1955390175080248320
283985.72,186948.641,4333351464455936512,1955390175080248320
1297562.043,186948.641,3.8389167016789e+19,1955390175080248320
774137.056,186948.641,2.2006143699914e+19,1955390175080248320
1723841.439,186948.641,59681237763555500032,1955390175080248320
578664.521,186948.641,19398896599191097344,1955390175080248320
949912.96,186948.641,16162003134657308672,1955390175080248320
905350.683,186948.641,21713155622033485824,1955390175080248320
1564731.305,186948.641,61564865815375265792,1955390175080248320
1554139.654,186948.641,49792958860185231360,1955390175080248320
785095.662,186948.641,11348281454493726720,1955390175080248320
612198.275,186948.641,19974767471973728256,1955390175080248320
545238.853,186948.641,18954022876492947456,1955390175080248320
437949.882,186948.641,7820295841378741248,1955390175080248320
275161.171,186948.641,3778664091929736704,1955390175080248320
342386.349,186948.641,4904256415210027008,1955390175080248320
642191.375,186948.641,20497511530504216576,1955390175080248320
611427.087,186948.641,19735941176506306560,1955390175080248320
