"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
186948.669,186948.641,1955390309228741888,1955390175080248320
186948.642,186948.641,1955390192765408256,1955390175080248320
187019.687,186948.641,1956468762527480320,1955390175080248320
186948.655,186948.641,1955390229150011136,1955390175080248320
186949.951,186948.641,1955415293149394944,1955390175080248320
186948.804,186948.641,1955390949806259456,1955390175080248320
186948.817,186948.641,1955390986660457984,1955390175080248320
186948.923,186948.641,1955393224779070464,1955390175080248320
187036.552,186948.641,1957692630295152640,1955390175080248320
186948.76,186948.641,1955392459097986816,1955390175080248320
186948.845,186948.641,1955391111682660608,1955390175080248320
186949.659,186948.641,1955406968900219648,1955390175080248320
186948.804,186948.641,1955390935411960320,1955390175080248320
187037.274,186948.641,1957706334211474176,1955390175080248320
186948.944,186948.641,1955391480900544256,1955390175080248320
186948.804,186948.641,1955390934029597440,1955390175080248320
187739.392,186948.641,1961932425393649152,1955390175080248320
187170.585,186948.641,1959998983058125056,1955390175080248320
187739.245,186948.641,1961931749614299392,1955390175080248320
187742.666,186948.641,1967483369216026880,1955390175080248320
186948.808,186948.641,1955391003344453376,1955390175080248320
187107.343,186948.641,1958768912696241152,1955390175080248320
187810.127,186948.641,1963011409523983616,1955390175080248320
187036.284,186948.641,1957689640358842624,1955390175080248320
186948.832,186948.641,1955391056281451776,1955390175080248320
186948.641,186948.641,1955390176187116288,1955390175080248320
187170.558,186948.641,1959998852296402176,1955390175080248320
186948.804,186948.641,1955390949806306304,1955390175080248320
186948.781,186948.641,1955390713834875648,1955390175080248320
186948.817,186948.641,1955390986603905024,1955390175080248320
187036.285,186948.641,1957689656136928768,1955390175080248320
187739.095,186948.641,1961931033401313536,1955390175080248320
186948.804,186948.641,1955390935136419328,1955390175080248320
187739.083,186948.641,1961930986910420480,1955390175080248320
187019.609,186948.641,1956469612691484672,1955390175080248320
186948.804,186948.641,1955390933973044736,1955390175080248320
187036.432,186948.641,1957690340857034240,1955390175080248320
186948.805,186948.641,1955390947648597248,1955390175080248320
186948.832,186948.641,1955391065326740224,1955390175080248320
187926.311,186948.641,1981128795825563136,1955390175080248320
186948.655,186948.641,1955390228281808384,1955390175080248320
187739.286,186948.641,1961931927719116544,1955390175080248320
186949.105,186948.641,1955392302223832576,1955390175080248320
251588.599,186948.641,2277800002448369408,1955390175080248320
251588.424,186948.641,2277799110355478784,1955390175080248320
188533.106,186948.641,1974044788334706688,1955390175080248320
187924.525,186948.641,1981120469931121664,1955390175080248320
187019.687,186948.641,1956468762138733056,1955390175080248320
187810.127,186948.641,1963011408083208960,1955390175080248320
186948.831,186948.641,1955391052911268096,1955390175080248320
186948.669,186948.641,1955390307789826304,1955390175080248320
187019.688,186948.641,1956468772760877312,1955390175080248320
187036.271,186948.641,1957689593860735232,1955390175080248320
187924.701,186948.641,1981121282919311616,1955390175080248320
252259.715,186948.641,2292263144785203200,1955390175080248320
186948.761,186948.641,1955392465708176384,1955390175080248320
197473.741,186948.641,2046742826837373184,1955390175080248320
186948.804,186948.641,1955390942170310656,1955390175080248320
187691.02,186948.641,1970436435357557248,1955390175080248320
187107.316,186948.641,1958768788974136320,1955390175080248320
186948.76,186948.641,1955392460775475712,1955390175080248320
186948.641,186948.641,1955390175773962240,1955390175080248320
251588.725,186948.641,2277800492328417024,1955390175080248320
186948.641,186948.641,1955390175085391616,1955390175080248320
188410.538,186948.641,1975913421712393216,1955390175080248320
186948.655,186948.641,1955390228404809728,1955390175080248320
187739.244,186948.641,1961931734540631552,1955390175080248320
187019.687,186948.641,1956468761777006080,1955390175080248320
186948.781,186948.641,1955390707675008768,1955390175080248320
186948.923,186948.641,1955393217353974784,1955390175080248320
187036.46,186948.641,1957690465128911360,1955390175080248320
187019.966,186948.641,1956469925427228928,1955390175080248320
186949.106,186948.641,1955392318000500480,1955390175080248320
186948.806,186948.641,1955390948061704704,1955390175080248320
186948.641,186948.641,1955390184155157504,1955390175080248320
187020.38,186948.641,1956484061385481216,1955390175080248320
187036.446,186948.641,1957690392091043584,1955390175080248320
186948.803,186948.641,1955390927035905280,1955390175080248320
187739.937,186948.641,1961947037986873344,1955390175080248320
187619.947,186948.641,1969354021174288384,1955390175080248320
187620.097,186948.641,1969354726874183168,1955390175080248320
187036.27,186948.641,1957689589823296000,1955390175080248320
186948.655,186948.641,1955390244232881664,1955390175080248320
187019.814,186948.641,1956471203713595392,1955390175080248320
187742.829,186948.641,1967484128419374336,1955390175080248320
186948.774,186948.641,1955392517227086848,1955390175080248320
186949.482,186948.641,1955406163774942464,1955390175080248320
186948.803,186948.641,1955390928479961600,1955390175080248320
186948.804,186948.641,1955390942226863872,1955390175080248320
187036.438,186948.641,1957690422686987008,1955390175080248320
251588.436,186948.641,2277799160033647872,1955390175080248320
187826.875,186948.641,1964236139805055488,1955390175080248320
186950.428,186948.641,1955398440347547136,1955390175080248320
186948.818,186948.641,1955390994801125120,1955390175080248320
186950.428,186948.641,1955398441097891328,1955390175080248320
186948.804,186948.641,1955390935085007104,1955390175080248320
186948.936,186948.641,1955393261557388032,1955390175080248320
186948.805,186948.641,1955390939921037056,1955390175080248320
186948.813,186948.641,1955391090846498304,1955390175080248320
187170.72,186948.641,1959999608498179072,1955390175080248320
186948.642,186948.641,1955390190908319744,1955390175080248320
186948.76,186948.641,1955392456965402112,1955390175080248320
187019.539,186948.641,1956468078023569920,1955390175080248320
186948.804,186948.641,1955390934029643776,1955390175080248320
186948.831,186948.641,1955391053553570560,1955390175080248320
186948.923,186948.641,1955393218460797440,1955390175080248320
187036.434,186948.641,1957690344904785664,1955390175080248320
186948.655,186948.641,1955390229517282560,1955390175080248320
187036.433,186948.641,1957690341964263680,1955390175080248320
187036.441,186948.641,1957690506895134720,1955390175080248320
186948.655,186948.641,1.955390236786e+18,1955390175080248320
186948.809,186948.641,1955391008134212608,1955390175080248320
187739.095,186948.641,1961931034785079552,1955390175080248320
187258.186,186948.641,1962301317283731200,1955390175080248320
186949.645,186948.641,1955406914525163776,1955390175080248320
187036.433,186948.641,1957690355252150272,1955390175080248320
186949.483,186948.641,1955406170840299520,1955390175080248320
186948.817,186948.641,1955390978978192640,1955390175080248320
186948.937,186948.641,1955393269060057600,1955390175080248320
186948.641,186948.641,1955390177631172608,1955390175080248320
186948.804,186948.641,1955390942869120000,1955390175080248320
186949.482,186948.641,1955406163204274176,1955390175080248320
186948.923,186948.641,1955393224060873984,1955390175080248320
186948.642,186948.641,1955390182054051072,1955390175080248320
186948.641,186948.641,1955390184174497536,1955390175080248320
186948.643,186948.641,1955390196856311040,1955390175080248320
186948.805,186948.641,1955390933264583936,1955390175080248320
186948.936,186948.641,1955393260939566592,1955390175080248320
416811.155,186948.641,3443901853146180096,1955390175080248320
186948.643,186948.641,1955390195692936704,1955390175080248320
186948.803,186948.641,1955390926616624640,1955390175080248320
187742.707,186948.641,1967483552978156544,1955390175080248320
186948.668,186948.641,1955390300158973696,1955390175080248320
186948.655,186948.641,1955390229150011136,1955390175080248320
187241.604,186948.641,1961078665720643584,1955390175080248320
186948.803,186948.641,1955390927092457216,1955390175080248320
187019.727,186948.641,1956471890419485184,1955390175080248320
