"esu_returns_invest","esu_returns_baseline","esu_var_invest","esu_var_baseline"
186948.924,186948.641,1955393214175642624,1955390175080248320
186948.76,186948.641,1955392459516236288,1955390175080248320
186948.641,186948.641,1955390182767653376,1955390175080248320
186948.788,186948.641,1955392584410222592,1955390175080248320
186948.641,186948.641,1955390176243622400,1955390175080248320
186948.77,186948.641,1955392622633138688,1955390175080248320
186948.643,186948.641,1955390188607680256,1955390175080248320
187019.657,186948.641,1956470345168544768,1955390175080248320
187619.934,186948.641,1969353974406525952,1955390175080248320
186961.859,186948.641,1955643551698165760,1955390175080248320
187036.272,186948.641,1957689595024597760,1955390175080248320
186961.86,186948.641,1955643554937876992,1955390175080248320
186948.802,186948.641,1955392635833268736,1955390175080248320
188410.664,186948.641,1975915862543428864,1955390175080248320
186948.937,186948.641,1955393269601355008,1955390175080248320
186948.761,186948.641,1955392474470928640,1955390175080248320
187170.721,186948.641,1959999622424828416,1955390175080248320
186948.76,186948.641,1955392464601354496,1955390175080248320
187036.27,186948.641,1957689587689709056,1955390175080248320
187019.806,186948.641,1956471044523324416,1955390175080248320
187036.438,186948.641,1957690351602665728,1955390175080248320
251588.704,186948.641,2277802355576611072,1955390175080248320
186949.951,186948.641,1955415278280484864,1955390175080248320
187019.643,186948.641,1956470292857370112,1955390175080248320
186948.669,186948.641,1955390316011527168,1955390175080248320
187019.807,186948.641,1956471047687731200,1955390175080248320
186948.641,186948.641,1955390178914846976,1955390175080248320
251588.424,186948.641,2277799118463476480,1955390175080248320
186950.113,186948.641,1955416027925307648,1955390175080248320
186948.655,186948.641,1955390228281761792,1955390175080248320
186948.761,186948.641,1955392469437385216,1955390175080248320
187019.82,186948.641,1956471103126906368,1955390175080248320
187036.389,186948.641,1957691870361245440,1955390175080248320
186948.641,186948.641,1955390178196651520,1955390175080248320
186948.76,186948.641,1955392457933504512,1955390175080248320
187037.579,186948.641,1957714697863387648,1955390175080248320
187739.244,186948.641,1961931735567334400,1955390175080248320
186949.951,186948.641,1955415284239028224,1955390175080248320
186948.803,186948.641,1955390927092461312,1955390175080248320
186948.81,186948.641,1955390962032723200,1955390175080248320
186948.901,186948.641,1955392578362107648,1955390175080248320
186948.641,186948.641,1955390176243622400,1955390175080248320
186948.76,186948.641,1955392458128730624,1955390175080248320
187743.976,186948.641,1967508553982044160,1955390175080248320
187036.438,186948.641,1957690432350634496,1955390175080248320
186948.924,186948.641,1955393214175688192,1955390175080248320
186948.762,186948.641,1955392478684881664,1955390175080248320
186948.923,186948.641,1955393210084736256,1955390175080248320
186948.931,186948.641,1955393368004010752,1955390175080248320
186948.76,186948.641,1955392458128730624,1955390175080248320
186948.76,186948.641,1955392457715622656,1955390175080248320
187739.11,186948.641,1961931114814939904,1955390175080248320
186948.9,186948.641,1955392989228284160,1955390175080248320
186948.922,186948.641,1955393208977913600,1955390175080248320
186949.952,186948.641,1955415281444180992,1955390175080248320
186949.953,186948.641,1955415290181913088,1955390175080248320
186948.646,186948.641,1955390187311854592,1955390175080248320
186948.803,186948.641,1955390927092504064,1955390175080248320
186948.643,186948.641,1955390188991186176,1955390175080248320
186948.762,186948.641,1955392470544207616,1955390175080248320
197386.23,186948.641,2044379948060886784,1955390175080248320
186948.763,186948.641,1955392486320880128,1955390175080248320
186948.857,186948.641,1955391056888186624,1955390175080248320
186948.808,186948.641,1955391019202150144,1955390175080248320
251588.422,186948.641,2277799105328900096,1955390175080248320
186948.923,186948.641,1955393224112285952,1955390175080248320
186949.602,186948.641,1955408446265445632,1955390175080248320
186948.66,186948.641,1955390248961054464,1955390175080248320
187036.389,186948.641,1957691871468521728,1955390175080248320
186948.801,186948.641,1955392634726445824,1955390175080248320
186948.76,186948.641,1955392458460825600,1955390175080248320
186948.655,186948.641,1955390230827499008,1955390175080248320
186948.761,186948.641,1955392463245444864,1955390175080248320
186948.762,186948.641,1955392464300855552,1955390175080248320
186950.547,186948.641,1955400724145063168,1955390175080248320
186948.641,186948.641,1955390175136800512,1955390175080248320
187962.307,186948.641,1966570723939815424,1955390175080248320
186948.923,186948.641,1955393213017408256,1955390175080248320
186949.964,186948.641,1955415329290669312,1955390175080248320
186949.02,186948.641,1955394859503731712,1955390175080248320
186950.036,186948.641,1955416887671014912,1955390175080248320
186948.76,186948.641,1955392464652765184,1955390175080248320
186948.643,186948.641,1955390189505303296,1955390175080248320
186948.642,186948.641,1955390181308921344,1955390175080248320
186948.774,186948.641,1955392511273718016,1955390175080248320
186948.803,186948.641,1955390928351773184,1955390175080248320
187739.245,186948.641,1961931740052181760,1955390175080248320
186948.761,186948.641,1955392462320641792,1955390175080248320
186948.923,186948.641,1955393217297422080,1955390175080248320
186948.765,186948.641,1955392470635883264,1955390175080248320
186948.817,186948.641,1955390980136425728,1955390175080248320
186948.811,186948.641,1955390959186487552,1955390175080248320
186948.922,186948.641,1955393208284199168,1955390175080248320
186961.861,186948.641,1955643556483042816,1955390175080248320
186948.643,186948.641,1955390188659091712,1955390175080248320
186948.76,186948.641,1955392458128730624,1955390175080248320
187739.201,186948.641,1961933281522187264,1955390175080248320
186948.923,186948.641,1955393210829938688,1955390175080248320
187739.244,186948.641,1961931736318164736,1955390175080248320
186948.647,186948.641,1955390192738769920,1955390175080248320
186949.964,186948.641,1955415329290669312,1955390175080248320
186948.789,186948.641,1955392589374518272,1955390175080248320
186950.135,186948.641,1955416240919839744,1955390175080248320
187170.839,186948.641,1960001886033885952,1955390175080248320
186948.831,186948.641,1955391053272888064,1955390175080248320
186948.641,186948.641,1955390175830514688,1955390175080248320
186948.766,186948.641,1955392484973639424,1955390175080248320
187739.202,186948.641,1961933282063756032,1955390175080248320
186948.81,186948.641,1955390943358413056,1955390175080248320
186948.871,186948.641,1955391117716269056,1955390175080248320
186950.115,186948.641,1955416050338712576,1955390175080248320
186948.721,186948.641,1955390423583067392,1955390175080248320
187019.538,186948.641,1956468061502643712,1955390175080248320
186948.788,186948.641,1955392583202393856,1955390175080248320
186948.804,186948.641,1955390943847752704,1955390175080248320
186948.774,186948.641,1955392510166895872,1955390175080248320
187739.082,186948.641,1961930983254861312,1955390175080248320
186948.831,186948.641,1955391059103206400,1955390175080248320
186948.836,186948.641,1955391063647404800,1955390175080248320
186949.764,186948.641,1955409197530130944,1955390175080248320
187036.271,186948.641,1957689597871281152,1955390175080248320
186948.641,186948.641,1955390176243622400,1955390175080248320
186951.69,186948.641,1955404065440096512,1955390175080248320
186948.923,186948.641,1955393224112285952,1955390175080248320
187036.27,186948.641,1957689589491056128,1955390175080248320
186948.923,186948.641,1955393209339610112,1955390175080248320
186948.923,186948.641,1955393216970468608,1955390175080248320
187036.27,186948.641,1957689588204131840,1955390175080248320
251676.228,186948.641,2280264537490862848,1955390175080248320
186948.923,186948.641,1955393210778527232,1955390175080248320
186961.859,186948.641,1955643553137208320,1955390175080248320
186948.818,186948.641,1955390982089454848,1955390175080248320
186948.923,186948.641,1955393217353974784,1955390175080248320
186948.774,186948.641,1955392511605812480,1955390175080248320
187019.688,186948.641,1956468765180041728,1955390175080248320
187036.272,186948.641,1957689594279152896,1955390175080248320
186948.642,186948.641,1955390179921418240,1955390175080248320
187739.084,186948.641,1961931002449313280,1955390175080248320
187037.742,186948.641,1957715450294196992,1955390175080248320
186948.76,186948.641,1955392457536022016,1955390175080248320
186948.937,186948.641,1955393263460824576,1955390175080248320
186948.76,186948.641,1955392458128730624,1955390175080248320
186949.951,186948.641,1955415277766368768,1955390175080248320
187037.112,186948.641,1957705590630554368,1955390175080248320
186948.844,186948.641,1955394056175820288,1955390175080248320
187739.364,186948.641,1961934024508877056,1955390175080248320
186948.931,186948.641,1955393368518125312,1955390175080248320
186948.804,186948.641,1955390933160816896,1955390175080248320
186948.803,186948.641,1955390926398743808,1955390175080248320
186949.952,186948.641,1955415283938527744,1955390175080248320
186948.641,186948.641,1955390176243626240,1955390175080248320
186949.105,186948.641,1955392302223832576,1955390175080248320
186948.641,186948.641,1955390176268103936,1955390175080248320
186948.81,186948.641,1955390951503380736,1955390175080248320
186951.738,186948.641,1955423550859184384,1955390175080248320
186948.804,186948.641,1955390932622277376,1955390175080248320
251588.585,186948.641,2277799947861706496,1955390175080248320
187036.434,186948.641,1957690344956227840,1955390175080248320
186948.648,186948.641,1955390199675908608,1955390175080248320
186948.765,186948.641,1955392538808822528,1955390175080248320
186948.95,186948.641,1955393333357886720,1955390175080248320
187739.081,186948.641,1961930981401285632,1955390175080248320
186949.951,186948.641,1955415278280484864,1955390175080248320
186948.923,186948.641,1955393215915057152,1955390175080248320
187740.553,186948.641,1961956864841827072,1955390175080248320
186949.95,186948.641,1955415276659537920,1955390175080248320
186948.76,186948.641,1955392460261361664,1955390175080248320
186948.804,186948.641,1955390934029597440,1955390175080248320
186949.96,186948.641,1955415442272066560,1955390175080248320
186948.761,186948.641,1955392473568188672,1955390175080248320
187742.83,186948.641,1967484126672023552,1955390175080248320
186948.925,186948.641,1955393229947176192,1955390175080248320
186948.923,186948.641,1955393210829938688,1955390175080248320
186948.694,186948.641,1955390297995365888,1955390175080248320
251588.586,186948.641,2277799949066210816,1955390175080248320
186949.95,186948.641,1955415277173658880,1955390175080248320
187170.558,186948.641,1959998857531425792,1955390175080248320
186948.659,186948.641,1955390305284012032,1955390175080248320
187019.808,186948.641,1956471064034147840,1955390175080248320
186948.726,186948.641,1955391787061439232,1955390175080248320
186948.826,186948.641,1955391146380145920,1955390175080248320
187036.418,186948.641,1957692002091130624,1955390175080248320
186948.642,186948.641,1955390191478985728,1955390175080248320
187170.559,186948.641,1959998873378849024,1955390175080248320
186948.804,186948.641,1955390936523923200,1955390175080248320
251588.423,186948.641,2277799108106446336,1955390175080248320
187036.391,186948.641,1957691876771044608,1955390175080248320
187019.687,186948.641,1956468776740735232,1955390175080248320
186948.924,186948.641,1955393216308273408,1955390175080248320
187019.805,186948.641,1956471042901976576,1955390175080248320
186948.641,186948.641,1955390176243622400,1955390175080248320
186948.811,186948.641,1955390959186487552,1955390175080248320
186948.9,186948.641,1955392995752319232,1955390175080248320
187739.272,186948.641,1961931861671594240,1955390175080248320
186948.642,186948.641,1955390183874475264,1955390175080248320
186948.76,186948.641,1955392459154586112,1955390175080248320
186950.113,186948.641,1955416027925307648,1955390175080248320
187019.807,186948.641,1956471048330215424,1955390175080248320
186948.924,186948.641,1955393214124230656,1955390175080248320
187020.918,186948.641,1956494716343755008,1955390175080248320
186948.641,186948.641,1955390176575715840,1955390175080248320
186948.642,186948.641,1955390185313390336,1955390175080248320
186948.643,186948.641,1955390196467684608,1955390175080248320
186948.812,186948.641,1955391087326256384,1955390175080248320
186948.655,186948.641,1955390230313385472,1955390175080248320
186948.924,186948.641,1955393214869356800,1955390175080248320
186948.761,186948.641,1955392467147093760,1955390175080248320
186948.804,186948.641,1955390928944480768,1955390175080248320
187019.805,186948.641,1956471042901976576,1955390175080248320
186948.951,186948.641,1955393350806910208,1955390175080248320
187019.806,186948.641,1956471043416216832,1955390175080248320
186948.808,186948.641,1955390840379459584,1955390175080248320
186950.113,186948.641,1955416035504798976,1955390175080248320
187019.689,186948.641,1956468781706108672,1955390175080248320
186948.924,186948.641,1955393214175642624,1955390175080248320
187739.244,186948.641,1961931735956475904,1955390175080248320
252379.025,186948.641,2285035778129369856,1955390175080248320
186948.924,186948.641,1955393214175642624,1955390175080248320
186948.775,186948.641,1955392641275679744,1955390175080248320
186950.127,186948.641,1955416081070567936,1955390175080248320
187036.389,186948.641,1957691870361245440,1955390175080248320
186948.76,186948.641,1955392457740104192,1955390175080248320
187739.201,186948.641,1961933267298033920,1955390175080248320
186948.641,186948.641,1955390183281767168,1955390175080248320
186948.923,186948.641,1955393215915057152,1955390175080248320
186948.923,186948.641,1955393210778527232,1955390175080248320
186948.804,186948.641,1955390935136419328,1955390175080248320
186948.641,186948.641,1955390178196651520,1955390175080248320
186948.76,186948.641,1955392462677162752,1955390175080248320
251588.424,186948.641,2277799112404423424,1955390175080248320
186949.965,186948.641,1955415345119321344,1955390175080248320
186948.643,186948.641,1955390189173205504,1955390175080248320
186948.923,186948.641,1955393212037766912,1955390175080248320
186948.788,186948.641,1955392590781839616,1955390175080248320
186948.936,186948.641,1955393261429199360,1955390175080248320
187620.215,186948.641,1969357026135261952,1955390175080248320
186948.774,186948.641,1955392510295084544,1955390175080248320
186948.76,186948.641,1955392460261361664,1955390175080248320
186948.761,186948.641,1955392480505331200,1955390175080248320
186948.774,186948.641,1955392516001750016,1955390175080248320
